stateCode,facilityName,facilityId,unit_id,unitId,associatedStacks,date,hour,opTime,grossLoad,steamLoad,so2Mass,so2MassMeasureFlg,so2Rate,so2RateMeasureFlg,co2Mass,co2MassMeasureFlg,co2Rate,co2RateMeasureFlg,noxMass,noxMassMeasureFlg,noxRate,noxRateMeasureFlg,heatInput,heatInputMeasureFlg,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
MS,Southaven Combined Cycle Plant,55269,4373,AA-001,,2026-01-01,0,1.0,263.0,,1.056,MEASURE,0.001,CALC,104.6,MEASURE,0.059,CALC,17.6,MEASURE,0.01,MEASURE,1760.3,MEASURE,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSOSG2"
MS,Southaven Combined Cycle Plant,55269,4373,AA-001,,2026-01-01,1,1.0,261.0,,1.046,MEASURE,0.001,CALC,103.6,MEASURE,0.059,CALC,15.7,MEASURE,0.009,MEASURE,1743.6,MEASURE,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSOSG2"
MS,Southaven Combined Cycle Plant,55269,4373,AA-001,,2026-01-01,2,1.0,270.0,,1.078,MEASURE,0.001,CALC,106.8,MEASURE,0.059,CALC,18.0,MEASURE,0.01,MEASURE,1797.0,MEASURE,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSOSG2"
MS,Southaven Combined Cycle Plant,55269,4373,AA-001,,2026-01-01,3,1.0,263.0,,1.052,MEASURE,0.001,CALC,104.2,MEASURE,0.059,CALC,15.8,MEASURE,0.009,MEASURE,1752.7,MEASURE,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSOSG2"
MS,Southaven Combined Cycle Plant,55269,4373,AA-001,,2026-01-01,4,1.0,260.0,,1.043,MEASURE,0.001,CALC,103.3,MEASURE,0.059,CALC,15.6,MEASURE,0.009,MEASURE,1738.6,MEASURE,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSOSG2"
MS,Southaven Combined Cycle Plant,55269,4373,AA-001,,2026-01-01,5,1.0,267.0,,1.068,MEASURE,0.001,CALC,105.8,MEASURE,0.059,CALC,17.8,MEASURE,0.01,MEASURE,1779.5,MEASURE,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSOSG2"
MS,Southaven Combined Cycle Plant,55269,4373,AA-001,,2026-01-01,6,1.0,274.0,,1.093,MEASURE,0.001,CALC,108.3,MEASURE,0.059,CALC,18.2,MEASURE,0.01,MEASURE,1821.9,MEASURE,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSOSG2"
MS,Southaven Combined Cycle Plant,55269,4373,AA-001,,2026-01-01,7,1.0,268.0,,1.067,MEASURE,0.001,CALC,105.7,MEASURE,0.059,CALC,16.0,MEASURE,0.009,MEASURE,1778.0,MEASURE,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSOSG2"
MS,Southaven Combined Cycle Plant,55269,4373,AA-001,,2026-01-01,8,1.0,207.0,,0.858,MEASURE,0.001,CALC,85.0,MEASURE,0.059,CALC,14.3,MEASURE,0.01,MEASURE,1430.3,MEASURE,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSOSG2"
MS,Southaven Combined Cycle Plant,55269,4373,AA-001,,2026-01-01,9,1.0,200.0,,0.834,MEASURE,0.001,CALC,82.6,MEASURE,0.059,CALC,13.9,MEASURE,0.01,MEASURE,1389.5,MEASURE,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CSOSG2"
