url,status,final_url,archive_url,archive_ts,note,n_files,used_in,checked_at
http://103.203.219.138:6666/hb/login,error,,http://web.archive.org/web/20220709204149/http://103.203.219.138:6666/hb/login,20220709204149,ConnectTimeout,3,data/cn_plant_links.csv;data/cn_stack_monitor_platforms.csv;data/cn_stack_monitor_sources.json,2026-09-15T12:59Z
http://111.62.218.180:9920/,error,,http://web.archive.org/web/20250521220155/http://111.62.218.180:9920/,20250521220155,ConnectTimeout,3,data/cn_plant_links.csv;data/cn_stack_monitor_platforms.csv;data/cn_stack_monitor_sources.json,2026-09-15T12:59Z
http://119.84.149.34:20003/publish2_pub/dataSearchPub/entList.aspx,error,,,,ConnectTimeout,3,data/cn_plant_links.csv;data/cn_stack_monitor_platforms.csv;data/cn_stack_monitor_sources.json,2026-09-15T12:59Z
http://125.74.7.100:8111/pollutionMonitor/publishmap.action,404,,http://web.archive.org/web/20240612014411/http://125.74.7.100:8111/pollutionMonitor/publishmap.action,20240612014411,,3,data/cn_plant_links.csv;data/cn_stack_monitor_platforms.csv;data/cn_stack_monitor_sources.json,2026-09-15T12:59Z
http://39.145.0.253:8081/gfwry/gfwryindex,error,,,,ConnectTimeout,3,data/cn_plant_links.csv;data/cn_stack_monitor_platforms.csv;data/cn_stack_monitor_sources.json,2026-09-15T12:59Z
http://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260324/a5332b5875774b298ffa4807c14d8f4c.PDF,200,,,,,1,data/cn_operator_disclosures.csv,2026-09-15T12:59Z
http://osm.org/copyright,200,https://www.openstreetmap.org/copyright,,,,1,data/epoch/geocoding.json,2026-09-15T12:59Z
http://paper.people.com.cn/rmrb/pc/content/202501/16/content_30052326.html,200,,,,,1,data/cn_operator_disclosures.csv,2026-09-15T12:59Z
http://www.cq.gov.cn/ywdt/jrcq/202405/t20240527_13236651_app.html,error,,,,ConnectionError,1,data/cn_operator_disclosures.csv,2026-09-15T12:59Z
http://www.jjckb.cn/2021-04/02/c_139854619.htm,200,,,,,1,data/cn_operator_disclosures.csv,2026-09-15T12:59Z
http://xinpi.zqrb.cn/pdf/SH/600050/2026/0320/0f06cbdc9d2d5549e80beb6e4967a508.pdf,200,,,,,1,data/cn_operator_disclosures.csv,2026-09-15T12:59Z
https://222.75.41.50:30000/xxgk/,error,,,,ConnectTimeout,3,data/cn_plant_links.csv;data/cn_stack_monitor_platforms.csv;data/cn_stack_monitor_sources.json,2026-09-15T12:59Z
https://23712035.hs-sites.com/hubfs/SINES_02.PDF.pdf?hsCtaAttrib=199407154715,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://apps.mesaaz.gov/meetingarchive/ArchiveDocuments/ClerkDetailedMinutes/February%2012%2C%202026%20STY.pdf,200,,,,,1,data/water_monthly_searches.csv,2026-09-15T12:59Z
https://apps.wrd.state.or.us/apps/wr/wateruse_query/wr_wur_entity_report.aspx?directory_id=106207,200,,,,,1,data/water_monthly_searches.csv,2026-09-15T12:59Z
https://archive.is/8CFXN,429,,,,blocked or rate-limited (429): the page may exist; check by hand,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://archive.ph/bJDHl,429,,,,blocked or rate-limited (429): the page may exist; check by hand,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://archive.sltrib.com/article.php?id=2118801&itype=CMSID,200,,,,,1,data/operator_disclosures.csv,2026-09-15T12:59Z
https://archive.sltrib.com/article.php?id=56493868&itype=CMSID,200,,,,,1,data/operator_disclosures.csv,2026-09-15T12:59Z
https://archive.sltrib.com/article.php?id=57866849&itype=CMSID,200,,,,,1,data/operator_disclosures.csv,2026-09-15T12:59Z
