key,filed,as_of,status,region,data_center,type,tenure,metric,value,unit,reported_as,stated_location,hub
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN01,Hyperscale,Owned,it_capacity_in_service_mw,36,MW,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN01,Hyperscale,Owned,contracted_ratio_pct,100,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN01,Hyperscale,Owned,ioi_ratio_pct,,%,—,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN01,Hyperscale,Owned,utilization_ratio_pct,96,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN02,Wholesale,Leased,it_capacity_in_service_mw,11,MW,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN02,Wholesale,Leased,contracted_ratio_pct,98,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN02,Wholesale,Leased,ioi_ratio_pct,,%,—,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN02,Wholesale,Leased,utilization_ratio_pct,98,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN03,Hyperscale,Owned,it_capacity_in_service_mw,17,MW,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN03,Hyperscale,Owned,contracted_ratio_pct,99,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN03,Hyperscale,Owned,ioi_ratio_pct,,%,—,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN03,Hyperscale,Owned,utilization_ratio_pct,98,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN04,Hyperscale,Owned,it_capacity_in_service_mw,28,MW,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN04,Hyperscale,Owned,contracted_ratio_pct,96,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN04,Hyperscale,Owned,ioi_ratio_pct,,%,—,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN04,Hyperscale,Owned,utilization_ratio_pct,94,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN05,Hyperscale,Owned,it_capacity_in_service_mw,21,MW,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN05,Hyperscale,Owned,contracted_ratio_pct,100,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN05,Hyperscale,Owned,ioi_ratio_pct,,%,—,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN05,Hyperscale,Owned,utilization_ratio_pct,97,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN06,Hyperscale,Owned,it_capacity_in_service_mw,29,MW,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN06,Hyperscale,Owned,contracted_ratio_pct,88,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN06,Hyperscale,Owned,ioi_ratio_pct,9,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN06,Hyperscale,Owned,utilization_ratio_pct,46,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN07,Hyperscale,Owned,it_capacity_in_service_mw,29,MW,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN07,Hyperscale,Owned,contracted_ratio_pct,96,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN07,Hyperscale,Owned,ioi_ratio_pct,,%,—,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Beijing Area, China",CN07,Hyperscale,Owned,utilization_ratio_pct,36,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Bay Area, China",CS01,Wholesale,Leased,it_capacity_in_service_mw,5,MW,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Bay Area, China",CS01,Wholesale,Leased,contracted_ratio_pct,70,%,,,
cd_ipo_2020,2020-09-29,2020-06-30,in_service,"Greater Bay Area, China",CS01,Wholesale,Leased,ioi_ratio_pct,,%,—,,
