site_id,osm,dist_m,inside_outline,name,name_en,tags
cn_guian_r01,way/540236444,2857,False,永安大道,,highway=secondary
cn_guian_r01,way/460030918,2863,False,永安大道,,highway=secondary
cn_horinger_r04,node/8006998389,206,True,,,power=tower
cn_horinger_r04,node/8006998390,250,True,,,power=tower
cn_horinger_r04,way/858950378,251,True,,,power=line
cn_horinger_r04,way/858950377,267,True,,,power=line
cn_horinger_r04,node/8006998391,308,True,,,power=tower
cn_horinger_r04,way/988966312,321,True,,,building=yes
cn_horinger_r04,way/988966311,338,True,,,building=yes
cn_horinger_r04,node/8006956069,339,False,,,power=tower
cn_horinger_r04,way/566233416,348,True,中国电信云计算内蒙古信息园,,landuse=industrial
cn_horinger_r04,node/8006956068,377,False,,,power=tower
cn_horinger_r04,node/8006956070,383,False,,,power=tower
cn_horinger_r04,way/988966305,396,False,,,building=yes
cn_horinger_r04,way/545363349,546,False,金盛路,,highway=primary
cn_horinger_r04,way/545363350,556,False,金盛路,,highway=primary
cn_horinger_r04,way/699967332,918,False,中国移动呼和浩特数据中心,,landuse=industrial
cn_horinger_r04,way/858950381,1716,False,,,power=line
cn_horinger_r04,way/858950373,4638,False,,,power=line
cn_horinger_r05,node/14061590301,116,True,,,power=tower
cn_horinger_r05,way/858950385,135,True,,,power=line
cn_horinger_r05,node/8006998533,245,True,,,power=tower
cn_horinger_r05,node/13375407185,322,False,,,power=tower
cn_horinger_r05,node/8006956057,335,True,,,power=tower
cn_horinger_r05,node/14061590296,361,False,,,power=tower
cn_horinger_r05,node/8006956058,366,False,,,power=tower
cn_horinger_r05,node/14061590302,377,True,,,power=tower
cn_horinger_r05,way/1546007803,507,False,,,power=line
cn_horinger_r05,way/1483068811,604,False,,,power=line
cn_horinger_r05,way/858950373,2334,False,,,power=line
cn_horinger_r05,way/1473258335,4209,False,,,power=line
cn_horinger_r06,way/566233285,352,False,克略和苑,,landuse=residential
cn_horinger_r06,way/699967332,793,False,中国移动呼和浩特数据中心,,landuse=industrial
cn_horinger_r06,way/545743786,1012,False,云展东街,,highway=tertiary
cn_horinger_r06,way/545743785,1016,False,云展东街,,highway=tertiary
cn_horinger_r08,way/1342808670,750,False,蒙草草博园,,
cn_horinger_r08,way/1331155485,984,False,盛乐北街,,highway=primary
cn_horinger_r08,way/1331155486,990,False,盛乐北街,,highway=primary
cn_horinger_r11,way/545743786,1854,False,云展东街,,highway=tertiary
cn_horinger_r11,way/545743785,1856,False,云展东街,,highway=tertiary
cn_horinger_r12,node/8006995031,312,False,,,power=tower
cn_horinger_r12,node/8006995032,359,False,,,power=tower
cn_horinger_r12,node/8006995030,361,False,,,power=tower
cn_horinger_r12,node/8006995023,371,False,,,power=tower
cn_horinger_r12,node/8006995025,381,False,,,power=tower
cn_horinger_r12,node/8006995029,391,False,,,power=tower
cn_horinger_r12,way/858950380,802,False,,,power=line
cn_horinger_r12,way/858950381,884,False,,,power=line
cn_horinger_r12,way/545743785,2215,False,云展东街,,highway=tertiary
cn_horinger_r12,way/545743786,2217,False,云展东街,,highway=tertiary
cn_horinger_r12,way/1458424012,2272,False,,,power=line
cn_horinger_r13,way/1550574098,112,True,,,landuse=construction
cn_horinger_r13,way/1550274596,178,False,,,building=yes;amenity=toilets
cn_horinger_r13,way/1550276180,288,False,,,building=retail
cn_horinger_r13,way/1550574532,299,False,,,landuse=industrial
cn_horinger_r13,way/1550276179,395,False,,,building=retail
cn_horinger_r13,way/566233277,437,False,丹岱祥苑,,landuse=residential
cn_horinger_r13,way/1549659163,457,False,人才创新谷,,landuse=commercial
cn_horinger_r13,way/1550574531,476,False,,,landuse=industrial
cn_horinger_r13,way/1550574758,603,False,,,landuse=construction
cn_horinger_r13,way/545743782,734,False,盛云路,,highway=tertiary
cn_horinger_r13,way/545743783,734,False,盛云路,,highway=tertiary
cn_horinger_r14,way/1549658655,115,True,交通银行,Bank of Communications,building=yes;amenity=bank
cn_horinger_r14,way/545743782,169,False,盛云路,,highway=tertiary
cn_horinger_r14,way/545743783,172,False,盛云路,,highway=tertiary
cn_horinger_r14,way/1419647717,337,False,,,landuse=construction
cn_horinger_r14,way/1550578917,348,False,,,landuse=construction
cn_horinger_r14,way/988966318,363,False,,,building=yes
cn_horinger_r14,way/1419660258,366,False,D2-2,,building=industrial
cn_horinger_r14,way/1419660259,366,False,D1-2,,building=industrial
cn_horinger_r14,way/1419660249,368,False,D2-1,,building=industrial
cn_horinger_r14,way/1419660250,377,False,D3-1,,building=industrial
cn_horinger_r14,relation/19424060,378,False,D1-1,,building=industrial
cn_horinger_r14,way/1419646914,381,False,,,building=yes;amenity=restaurant
cn_horinger_r14,way/1419647453,381,False,雲谷佳苑,,landuse=residential
cn_horinger_r14,way/1419660254,383,False,D3-2,,building=industrial
cn_horinger_r14,way/1419879428,390,False,,,building=industrial
cn_horinger_r14,way/1419879427,399,False,,,building=industrial
cn_horinger_r14,way/1419879429,399,False,,,building=industrial
cn_horinger_r14,way/1419660251,406,False,D1-3,,building=industrial
cn_horinger_r14,way/1419660252,407,False,D2-3,,building=industrial
cn_horinger_r14,way/1419660256,407,False,D2-4,,building=industrial
cn_horinger_r14,way/566233278,422,False,祥苑路,,highway=unclassified
cn_horinger_r14,way/1419660236,430,False,,,building=construction
cn_horinger_r14,relation/19424057,442,False,E1,,building=yes
cn_horinger_r14,way/1550574531,496,False,,,landuse=industrial
cn_horinger_r14,way/1419643091,633,False,智能制造产业园,,landuse=industrial;industrial=factory
cn_horinger_r14,way/566233416,824,False,中国电信云计算内蒙古信息园,,landuse=industrial
cn_horinger_r14,way/545743785,1341,False,云展东街,,highway=tertiary
cn_horinger_r14,way/545743786,1344,False,云展东街,,highway=tertiary
cn_horinger_r15,way/1550574531,48,True,,,landuse=industrial
cn_horinger_r15,way/1550573433,187,False,,,building=yes;amenity=toilets
cn_horinger_r15,way/1419646914,210,False,,,building=yes;amenity=restaurant
cn_horinger_r15,way/1550574532,215,True,,,landuse=industrial
cn_horinger_r15,way/988966318,227,False,,,building=yes
cn_horinger_r15,way/1550276179,251,False,,,building=retail
cn_horinger_r15,way/545743783,277,False,盛云路,,highway=tertiary
cn_horinger_r15,way/545743782,280,False,盛云路,,highway=tertiary
cn_horinger_r15,way/1550276180,335,False,,,building=retail
cn_horinger_r15,way/1419647453,379,False,雲谷佳苑,,landuse=residential
cn_horinger_r15,way/566233277,419,False,丹岱祥苑,,landuse=residential
cn_horinger_r15,way/1550574758,420,True,,,landuse=construction
cn_horinger_r15,way/1549658655,505,False,交通银行,Bank of Communications,building=yes;amenity=bank
cn_horinger_r15,way/1550574098,574,False,,,landuse=construction
cn_horinger_r15,way/1550578917,585,False,,,landuse=construction
cn_horinger_r15,way/566233416,787,False,中国电信云计算内蒙古信息园,,landuse=industrial
