site_id,early_scene,early_cloud,late_scene,late_cloud
cn_horinger_r15,S2B_49TEE_20210922_0_L2A,0.04,S2B_49TEE_20260909_0_L2A,0.00
cn_ulanqab_r05,S2B_49TFF_20210922_0_L2A,0.00,S2C_49TFF_20260901_0_L2A,0.00
cn_ulanqab_r04,S2B_49TFF_20210922_0_L2A,0.01,S2C_49TFF_20260901_0_L2A,0.00
cn_ulanqab_r03,S2B_49TFF_20210922_0_L2A,0.00,S2C_49TFF_20260901_0_L2A,0.00
cn_ulanqab_r07,S2B_49TFF_20210922_0_L2A,0.01,S2C_49TFF_20260901_0_L2A,0.00
cn_ulanqab_r06,S2B_49TFF_20210922_0_L2A,0.00,S2C_49TFF_20260901_0_L2A,0.00
cn_horinger_r27,S2B_49TEE_20210922_0_L2A,0.01,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r16,S2B_49TEE_20210922_0_L2A,0.00,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r13,S2B_49TEE_20210922_0_L2A,0.03,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r03,S2B_49TEE_20210922_0_L2A,0.00,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r04,S2B_49TEE_20210922_0_L2A,0.05,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r26,S2B_49TEE_20210922_0_L2A,0.02,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r24,S2B_49TEE_20210922_0_L2A,0.00,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r02,S2B_49TEE_20210922_0_L2A,0.00,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r19,S2B_49TEE_20210922_1_L2A,0.00,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r21,S2B_49TEE_20210922_0_L2A,0.05,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r20,S2B_49TEE_20210922_0_L2A,0.03,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r17,S2B_49TEE_20210922_0_L2A,0.01,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r06,S2B_49TEE_20210922_1_L2A,0.00,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r23,S2B_49TEE_20210922_0_L2A,0.00,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r14,S2B_49TEE_20210922_1_L2A,0.00,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r18,S2B_49TEE_20210922_1_L2A,0.00,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r05,S2B_49TEE_20210922_0_L2A,0.02,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r08,S2B_49TEE_20210922_0_L2A,0.04,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r22,S2B_49TEE_20210922_0_L2A,0.03,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r11,S2B_49TEE_20210922_0_L2A,0.04,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r12,S2B_49TEE_20210922_0_L2A,0.01,S2B_49TEE_20260909_0_L2A,0.00
cn_horinger_r25,S2B_49TEE_20210922_1_L2A,0.00,S2B_49TEE_20260909_0_L2A,0.00
cn_zhangbei_r03,S2B_50TLL_20210922_0_L2A,0.01,S2B_50TLL_20260913_0_L2A,0.00
cn_zhangbei_r05,S2B_50TLL_20210922_0_L2A,0.01,S2B_50TLL_20260913_0_L2A,0.00
cn_zhangbei_r01,S2B_50TLL_20210922_0_L2A,0.05,S2B_50TLL_20260913_0_L2A,0.00
cn_zhangbei_r06,S2B_50TLL_20210922_0_L2A,0.01,S2B_50TLL_20260913_0_L2A,0.00
cn_zhangbei_r07,S2B_50TLL_20210922_0_L2A,0.00,S2B_50TLL_20260913_0_L2A,0.00
cn_zhangbei_r02,S2B_50TLL_20210922_1_L2A,0.00,S2B_50TLL_20260913_0_L2A,0.00
cn_guian_r01,S2B_48RXQ_20210915_0_L2A,0.22,S2C_48RXQ_20260815_0_L2A,0.23
cn_qingyang_r12,S2B_48SYE_20210928_0_L2A,0.26,S2B_48SYE_20260902_0_L2A,0.00
cn_qingyang_r03,S2B_48SYE_20210908_1_L2A,0.01,S2B_48SYE_20260902_0_L2A,0.00
cn_qingyang_r07,S2B_48SYE_20210928_0_L2A,0.21,S2B_48SYE_20260902_0_L2A,0.00
cn_qingyang_r11,S2B_48SYE_20210928_0_L2A,0.06,S2B_48SYE_20260902_0_L2A,0.00
