site_id,n_frames,mean_delta_t_k,sd_delta_t_k,area_ha,pue_assumed,it_hat_mw,it_lo_mw,it_hi_mw,q_hat_mw,q_lo_mw,q_hi_mw,q_identified,slope_identified,capacity_tier,capacity_it_mw,utilisation,utilisation_identified,in_training_set
colossus_memphis,80,-0.7541125,1.486508065127759,12.330567094734581,1.2,,,,,,,False,False,A1,125.0,,False,True
ctrl_abilene_a,135,0.09400000000000001,0.9057288068962978,6.713243501653732,1.0,,,,,,,False,False,U,,,False,False
ctrl_memphis_a,85,2.0419647058823536,1.5966823523962999,4.827796360307317,1.0,,,,,,,False,False,U,,,False,False
ctrl_memphis_navy,87,-0.06117241379310346,1.338251073246013,4.148008501336818,1.0,,,,,,,False,False,U,,,False,False
ctrl_newalbany_af,135,-0.13877037037037035,1.0374012662298204,7.753969689524604,1.0,,,,,,,False,False,U,,,False,False
ctrl_newalbany_dsv,140,0.03783571428571428,0.6628530183194232,11.312075568984536,1.0,,,,,,,False,False,U,,,False,False
ctrl_newcarlisle_mfg,100,-0.26932,1.185729923768989,3.839463625175158,1.0,,,,,,,False,False,U,,,False,False
ctrl_prineville_schwab,149,-1.4758590604026847,1.943081872293148,5.098479519568209,1.0,,,,,,,False,False,U,,,False,False
ctrl_racine_b,139,-0.06538848920863309,0.6500880487833086,8.196483122146745,1.0,,,,,,,False,False,U,,,False,False
ctrl_racine_mke1,142,0.6414647887323943,1.048080763102451,9.531029223205762,1.0,,,,,,,False,False,U,,,False,False
fairwater_wi,33,0.43896969696969695,0.6888411230487262,17.500000000066795,1.15,,,,,,,False,False,A2,347.82608695652175,,False,True
hyperion_la,13,1.165017094017094,1.4159058798482314,29.25000000003056,1.15,,,,,,,False,False,U,,,False,False
nsa_utah,301,0.18935215946843859,0.916962246898414,10.00843126112225,1.3,,,,,,,False,False,A1,50.0,,False,True
nscc_guangzhou,37,0.532108108108108,1.684322840916323,2.561689320292374,1.3,,,,,,,False,False,A1,18.5,,False,True
nscc_wuxi,41,0.5048048780487805,0.7701299961536427,2.5621723632993896,1.3,,,,,,,False,False,A1,15.4,,False,True
ornl_olcf,193,-0.21059585492227978,1.0652491699829647,9.1056080909208,1.25,,,,,,,False,False,A1,24.6,,False,True
prineville,357,0.9479440535380799,2.518185317369547,30.5867807869656,1.1,,,,,,,False,False,U,,,False,False
prometheus_oh,150,0.4480575208763571,0.8365775878597843,21.432704662430588,1.15,,,,,,,False,False,A2,217.3913043478261,,False,False
rainier_in,45,0.3190867229168929,0.856011658648538,31.274270346861456,1.15,,,,,,,False,False,A2,1078.2608695652175,,False,True
riken_kobe,157,-0.5271592356687899,1.7948748635388247,0.9991794913908439,1.3,,,,,,,False,False,A1,29.9,,False,True
stargate_abilene,143,-0.09863312246206835,1.0439847400591293,42.32040289266008,1.15,,,,,,,False,False,A2,521.7391304347826,,False,True
