site_id,tod,accepted,roof_only_rejected,roof_only_rejection_rate
colossus_memphis,day,119,11.0,0.08
colossus_memphis,night,80,15.0,0.16
ctrl_abilene_a,day,171,7.0,0.04
ctrl_abilene_a,night,135,6.0,0.04
ctrl_memphis_a,day,128,2.0,0.02
ctrl_memphis_a,night,85,4.0,0.04
ctrl_memphis_navy,day,127,6.0,0.05
ctrl_memphis_navy,night,87,4.0,0.04
ctrl_newalbany_af,day,130,7.0,0.05
ctrl_newalbany_af,night,135,10.0,0.07
ctrl_newalbany_dsv,day,132,6.0,0.04
ctrl_newalbany_dsv,night,140,6.0,0.04
ctrl_newcarlisle_mfg,day,138,11.0,0.07
ctrl_newcarlisle_mfg,night,100,8.0,0.07
ctrl_prineville_schwab,day,73,112.0,0.61
ctrl_prineville_schwab,night,149,61.0,0.29
ctrl_racine_b,day,164,3.0,0.02
ctrl_racine_b,night,139,5.0,0.03
ctrl_racine_mke1,day,159,8.0,0.05
ctrl_racine_mke1,night,142,5.0,0.03
fairwater_wi,day,50,7.0,0.12
fairwater_wi,night,33,7.0,0.18
hyperion_la,day,18,5.0,0.22
hyperion_la,night,13,4.0,0.24
nsa_utah,day,302,7.0,0.02
nsa_utah,night,301,14.0,0.04
nscc_guangzhou,day,30,0.0,0.0
nscc_guangzhou,night,37,1.0,0.03
nscc_wuxi,day,65,2.0,0.03
nscc_wuxi,night,41,2.0,0.05
ornl_olcf,day,202,10.0,0.05
ornl_olcf,night,193,9.0,0.04
prineville,day,351,20.0,0.05
prineville,night,357,24.0,0.06
prometheus_oh,day,136,12.0,0.08
prometheus_oh,night,150,10.0,0.06
rainier_in,day,68,14.0,0.17
rainier_in,night,45,11.0,0.2
riken_kobe,day,103,4.0,0.04
riken_kobe,night,157,17.0,0.1
stargate_abilene,day,170,16.0,0.09
stargate_abilene,night,143,9.0,0.06
