site_id,control,tier,frames,night,day,night_per_year,night_dT,night_sd,day_dT,day_sd,diurnal_amp,peak_hour,night_resid_sd,landsat_day_dT,first,last
colossus_memphis,False,A1,263,80,119,17.2,-0.75,1.49,2.81,2.73,2.29,12.6,1.32,3.55,2022-01,2026-08
fairwater_wi,False,A2,106,33,50,26.4,0.44,0.69,-0.28,1.65,0.59,23.1,0.65,-1.58,2025-06,2026-09
hyperion_la,False,U,37,13,18,20.0,1.17,1.42,3.74,3.98,1.74,12.6,0.83,7.63,2026-01,2026-08
nsa_utah,False,A1,742,301,302,37.3,0.19,0.92,-0.24,1.34,0.3,23.7,0.89,-1.79,2018-08,2026-08
nscc_guangzhou,False,A1,87,37,30,4.6,0.53,1.68,-0.68,1.71,0.8,23.9,1.66,-1.1,2018-08,2026-08
nscc_wuxi,False,A1,145,41,65,5.1,0.5,0.77,0.41,1.74,0.07,23.0,0.81,-0.2,2018-08,2026-08
ornl_olcf,False,A1,496,193,202,23.9,-0.21,1.07,3.27,2.58,2.2,13.2,1.03,5.4,2018-08,2026-08
prineville,False,U,916,357,351,44.1,0.95,2.52,-0.27,1.78,0.92,22.1,2.38,-0.85,2018-07,2026-09
prometheus_oh,False,A2,366,150,136,32.2,0.45,0.84,1.74,2.6,0.84,14.0,0.78,3.91,2022-01,2026-09
rainier_in,False,A2,137,45,68,27.2,0.32,0.86,1.98,2.85,1.1,14.0,0.67,3.14,2025-01,2026-08
riken_kobe,False,A1,315,157,103,19.4,-0.53,1.79,0.49,1.7,0.51,12.8,1.82,-0.09,2018-08,2026-08
stargate_abilene,False,A2,399,143,170,30.7,-0.1,1.04,-0.43,2.33,0.16,0.7,0.99,-0.88,2022-01,2026-09
ctrl_abilene_a,True,U,385,135,171,29.0,0.09,0.91,1.12,2.39,0.81,14.6,0.86,1.9,2022-01,2026-09
ctrl_memphis_a,True,U,278,85,128,18.3,2.04,1.6,4.31,2.93,1.48,13.0,1.57,6.6,2022-01,2026-08
ctrl_memphis_navy,True,U,278,87,127,18.7,-0.06,1.34,1.48,2.78,1.04,13.5,1.3,0.53,2022-01,2026-08
ctrl_newalbany_af,True,U,336,135,130,29.0,-0.14,1.04,7.94,5.89,4.63,12.0,1.03,19.97,2022-01,2026-09
ctrl_newalbany_dsv,True,U,345,140,132,30.0,0.04,0.66,1.03,2.38,0.57,12.5,0.65,1.91,2022-01,2026-09
ctrl_newcarlisle_mfg,True,U,295,100,138,21.5,-0.27,1.19,0.26,2.81,0.48,11.9,1.17,-0.52,2022-01,2026-08
ctrl_prineville_schwab,True,U,295,149,73,32.1,-1.48,1.94,-5.13,2.32,1.76,0.8,1.92,-4.68,2022-01,2026-08
ctrl_racine_b,True,U,371,139,164,29.8,-0.07,0.65,5.91,4.87,3.7,12.2,0.63,12.69,2022-01,2026-09
ctrl_racine_mke1,True,U,376,142,159,30.5,0.64,1.05,1.59,2.5,0.57,13.2,0.95,2.73,2022-01,2026-09
