link_id,oris_id,month,gross_mwh,observed_gross_mwh,calendar_hours,operating_unit_hours,reported_unit_hours,expected_unit_hours,coverage,gross_avg_mw,nox_kg,complete
southaven_control,55269,2023-01,290017.02000000,290017.02000000,744,1246.58000000,2232,2232,1.00000000,389.80782258,11662.70532888,True
southaven_control,55269,2023-02,267991.45000000,267991.45000000,672,1142.84000000,2016,2016,1.00000000,398.79680060,10445.74965882,True
southaven_control,55269,2023-03,415177.26000000,415177.26000000,744,1805.37000000,2232,2232,1.00000000,558.03395161,14635.82641320,True
southaven_control,55269,2023-04,342527.62000000,342527.62000000,720,1433.90000000,2160,2160,1.00000000,475.73280556,11800.67225210,True
southaven_control,55269,2023-05,320389.13000000,320389.13000000,744,1390.57000000,2232,2232,1.00000000,430.63055108,12040.00573021,True
southaven_control,55269,2023-06,423709.31000000,423709.31000000,720,1861.44000000,2160,2160,1.00000000,588.48515278,15897.79386851,True
southaven_control,55269,2023-07,455612.34000000,455612.34000000,744,1968.52000000,2232,2232,1.00000000,612.38217742,16504.64602848,True
southaven_control,55269,2023-08,465364.54000000,465364.54000000,744,2024.22000000,2232,2232,1.00000000,625.48997312,16553.71882622,True
southaven_control,55269,2023-09,299789.88000000,299789.88000000,720,1304.15000000,2160,2160,1.00000000,416.37483333,12180.00429365,True
southaven_control,55269,2023-10,333032.26000000,333032.26000000,744,1450.13000000,2232,2232,1.00000000,447.62400538,12765.49678892,True
southaven_control,55269,2023-11,490432.62000000,490432.62000000,720,1856.57000000,2160,2160,1.00000000,681.15641667,16843.85328899,True
southaven_control,55269,2023-12,505272.10000000,505272.10000000,744,1979.20000000,2232,2232,1.00000000,679.12916667,17578.78224415,True
southaven_control,55269,2024-01,566342.00000000,566342.00000000,744,2232.00000000,2232,2232,1.00000000,761.21236559,18839.50549558,True
southaven_control,55269,2024-02,261599.11000000,261599.11000000,696,1072.33000000,2088,2088,1.00000000,375.86079023,10544.59469372,True
southaven_control,55269,2024-03,281386.22000000,281386.22000000,744,1234.98000000,2232,2232,1.00000000,378.20728495,10551.66347721,True
southaven_control,55269,2024-04,169194.26000000,169194.26000000,720,654.21000000,2160,2160,1.00000000,234.99202778,6527.79838934,True
southaven_control,55269,2024-05,480223.61000000,480223.61000000,744,2006.20000000,2232,2232,1.00000000,645.46184140,17516.53621680,True
southaven_control,55269,2024-06,495619.65000000,495619.65000000,720,2091.04000000,2160,2160,1.00000000,688.36062500,17329.37901543,True
southaven_control,55269,2024-07,531119.00000000,531119.00000000,744,2176.20000000,2232,2232,1.00000000,713.86962366,17900.48265354,True
southaven_control,55269,2024-08,545554.00000000,545554.00000000,744,2232.00000000,2232,2232,1.00000000,733.27150538,18240.71820794,True
southaven_control,55269,2024-09,458174.31000000,458174.31000000,720,1914.22000000,2160,2160,1.00000000,636.35320833,15780.55611660,True
southaven_control,55269,2024-10,346583.00000000,346583.00000000,744,1392.08000000,2232,2232,1.00000000,465.83736559,11438.55268021,True
southaven_control,55269,2024-11,266383.78000000,266383.78000000,720,1062.46000000,2160,2160,1.00000000,369.97747222,9174.13247944,True
southaven_control,55269,2024-12,327589.45000000,327589.45000000,744,1307.86000000,2232,2232,1.00000000,440.30840054,12414.05160628,True
southaven_control,55269,2025-01,548420.83000000,548420.83000000,744,2162.97000000,2232,2232,1.00000000,737.12477151,18356.73352842,True
southaven_control,55269,2025-02,514011.00000000,514011.00000000,672,2016.00000000,2016,2016,1.00000000,764.89732143,16456.92085368,True
southaven_control,55269,2025-03,550067.00000000,550067.00000000,744,2232.00000000,2232,2232,1.00000000,739.33736559,17972.28224338,True
southaven_control,55269,2025-04,466568.73000000,466568.73000000,720,1892.97000000,2160,2160,1.00000000,648.01212500,15565.61774333,True
southaven_control,55269,2025-05,97838.11000000,97838.11000000,744,434.72000000,2232,2232,1.00000000,131.50283602,4061.77951331,True
southaven_control,55269,2025-06,483370.79000000,483370.79000000,720,2063.65000000,2160,2160,1.00000000,671.34831944,16539.69465732,True
southaven_control,55269,2025-07,533122.00000000,533122.00000000,744,2232.00000000,2232,2232,1.00000000,716.56182796,17912.86164291,True
southaven_control,55269,2025-08,531084.00000000,531084.00000000,744,2232.00000000,2232,2232,1.00000000,713.82258065,17905.05985414,True
southaven_control,55269,2025-09,424879.61000000,424879.61000000,720,1989.10000000,2160,2160,1.00000000,590.11056944,15065.64147117,True
southaven_control,55269,2025-10,527449.00000000,527449.00000000,744,2232.00000000,2232,2232,1.00000000,708.93682796,17657.17162394,True
southaven_control,55269,2025-11,265567.52000000,265567.52000000,720,1125.99000000,2160,2160,1.00000000,368.84377778,9651.80742914,True
southaven_control,55269,2025-12,471375.40000000,471375.40000000,744,1891.90000000,2232,2232,1.00000000,633.56908602,15508.67466439,True
southaven_control,55269,2026-01,508294.67000000,508294.67000000,744,2009.35000000,2232,2232,1.00000000,683.19176075,16827.04224857,True
southaven_control,55269,2026-02,425867.23000000,425867.23000000,672,1676.91000000,2016,2016,1.00000000,633.73099702,14496.34812021,True
southaven_control,55269,2026-03,502379.20000000,502379.20000000,744,2072.05000000,2232,2232,1.00000000,675.24086022,16464.22006210,True
southaven_control,55269,2026-04,372377.25000000,372377.25000000,720,1553.52000000,2160,2160,1.00000000,517.19062500,12686.01561230,True
southaven_control,55269,2026-05,480325.03000000,480325.03000000,744,2130.75000000,2232,2232,1.00000000,645.59815860,15584.82239069,True
southaven_control,55269,2026-06,512765.00000000,512765.00000000,720,2160.00000000,2160,2160,1.00000000,712.17361111,16533.21509031,True
