d,nox_kgh_cal,nox_se,n_days
2023-01,4987.3,1099.6,4
2023-02,2151.9,888.8,3
2023-03,3368.7,2196.1,5
2023-04,545.8,1592.6,9
2023-05,551.6,488.2,7
2023-06,-1743.1,878.7,4
2023-07,-706.4,360.5,5
2023-08,367.4,423.0,6
2023-09,-190.6,531.2,7
2023-10,1471.2,1987.5,6
2023-11,2990.4,1554.6,6
2023-12,2431.6,809.0,5
2024-02,838.7,512.2,5
2024-03,2520.2,1542.2,5
2024-04,-34.5,633.0,3
2024-05,-99.0,274.7,6
2024-07,107.9,188.6,4
2024-08,-308.8,155.2,16
2024-09,-642.8,345.2,10
2024-12,4717.0,1501.6,4
2025-03,2326.7,977.2,5
2025-04,-735.7,962.1,4
2025-05,-654.3,254.5,10
2025-06,-260.7,210.7,8
2025-07,-50.0,248.6,9
2025-08,-148.9,127.0,14
2025-09,163.1,347.0,5
2025-10,394.0,876.7,5
2025-11,3714.7,1700.5,4
2026-01,1944.5,1544.6,8
2026-02,483.1,1055.3,5
2026-03,1056.6,789.2,5
2026-04,143.5,254.4,6
2026-05,-224.3,207.8,6
2026-07,-163.1,83.9,12
2026-08,-12.0,308.5,5
