d,nox_kgh_cal,nox_se,n_days
2023-01,-677.7,563.7,19
2023-02,-241.2,756.2,13
2023-03,309.0,502.3,16
2023-04,-196.9,1032.1,13
2023-05,-617.0,807.5,12
2023-06,569.2,271.4,16
2023-07,152.2,309.9,11
2023-08,337.5,295.8,15
2023-09,168.1,239.6,17
2023-10,1616.6,1212.0,9
2023-11,-693.7,815.2,16
2023-12,548.0,717.8,8
2024-02,-347.4,677.4,6
2024-03,453.2,614.0,15
2024-04,255.4,747.5,16
2024-05,250.9,416.2,19
2024-06,162.0,167.2,15
2024-07,171.2,456.4,12
2024-08,339.2,127.0,12
2024-09,504.6,761.3,8
2024-10,731.8,1065.9,12
2024-11,-425.2,1361.1,8
2024-12,-951.6,565.9,13
2025-01,-1520.7,1056.9,13
2025-02,1112.8,627.9,14
2025-03,765.5,1481.3,16
2025-04,97.1,459.6,12
2025-05,811.2,593.8,13
2025-06,194.9,303.0,17
2025-07,469.5,128.3,11
2025-08,376.6,214.4,11
2025-09,197.0,244.1,14
2025-10,-1024.5,884.5,12
2025-11,-18.2,940.1,19
2025-12,-1069.7,794.3,15
2026-01,-2761.1,1443.3,14
2026-02,-672.1,683.7,13
2026-03,-279.2,1424.8,14
2026-04,-517.6,308.4,17
2026-05,619.2,271.3,16
2026-06,193.9,250.6,18
2026-07,339.8,133.8,17
2026-08,119.1,152.8,14
