d,nox_kgh_cal,nox_se,n_days
2023-01,4027.9,1772.3,14
2023-02,1824.3,1131.9,15
2023-03,1960.8,669.8,24
2023-04,428.8,385.1,18
2023-05,592.5,365.2,14
2023-06,719.8,204.2,12
2023-07,141.8,211.5,12
2023-08,192.0,330.6,18
2023-09,101.6,320.2,21
2023-10,1552.1,431.9,21
2023-11,2837.5,1649.0,21
2023-12,174.7,2332.6,12
2024-01,4215.6,1560.2,6
2024-02,190.6,1483.7,4
2024-03,-339.6,673.5,17
2024-04,163.0,437.4,20
2024-05,1778.2,691.0,20
2024-06,564.4,277.6,17
2024-07,-284.2,331.5,9
2024-08,-104.4,216.8,13
2024-09,147.8,451.8,8
2024-10,876.2,1136.7,19
2024-11,2118.4,1020.9,20
2024-12,3210.2,1311.6,23
2025-01,5413.1,1488.0,16
2025-02,2381.1,681.2,23
2025-03,1469.7,706.1,16
2025-04,157.5,414.1,16
2025-05,-1015.6,635.8,15
2025-06,-192.0,234.6,18
2025-07,39.8,194.6,12
2025-08,28.4,286.1,16
2025-09,311.7,250.6,18
2025-10,1170.8,575.5,13
2025-11,3391.6,1064.7,19
2025-12,3886.8,1226.8,21
2026-01,6579.7,1718.1,26
2026-02,3232.8,1518.6,20
2026-03,-193.3,1066.0,17
2026-04,1959.6,910.2,18
2026-05,214.3,303.2,18
2026-06,171.0,477.9,13
2026-07,72.6,268.6,14
2026-08,-758.6,290.9,10
