d,nox_kgh_cal,nox_se,n_days
2023-01,300.5,213.9,10
2023-02,-264.0,247.4,14
2023-03,-182.1,169.4,15
2023-04,9.1,185.2,11
2023-05,-124.9,193.6,14
2023-06,-48.1,218.7,12
2023-07,154.6,162.6,14
2023-08,100.2,79.2,11
2023-09,60.8,108.4,13
2023-10,226.7,183.5,18
2023-11,-173.7,309.5,16
2023-12,126.5,223.4,16
2024-01,-280.4,198.1,8
2024-02,60.9,252.9,14
2024-03,78.5,137.5,15
2024-04,-194.8,220.5,11
2024-05,153.3,169.8,13
2024-06,-207.8,162.8,15
2024-07,-144.3,132.1,15
2024-08,-61.2,112.6,18
2024-09,-71.8,278.6,11
2024-10,-194.3,146.1,21
2024-11,213.8,164.5,13
2024-12,-224.9,191.4,9
2025-01,-44.9,163.1,17
2025-02,258.5,213.1,11
2025-03,103.6,205.0,15
2025-04,120.2,199.5,17
2025-05,-30.6,160.4,8
2025-06,217.3,241.0,17
2025-07,-160.7,114.5,18
2025-08,-53.0,113.3,14
2025-09,279.7,124.5,10
2025-10,133.9,168.8,16
2025-11,414.3,302.5,13
2025-12,849.3,230.6,16
2026-01,665.0,319.1,15
2026-02,1014.5,303.2,11
2026-03,653.0,178.4,16
2026-04,778.4,210.3,14
2026-05,1058.0,512.0,7
2026-06,1573.7,358.8,15
2026-07,1240.4,307.6,14
2026-08,1174.1,399.4,16
