z,d,rad,n
campus,2019-01-01,,0
ring,2019-01-01,,0
campus,2019-01-02,,0
ring,2019-01-02,,0
campus,2019-01-03,,0
ring,2019-01-03,0.4195913422193612,50
campus,2019-01-04,,0
ring,2019-01-04,,0
campus,2019-01-05,,0
ring,2019-01-05,0.33821011066016243,35
campus,2019-01-06,,0
ring,2019-01-06,,0
campus,2019-01-07,,0
ring,2019-01-07,,0
campus,2019-01-08,,0
ring,2019-01-08,,0
campus,2019-01-09,0.3872318404707436,9
ring,2019-01-09,0.49315649535402795,22
campus,2019-01-10,,0
ring,2019-01-10,,0
campus,2019-01-11,0.44829683693642863,11
ring,2019-01-11,3.362970493503046,1280
campus,2019-01-12,0.624281764626503,4
ring,2019-01-12,1.1216035543301075,11
campus,2019-01-13,,0
ring,2019-01-13,,0
campus,2019-01-14,,0
ring,2019-01-14,,0
campus,2019-01-15,,0
ring,2019-01-15,,0
campus,2019-01-16,,0
ring,2019-01-16,,0
campus,2019-01-17,,0
ring,2019-01-17,8.56267043884691,32
campus,2019-01-18,,0
ring,2019-01-18,,0
campus,2019-01-19,,0
ring,2019-01-19,,0
campus,2019-01-20,,0
ring,2019-01-20,,0
campus,2019-01-21,,0
ring,2019-01-21,,0
campus,2019-01-22,,0
ring,2019-01-22,,0
campus,2019-01-23,,0
ring,2019-01-23,,0
campus,2019-01-24,,0
ring,2019-01-24,,0
campus,2019-01-25,,0
ring,2019-01-25,,0
campus,2019-01-26,,0
ring,2019-01-26,,0
campus,2019-01-27,,0
ring,2019-01-27,,0
campus,2019-01-28,,0
ring,2019-01-28,,0
campus,2019-01-29,,0
ring,2019-01-29,0.22718320178884616,72
campus,2019-01-30,,0
ring,2019-01-30,0.09460243890778544,83
campus,2019-01-31,,0
ring,2019-01-31,,0
campus,2019-02-01,,0
ring,2019-02-01,0.31639109886923195,8
campus,2019-02-02,0.46955012105716953,11
ring,2019-02-02,0.7746303052341246,441
campus,2019-02-03,,0
ring,2019-02-03,,0
campus,2019-02-04,1.6151456659737653,11
ring,2019-02-04,4.531959548968525,1328
campus,2019-02-05,0.8483142476571379,11
ring,2019-02-05,4.6474617296534495,1410
campus,2019-02-06,,0
ring,2019-02-06,,0
campus,2019-02-07,,0
ring,2019-02-07,,0
campus,2019-02-08,,0
ring,2019-02-08,,0
campus,2019-02-09,,0
ring,2019-02-09,0.33244443904673754,26
campus,2019-02-10,1.0471504527795918,4
ring,2019-02-10,1.0839203130115163,20
campus,2019-02-11,,0
ring,2019-02-11,,0
campus,2019-02-12,,0
ring,2019-02-12,0.8510742841285945,177
campus,2019-02-13,,0
ring,2019-02-13,1.6528358400810998,62
campus,2019-02-14,,0
ring,2019-02-14,,0
campus,2019-02-15,,0
ring,2019-02-15,,0
campus,2019-02-16,,0
ring,2019-02-16,,0
campus,2019-02-17,,0
ring,2019-02-17,,0
campus,2019-02-18,,0
ring,2019-02-18,1.810997448861599,4
campus,2019-02-19,,0
ring,2019-02-19,,0
campus,2019-02-20,,0
ring,2019-02-20,,0
campus,2019-02-21,0.4804409910744135,11
ring,2019-02-21,3.6117562233633485,1373
campus,2019-02-22,,0
ring,2019-02-22,,0
campus,2019-02-23,,0
ring,2019-02-23,,0
campus,2019-02-24,,0
ring,2019-02-24,,0
campus,2019-02-25,,0
ring,2019-02-25,,0
campus,2019-02-26,,0
ring,2019-02-26,,0
campus,2019-02-27,,0
ring,2019-02-27,,0
campus,2019-02-28,,0
ring,2019-02-28,,0
campus,2019-03-01,,0
ring,2019-03-01,,0
campus,2019-03-02,0.9414368580955974,11
ring,2019-03-02,2.557968621685248,748
campus,2019-03-03,,0
ring,2019-03-03,1.1851089453443542,216
campus,2019-03-04,,0
ring,2019-03-04,,0
campus,2019-03-05,,0
ring,2019-03-05,,0
campus,2019-03-06,,0
ring,2019-03-06,,0
campus,2019-03-07,,0
ring,2019-03-07,,0
campus,2019-03-08,,0
ring,2019-03-08,,0
campus,2019-03-09,,0
ring,2019-03-09,,0
campus,2019-03-10,,0
ring,2019-03-10,,0
campus,2019-03-11,0.9411361417389644,11
ring,2019-03-11,3.529275872583201,957
campus,2019-03-12,,0
ring,2019-03-12,,0
campus,2019-03-13,,0
ring,2019-03-13,,0
campus,2019-03-14,,0
ring,2019-03-14,,0
campus,2019-03-15,,0
ring,2019-03-15,,0
campus,2019-03-16,,0
ring,2019-03-16,,0
campus,2019-03-17,0.5035386886065225,11
ring,2019-03-17,4.091874219056765,1333
campus,2019-03-18,,0
ring,2019-03-18,,0
campus,2019-03-19,0.30091440493593996,10
ring,2019-03-19,3.9515718135845965,1352
campus,2019-03-20,0.2586754601250471,11
ring,2019-03-20,3.9612947856018774,1080
campus,2019-03-21,,0
ring,2019-03-21,,0
campus,2019-03-22,,0
ring,2019-03-22,,0
campus,2019-03-23,,0
ring,2019-03-23,,0
campus,2019-03-24,0.46812008943819516,11
ring,2019-03-24,4.0538443259092185,1271
campus,2019-03-25,,0
ring,2019-03-25,,0
campus,2019-03-26,,0
ring,2019-03-26,,0
campus,2019-03-27,,0
ring,2019-03-27,,0
campus,2019-03-28,0.831014788921342,11
ring,2019-03-28,4.694092375605727,1410
campus,2019-03-29,,0
ring,2019-03-29,,0
campus,2019-03-30,,0
ring,2019-03-30,,0
campus,2019-03-31,,0
ring,2019-03-31,,0
campus,2019-04-01,,0
ring,2019-04-01,,0
campus,2019-04-02,,0
ring,2019-04-02,,0
campus,2019-04-03,,0
ring,2019-04-03,,0
campus,2019-04-04,,0
ring,2019-04-04,,0
campus,2019-04-05,0.7186045380146332,11
ring,2019-04-05,4.1562040729994605,1410
campus,2019-04-06,0.5826307873762154,11
ring,2019-04-06,4.334212657031385,1410
campus,2019-04-07,0.7099578282225724,11
ring,2019-04-07,4.489796204504731,1352
campus,2019-04-08,,0
ring,2019-04-08,6.987315246117824,435
campus,2019-04-09,,0
ring,2019-04-09,1.0131268822442554,35
campus,2019-04-10,,0
ring,2019-04-10,,0
campus,2019-04-11,1.0102257196440898,11
ring,2019-04-11,5.667722147332485,432
campus,2019-04-12,,0
ring,2019-04-12,,0
campus,2019-04-13,,0
ring,2019-04-13,,0
campus,2019-04-14,,0
ring,2019-04-14,,0
campus,2019-04-15,,0
ring,2019-04-15,,0
campus,2019-04-16,0.21185472047260961,11
ring,2019-04-16,0.9583366288877062,385
campus,2019-04-17,,0
ring,2019-04-17,2.5304373568842804,390
campus,2019-04-18,,0
ring,2019-04-18,6.626023383604691,312
campus,2019-04-19,,0
ring,2019-04-19,,0
campus,2019-04-20,,0
ring,2019-04-20,,0
campus,2019-04-21,0.42883180304570334,12
ring,2019-04-21,3.9331889898040417,1388
campus,2019-04-22,0.562945853189561,12
ring,2019-04-22,4.328556767430692,1192
campus,2019-04-23,0.5546144274189186,12
ring,2019-04-23,4.048195253833285,1362
campus,2019-04-24,0.3137259387650721,12
ring,2019-04-24,4.581893357961139,1357
campus,2019-04-25,,0
ring,2019-04-25,8.328802291132464,680
campus,2019-04-26,1.3814601307835586,8
ring,2019-04-26,5.948028367618711,942
campus,2019-04-27,,0
ring,2019-04-27,,0
campus,2019-04-28,,0
ring,2019-04-28,,0
campus,2019-04-29,,0
ring,2019-04-29,,0
campus,2019-04-30,1.5020830020738118,12
ring,2019-04-30,1.6142065125879865,210
campus,2019-05-01,,0
ring,2019-05-01,,0
campus,2019-05-02,,0
ring,2019-05-02,,0
campus,2019-05-03,,0
ring,2019-05-03,,0
campus,2019-05-04,,0
ring,2019-05-04,,0
campus,2019-05-05,,0
ring,2019-05-05,,0
campus,2019-05-06,,0
ring,2019-05-06,,0
campus,2019-05-07,,0
ring,2019-05-07,,0
campus,2019-05-08,,0
ring,2019-05-08,,0
campus,2019-05-09,,0
