z,d,rad,n
campus,2019-01-01,15.01825121816818,11
ring,2019-01-01,18.284324368756153,811
campus,2019-01-02,,0
ring,2019-01-02,,0
campus,2019-01-03,,0
ring,2019-01-03,,0
campus,2019-01-04,,0
ring,2019-01-04,2.2735952457221553,61
campus,2019-01-05,21.75360096780016,11
ring,2019-01-05,30.69297706251883,1485
campus,2019-01-06,13.469643976214277,11
ring,2019-01-06,26.029607366909737,1484
campus,2019-01-07,,0
ring,2019-01-07,2.3466808510957464,26
campus,2019-01-08,,0
ring,2019-01-08,21.507596698047163,305
campus,2019-01-09,12.654023309292885,11
ring,2019-01-09,27.11698012007526,1483
campus,2019-01-10,21.373261249798738,11
ring,2019-01-10,32.921378672575116,1484
campus,2019-01-11,18.936931363843886,11
ring,2019-01-11,47.838860406583684,565
campus,2019-01-12,,0
ring,2019-01-12,,0
campus,2019-01-13,,0
ring,2019-01-13,0.9688162076473237,5
campus,2019-01-14,,0
ring,2019-01-14,1.5766314730005724,7
campus,2019-01-15,,0
ring,2019-01-15,1.9938372675882,4
campus,2019-01-16,16.955542945725384,11
ring,2019-01-16,32.32050734725115,1484
campus,2019-01-17,,0
ring,2019-01-17,,0
campus,2019-01-18,,0
ring,2019-01-18,30.688989491066028,96
campus,2019-01-19,,0
ring,2019-01-19,,0
campus,2019-01-20,,0
ring,2019-01-20,36.617433940144785,109
campus,2019-01-21,,0
ring,2019-01-21,,0
campus,2019-01-22,,0
ring,2019-01-22,31.313444101707358,140
campus,2019-01-23,,0
ring,2019-01-23,,0
campus,2019-01-24,,0
ring,2019-01-24,76.43690067426391,33
campus,2019-01-25,32.495643615722656,1
ring,2019-01-25,20.57108176234411,841
campus,2019-01-26,22.95108391300806,8
ring,2019-01-26,47.56934745082941,668
campus,2019-01-27,,0
ring,2019-01-27,20.28306069863801,688
campus,2019-01-28,13.973771381105307,11
ring,2019-01-28,25.12993556916282,1443
campus,2019-01-29,,0
ring,2019-01-29,8.602916606276182,607
campus,2019-01-30,16.176310887834717,11
ring,2019-01-30,27.090998160287796,1482
campus,2019-01-31,18.300774919458043,11
ring,2019-01-31,32.12262633942882,1484
campus,2019-02-01,,0
ring,2019-02-01,4.091739694277446,6
campus,2019-02-02,19.349983139099482,11
ring,2019-02-02,20.100604992107247,1194
