ym,campus,ring,n_days,diff
2019-01,1.2981402457706515,12.699023751557455,5.0,-11.400883505786803
2019-03,1.6759806712245855,13.351053873697916,13.0,-11.67507320247333
2019-04,1.2279474092186557,12.05828055210607,18.0,-10.830333142887413
2019-05,1.850782915587737,8.049956607763189,9.0,-6.199173692175452
2019-06,1.7000843970292816,11.387227934378343,9.0,-9.687143537349062
2019-07,2.066833371660806,11.635544814939,16.0,-9.568711443278193
2019-08,1.4717895307836677,11.373689710339432,22.0,-9.901900179555765
2019-09,1.457002063536622,11.182250799296373,14.0,-9.72524873575975
2019-10,1.891952960542382,11.517295138247361,12.0,-9.62534217770498
2019-11,2.6378878670023718,11.605360897292968,9.0,-8.967473030290597
2019-12,2.224153734984796,13.337213774358311,14.0,-11.113060039373515
2020-01,2.9953217195863484,12.510915174598574,6.0,-9.515593455012226
2020-02,2.9603526253774377,22.305312612308114,9.0,-19.344959986930675
2020-03,2.349685690761392,10.384956709572744,11.0,-8.035271018811352
2020-04,1.9560789244861183,12.348376765182344,11.0,-10.392297840696227
2020-05,2.000682788031568,12.402211249582027,13.0,-10.401528461550459
2020-06,2.0110918943845832,12.693998168243233,13.0,-10.68290627385865
2020-07,2.246607843030423,12.146581710043835,20.0,-9.899973867013411
2020-08,2.627931009139522,12.936755771498017,25.0,-10.308824762358496
2020-09,2.8575608514381505,11.395310408419107,16.0,-8.537749556980955
2020-10,2.304541154847203,12.655448742103978,18.0,-10.350907587256774
2020-11,2.2966053483644235,13.099446264196464,16.0,-10.802840915832041
2020-12,2.3084937912854606,11.128413575563096,9.0,-8.819919784277635
2021-03,2.9808241548547114,14.629210234549433,13.0,-11.64838607969472
2021-04,2.688513379137056,13.347071786369785,15.0,-10.658558407232729
2021-05,2.4961878619950637,13.483573211641726,13.0,-10.987385349646662
2021-06,1.9974742048452412,13.725062165928666,13.0,-11.727587961083424
2021-07,4.364387124666869,13.14008197665363,19.0,-8.77569485198676
2021-08,3.2901677610249536,13.356903977043153,21.0,-10.0667362160182
2021-09,2.979681777686966,13.496585019846245,21.0,-10.516903242159279
2021-10,2.3519949597187693,12.765908734464244,15.0,-10.413913774745474
2021-11,2.584773659038277,14.592761134340629,15.0,-12.007987475302352
2021-12,2.5195181642482485,14.150366308752192,12.0,-11.630848144503943
2022-01,3.23435640335083,13.896678940325874,5.0,-10.662322536975044
2022-02,8.612226479904713,19.52403697566301,10.0,-10.911810495758296
2022-03,6.299177250385731,14.137134415699435,11.0,-7.837957165313704
2022-04,6.042890734558176,14.570502938802294,13.0,-8.527612204244118
2022-05,4.498819119275918,13.755882154225588,14.0,-9.25706303494967
2022-06,7.203458335603358,14.830401007497526,9.0,-7.626942671894168
2022-07,3.5049140057440615,14.149592585397858,11.0,-10.644678579653796
2022-08,4.620936806462393,13.36114961680366,13.0,-8.740212810341266
2022-09,9.126927530064302,14.361011752545622,18.0,-5.23408422248132
2022-10,7.3058541025709935,14.012217481537748,22.0,-6.7063633789667545
2022-11,6.043505091006528,14.989434299265191,16.0,-8.945929208258663
2022-12,7.191606469110613,17.389495150469546,13.0,-10.197888681358933
2023-01,6.0401409306972145,10.111683359894931,5.0,-4.0715424291977165
2023-02,8.533816388285572,15.577261084956557,12.0,-7.043444696670985
2023-03,6.297493475603235,20.484166247608854,11.0,-14.186672772005618
2023-04,5.457393485290998,15.861997392656894,21.0,-10.404603907365896
2023-05,6.38948521035859,14.086074544188627,12.0,-7.696589333830037
2023-06,7.738386735227042,15.534914126451564,13.0,-7.796527391224522
2023-07,6.443299602066002,15.296252548375838,14.0,-8.852952946309836
2023-08,5.763635941884886,14.940690705221352,24.0,-9.177054763336464
2023-09,5.41088800577017,15.123791510168974,17.0,-9.712903504398804
