z,d,rad,n
campus,2019-01-01,,0
ring,2019-01-01,4.408435534941388,9
campus,2019-01-02,,0
ring,2019-01-02,2.3944896964703575,8
campus,2019-01-03,1.3459444650414947,12
ring,2019-01-03,12.589990925878192,1640
campus,2019-01-04,1.2794145207111243,12
ring,2019-01-04,10.87244244293463,1647
campus,2019-01-05,1.2981402457706515,12
ring,2019-01-05,12.07810934442128,1642
campus,2019-01-06,1.16466488312829,12
ring,2019-01-06,12.80805657723672,1583
campus,2019-01-07,,0
ring,2019-01-07,,0
campus,2019-01-08,,0
ring,2019-01-08,,0
campus,2019-01-09,,0
ring,2019-01-09,2.7346050021078088,92
campus,2019-01-10,1.4500811226895547,12
ring,2019-01-10,13.896907455431196,1605
campus,2019-01-11,,0
ring,2019-01-11,5.726513539714639,40
campus,2019-01-12,,0
ring,2019-01-12,,0
campus,2019-01-13,,0
ring,2019-01-13,,0
campus,2019-01-14,,0
ring,2019-01-14,1.4602398471800884,36
campus,2019-01-15,,0
ring,2019-01-15,1.2402073949397872,69
campus,2019-01-16,,0
ring,2019-01-16,4.066955646359919,88
campus,2019-01-17,,0
ring,2019-01-17,,0
campus,2019-01-18,,0
ring,2019-01-18,8.86856609479522,96
campus,2019-01-19,,0
ring,2019-01-19,,0
campus,2019-01-20,,0
ring,2019-01-20,104.35969969547092,428
campus,2019-01-21,,0
ring,2019-01-21,71.05535797031057,38
campus,2019-01-22,,0
ring,2019-01-22,,0
campus,2019-01-23,,0
ring,2019-01-23,,0
campus,2019-01-24,,0
ring,2019-01-24,100.55533955127265,15
campus,2019-01-25,,0
ring,2019-01-25,99.63169990892267,25
campus,2019-01-26,,0
ring,2019-01-26,84.03601287578013,26
campus,2019-01-27,,0
ring,2019-01-27,97.53121170027036,19
campus,2019-01-28,,0
ring,2019-01-28,,0
campus,2019-01-29,,0
ring,2019-01-29,32.59157147183129,52
campus,2019-01-30,,0
ring,2019-01-30,79.02082452950195,8
campus,2019-01-31,,0
ring,2019-01-31,39.92381625213711,11
campus,2019-02-01,,0
ring,2019-02-01,23.219930171966553,4
campus,2019-02-02,,0
ring,2019-02-02,,0
campus,2019-02-03,,0
ring,2019-02-03,5.901440143585205,2
campus,2019-02-04,,0
ring,2019-02-04,,0
campus,2019-02-05,1.6414275169372559,1
ring,2019-02-05,2.4760681985517774,50
campus,2019-02-06,,0
ring,2019-02-06,,0
campus,2019-02-07,,0
ring,2019-02-07,1.1916920111462532,47
campus,2019-02-08,4.492802952465258,2
ring,2019-02-08,3.704311385200647,9
campus,2019-02-09,1.4455495416060664,12
ring,2019-02-09,18.688725755364562,1401
campus,2019-02-10,,0
ring,2019-02-10,,0
campus,2019-02-11,,0
ring,2019-02-11,,0
campus,2019-02-12,,0
ring,2019-02-12,,0
campus,2019-02-13,,0
ring,2019-02-13,,0
campus,2019-02-14,,0
ring,2019-02-14,6.723323256805026,10
campus,2019-02-15,,0
ring,2019-02-15,7.043386220932007,2
campus,2019-02-16,,0
ring,2019-02-16,17.764826842445714,27
campus,2019-02-17,,0
ring,2019-02-17,,0
campus,2019-02-18,,0
ring,2019-02-18,,0
campus,2019-02-19,,0
ring,2019-02-19,1.6433547735214233,1
campus,2019-02-20,,0
ring,2019-02-20,,0
campus,2019-02-21,,0
ring,2019-02-21,10.201929771253706,12
campus,2019-02-22,,0
ring,2019-02-22,21.72352749236551,15
campus,2019-02-23,,0
ring,2019-02-23,15.98375332736155,13
campus,2019-02-24,,0
ring,2019-02-24,,0
campus,2019-02-25,2.24695435166359,5
ring,2019-02-25,7.564737371736994,238
campus,2019-02-26,,0
ring,2019-02-26,5.555775428588995,25
campus,2019-02-27,,0
ring,2019-02-27,12.654494730560277,22
campus,2019-02-28,,0
ring,2019-02-28,113.58428192138672,1
campus,2019-03-01,,0
ring,2019-03-01,13.351053873697916,6
campus,2019-03-02,,0
ring,2019-03-02,,0
campus,2019-03-03,,0
ring,2019-03-03,,0
campus,2019-03-04,,0
ring,2019-03-04,63.93628501247071,131
campus,2019-03-05,,0
ring,2019-03-05,55.15981599464148,137
campus,2019-03-06,,0
ring,2019-03-06,67.00789172485618,138
campus,2019-03-07,,0
ring,2019-03-07,56.54791315082235,302
campus,2019-03-08,,0
ring,2019-03-08,18.39739398941017,84
campus,2019-03-09,,0
ring,2019-03-09,21.990741478702702,634
campus,2019-03-10,,0
ring,2019-03-10,5.974002662826987,34
campus,2019-03-11,,0
ring,2019-03-11,23.622456777857895,913
campus,2019-03-12,2.1431923719013435,4
ring,2019-03-12,19.50077502669935,1037
campus,2019-03-13,,0
ring,2019-03-13,,0
campus,2019-03-14,3.3599050045013428,1
ring,2019-03-14,3.755925258634466,40
campus,2019-03-15,1.6985844408764559,4
ring,2019-03-15,3.1602409567988063,72
campus,2019-03-16,2.6232378482818604,1
ring,2019-03-16,5.94231553689934,531
campus,2019-03-17,,0
ring,2019-03-17,28.178736686706543,16
campus,2019-03-18,1.0114250679532577,12
ring,2019-03-18,11.349529035181035,598
campus,2019-03-19,,0
ring,2019-03-19,12.954273151613737,180
campus,2019-03-20,0.8610813900424878,12
ring,2019-03-20,12.279977518651233,1453
campus,2019-03-21,,0
ring,2019-03-21,23.584821881815373,47
campus,2019-03-22,0.7323418644184715,12
ring,2019-03-22,11.14223876945812,1441
campus,2019-03-23,0.9732358336559978,12
ring,2019-03-23,12.534599237813946,1457
campus,2019-03-24,,0
ring,2019-03-24,,0
campus,2019-03-25,1.6759806712245855,12
ring,2019-03-25,9.529430027479966,1041
campus,2019-03-26,1.795436102357788,12
ring,2019-03-26,13.989271666490962,1502
campus,2019-03-27,1.6258952858067361,12
ring,2019-03-27,12.176853955505779,1469
campus,2019-03-28,,0
ring,2019-03-28,,0
campus,2019-03-29,2.2360965523383665,8
ring,2019-03-29,1.480045767167744,86
campus,2019-03-30,,0
ring,2019-03-30,,0
campus,2019-03-31,1.3755741581306853,12
ring,2019-03-31,13.869664411775313,1648
campus,2019-04-01,1.374625721120256,12
ring,2019-04-01,12.726342245233598,1644
campus,2019-04-02,,0
ring,2019-04-02,,0
campus,2019-04-03,0.7671129756392331,12
ring,2019-04-03,11.839244532440963,1642
campus,2019-04-04,,0
ring,2019-04-04,,0
campus,2019-04-05,3.7623345862818134,7
ring,2019-04-05,4.454686798373169,87
campus,2019-04-06,1.515045777806696,2
ring,2019-04-06,13.627752823120694,1539
campus,2019-04-07,,0
ring,2019-04-07,,0
campus,2019-04-08,1.032717964228462,12
ring,2019-04-08,8.420709578197137,1566
campus,2019-04-09,0.7759494433661247,12
ring,2019-04-09,11.695466446973581,1641
campus,2019-04-10,1.7153184136756663,12
ring,2019-04-10,7.775581534711588,752
campus,2019-04-11,,0
ring,2019-04-11,,0
campus,2019-04-12,,0
ring,2019-04-12,,0
campus,2019-04-13,1.0812690973170556,12
ring,2019-04-13,11.900877611337553,1639
campus,2019-04-14,,0
ring,2019-04-14,,0
campus,2019-04-15,2.7136606618157435,6
ring,2019-04-15,46.93351988243049,732
campus,2019-04-16,,0
ring,2019-04-16,13.351375536485152,22
campus,2019-04-17,,0
ring,2019-04-17,8.033575357166246,42
campus,2019-04-18,0.7492223114303961,12
ring,2019-04-18,10.300434650609631,760
campus,2019-04-19,,0
ring,2019-04-19,,0
campus,2019-04-20,0.5586578249656406,8
ring,2019-04-20,12.892199743468842,1397
campus,2019-04-21,0.7278011405471502,7
ring,2019-04-21,12.863979677573555,814
campus,2019-04-22,3.5323380512349747,2
ring,2019-04-22,12.786672098802173,1253
campus,2019-04-23,4.033720016479492,1
ring,2019-04-23,,0
campus,2019-04-24,0.8732138380573244,8
ring,2019-04-24,12.215683492874584,1508
campus,2019-04-25,0.9092478189081286,8
ring,2019-04-25,11.305539925505872,1486
campus,2019-04-26,,0
ring,2019-04-26,,0
campus,2019-04-27,1.945839440504156,7
ring,2019-04-27,14.48350363959648,1445
campus,2019-04-28,2.543066732337994,8
ring,2019-04-28,20.637944277694338,1647
campus,2019-04-29,,0
ring,2019-04-29,,0
campus,2019-04-30,,0
ring,2019-04-30,1.2191330306231976,16
campus,2019-05-01,,0
ring,2019-05-01,,0
campus,2019-05-02,,0
ring,2019-05-02,1.4965493816180595,97
campus,2019-05-03,1.850782915587737,3
ring,2019-05-03,8.233921185146626,772
campus,2019-05-04,1.9549512465794883,12
ring,2019-05-04,14.678776017104212,333
campus,2019-05-05,3.1561204586585947,2
ring,2019-05-05,13.443750120121765,1464
campus,2019-05-06,,0
ring,2019-05-06,,0
campus,2019-05-07,,0
ring,2019-05-07,,0
campus,2019-05-08,,0
ring,2019-05-08,,0
campus,2019-05-09,,0
ring,2019-05-09,,0
campus,2019-05-10,,0
ring,2019-05-10,1.2679644833704844,17
campus,2019-05-11,,0
ring,2019-05-11,,0
campus,2019-05-12,,0
ring,2019-05-12,2.391239881515503,2
campus,2019-05-13,,0
ring,2019-05-13,5.611117422512963,71
campus,2019-05-14,1.8243810048402456,8
ring,2019-05-14,13.211451415537864,1477
campus,2019-05-15,1.3081521486444228,8
ring,2019-05-15,12.514871867893502,1514
campus,2019-05-16,,0
ring,2019-05-16,,0
campus,2019-05-17,,0
ring,2019-05-17,,0
campus,2019-05-18,,0
ring,2019-05-18,,0
campus,2019-05-19,,0
ring,2019-05-19,,0
campus,2019-05-20,,0
ring,2019-05-20,6.311783563035481,48
campus,2019-05-21,,0
ring,2019-05-21,,0
campus,2019-05-22,,0
ring,2019-05-22,,0
campus,2019-05-23,,0
ring,2019-05-23,,0
campus,2019-05-24,,0
ring,2019-05-24,,0
campus,2019-05-25,2.2830287560099274,6
ring,2019-05-25,7.865992030379751,1059
campus,2019-05-26,,0
ring,2019-05-26,,0
campus,2019-05-27,1.6490923263050095,8
ring,2019-05-27,15.02100540399887,731
campus,2019-05-28,1.0954819251250516,8
ring,2019-05-28,7.12247809442421,993
campus,2019-05-29,,0
ring,2019-05-29,,0
campus,2019-05-30,,0
ring,2019-05-30,,0
campus,2019-05-31,4.208336709334742,12
ring,2019-05-31,9.657585843756179,1644
campus,2019-06-01,,0
ring,2019-06-01,2.2360201579492593,9
campus,2019-06-02,2.213578877121503,12
ring,2019-06-02,11.372736829586634,1646
campus,2019-06-03,4.0391697819048185,12
ring,2019-06-03,12.706741091610121,1632
campus,2019-06-04,5.010656840070731,8
ring,2019-06-04,11.620197332534905,438
campus,2019-06-05,,0
ring,2019-06-05,,0
campus,2019-06-06,1.7000843970292816,12
ring,2019-06-06,11.246944811836201,1529
campus,2019-06-07,1.3633070640751128,12
ring,2019-06-07,11.401719039170052,1646
campus,2019-06-08,1.5058420509445574,12
ring,2019-06-08,12.952038789820772,1642
campus,2019-06-09,,0
ring,2019-06-09,,0
campus,2019-06-10,,0
ring,2019-06-10,,0
campus,2019-06-11,0.9467979848757055,12
ring,2019-06-11,11.422031061172337,1646
campus,2019-06-12,,0
ring,2019-06-12,2.91093981499308,5
campus,2019-06-13,,0
ring,2019-06-13,,0
campus,2019-06-14,,0
ring,2019-06-14,,0
campus,2019-06-15,,0
ring,2019-06-15,,0
campus,2019-06-16,,0
ring,2019-06-16,,0
campus,2019-06-17,,0
ring,2019-06-17,13.426988331111632,541
campus,2019-06-18,4.395418817781684,8
ring,2019-06-18,14.136783337929444,798
campus,2019-06-19,,0
ring,2019-06-19,,0
campus,2019-06-20,,0
ring,2019-06-20,,0
campus,2019-06-21,,0
ring,2019-06-21,,0
campus,2019-06-22,,0
ring,2019-06-22,,0
campus,2019-06-23,,0
ring,2019-06-23,,0
campus,2019-06-24,,0
ring,2019-06-24,,0
campus,2019-06-25,,0
ring,2019-06-25,2.6897209882736206,2
campus,2019-06-26,,0
ring,2019-06-26,,0
campus,2019-06-27,,0
ring,2019-06-27,,0
campus,2019-06-28,,0
ring,2019-06-28,,0
campus,2019-06-29,,0
ring,2019-06-29,4.406341639453689,32
campus,2019-06-30,1.6207057272450307,4
ring,2019-06-30,3.4698014406981907,46
campus,2019-07-01,,0
ring,2019-07-01,,0
campus,2019-07-02,2.1308987140655518,1
ring,2019-07-02,1.6227468506664147,70
campus,2019-07-03,,0
ring,2019-07-03,,0
campus,2019-07-04,,0
ring,2019-07-04,6.233407014497326,392
campus,2019-07-05,1.8830794032209475,8
ring,2019-07-05,13.107631407203556,1648
campus,2019-07-06,,0
ring,2019-07-06,,0
campus,2019-07-07,,0
ring,2019-07-07,,0
campus,2019-07-08,2.4732947914802716,8
ring,2019-07-08,11.307528591886442,1648
campus,2019-07-09,1.700440819303048,8
ring,2019-07-09,12.24433754534814,1648
campus,2019-07-10,,0
ring,2019-07-10,,0
campus,2019-07-11,,0
ring,2019-07-11,,0
campus,2019-07-12,1.011407555029401,8
ring,2019-07-12,11.698336514721658,1648
campus,2019-07-13,1.07411424403261,8
ring,2019-07-13,11.299459364802793,1647
campus,2019-07-14,1.383551426919184,8
ring,2019-07-14,11.017202580576555,1530
campus,2019-07-15,,0
ring,2019-07-15,3.045506478341158,2
campus,2019-07-16,,0
ring,2019-07-16,4.3094247388521305,9
campus,2019-07-17,,0
ring,2019-07-17,13.68097713886247,381
campus,2019-07-18,6.346871651394266,2
ring,2019-07-18,17.037575638665285,55
campus,2019-07-19,,0
ring,2019-07-19,,0
campus,2019-07-20,,0
ring,2019-07-20,,0
campus,2019-07-21,,0
ring,2019-07-21,,0
campus,2019-07-22,2.3709411821242186,8
ring,2019-07-22,22.625830078662815,360
campus,2019-07-23,2.3351475438068716,8
ring,2019-07-23,11.862326325890804,1442
campus,2019-07-24,2.002768029256061,8
ring,2019-07-24,11.429583911023888,1481
campus,2019-07-25,2.4810388479725463,8
ring,2019-07-25,12.021051645548319,1429
campus,2019-07-26,2.6514924410524405,8
ring,2019-07-26,13.975356852569373,917
campus,2019-07-27,,0
ring,2019-07-27,9.85569194005442,129
campus,2019-07-28,2.6737066318188205,8
ring,2019-07-28,4.603414506453703,447
campus,2019-07-29,,0
ring,2019-07-29,,0
campus,2019-07-30,1.331578467274944,8
ring,2019-07-30,11.635544814939,1567
campus,2019-07-31,1.4246802081481118,8
ring,2019-07-31,12.756194978650672,1648
campus,2019-08-01,1.8241873847113719,12
ring,2019-08-01,13.350879125371756,1642
campus,2019-08-02,1.731955304576902,8
ring,2019-08-02,11.79812171779907,1648
campus,2019-08-03,1.4914730388080062,8
ring,2019-08-03,11.305768490651573,1643
campus,2019-08-04,1.2930473096916155,8
ring,2019-08-04,10.907013053567388,1588
campus,2019-08-05,,0
ring,2019-08-05,2.306920599850362,178
campus,2019-08-06,,0
ring,2019-08-06,,0
campus,2019-08-07,2.1731983183494794,8
ring,2019-08-07,12.55415377531426,1648
campus,2019-08-08,1.1984034752493853,8
ring,2019-08-08,8.804299276658783,1595
campus,2019-08-09,1.3421044989705524,8
ring,2019-08-09,11.864503003869615,1648
campus,2019-08-10,,0
ring,2019-08-10,4.05095097621011,62
campus,2019-08-11,,0
ring,2019-08-11,,0
campus,2019-08-12,4.100633713152136,8
ring,2019-08-12,11.009280734570806,1307
campus,2019-08-13,,0
ring,2019-08-13,14.431356772125454,189
campus,2019-08-14,,0
ring,2019-08-14,13.292665674396966,572
campus,2019-08-15,,0
ring,2019-08-15,10.954804520615852,569
campus,2019-08-16,1.1061729943181298,7
ring,2019-08-16,10.579787364206577,1484
campus,2019-08-17,1.4158474221770614,8
ring,2019-08-17,11.578634926002886,1503
campus,2019-08-18,1.5232017557119533,8
ring,2019-08-18,10.545737608030594,1486
campus,2019-08-19,0.6235205306510422,7
ring,2019-08-19,9.993431514181427,1487
campus,2019-08-20,1.4521060227593292,6
ring,2019-08-20,10.205529246443852,470
campus,2019-08-21,1.1377779512607744,8
ring,2019-08-21,10.508912625105705,1433
campus,2019-08-22,1.9239734355586366,12
ring,2019-08-22,9.759815709505556,638
campus,2019-08-23,1.5511248962106716,12
ring,2019-08-23,12.80052974578248,1487
campus,2019-08-24,,0
ring,2019-08-24,12.491884722161004,994
campus,2019-08-25,1.7539041181461041,12
ring,2019-08-25,11.017721190334328,1475
campus,2019-08-26,,0
ring,2019-08-26,,0
campus,2019-08-27,1.8407241377979515,4
ring,2019-08-27,16.79997748250048,681
campus,2019-08-28,1.6603364076267104,12
ring,2019-08-28,13.475433220012892,1642
campus,2019-08-29,1.38616718108358,12
ring,2019-08-29,12.242313498878211,1630
campus,2019-08-30,1.0321119377593038,12
ring,2019-08-30,11.905298418104747,1644
campus,2019-08-31,1.3076844714046305,12
ring,2019-08-31,11.441610930027291,1589
campus,2019-09-01,,0
ring,2019-09-01,,0
campus,2019-09-02,2.464618689954395,11
ring,2019-09-02,5.109810803507452,623
campus,2019-09-03,,0
ring,2019-09-03,10.35409044804986,380
campus,2019-09-04,0.9721114770704958,12
ring,2019-09-04,10.641749878514835,1646
campus,2019-09-05,,0
ring,2019-09-05,,0
campus,2019-09-06,4.133614966363618,2
ring,2019-09-06,4.157098847890443,43
campus,2019-09-07,1.625282829437826,12
ring,2019-09-07,12.587000382964359,1649
campus,2019-09-08,,0
ring,2019-09-08,,0
campus,2019-09-09,,0
ring,2019-09-09,,0
campus,2019-09-10,,0
ring,2019-09-10,,0
campus,2019-09-11,1.288721297635418,12
ring,2019-09-11,11.177960896409942,1436
campus,2019-09-12,,0
ring,2019-09-12,,0
campus,2019-09-13,,0
ring,2019-09-13,,0
campus,2019-09-14,0.44314796745387564,12
ring,2019-09-14,11.474662448123965,1437
campus,2019-09-15,,0
ring,2019-09-15,,0
campus,2019-09-16,1.1184620302536585,10
ring,2019-09-16,17.58875149616536,510
campus,2019-09-17,5.200320614371329,3
ring,2019-09-17,11.59012925905886,708
campus,2019-09-18,1.0607685399990456,12
ring,2019-09-18,13.356231992860474,1509
campus,2019-09-19,2.4997686559007373,7
ring,2019-09-19,15.391680138303094,910
campus,2019-09-20,,0
ring,2019-09-20,8.768011409790805,579
campus,2019-09-21,1.2319633031314385,12
ring,2019-09-21,11.182250799296373,1468
campus,2019-09-22,,0
ring,2019-09-22,,0
campus,2019-09-23,3.001913134549537,7
ring,2019-09-23,12.229659971748067,1073
campus,2019-09-24,1.214258061181041,12
ring,2019-09-24,12.846323578291603,1480
campus,2019-09-25,,0
ring,2019-09-25,,0
campus,2019-09-26,,0
ring,2019-09-26,,0
campus,2019-09-27,2.61447325922218,10
ring,2019-09-27,2.7247304156614702,49
campus,2019-09-28,,0
ring,2019-09-28,,0
campus,2019-09-29,,0
ring,2019-09-29,,0
campus,2019-09-30,,0
ring,2019-09-30,1.332602586973603,25
campus,2019-10-01,,0
ring,2019-10-01,6.205441669435409,236
campus,2019-10-02,,0
ring,2019-10-02,,0
campus,2019-10-03,,0
ring,2019-10-03,,0
campus,2019-10-04,2.1571768553428403,12
