z,d,rad,n
campus,2019-01-01,0.24213490615823788,13
ring,2019-01-01,0.6912713294826505,1561
campus,2019-01-02,0.3437587305734892,13
ring,2019-01-02,0.8329834754975195,1576
campus,2019-01-03,1.2378427645739387,3
ring,2019-01-03,2.00478437167371,1339
campus,2019-01-04,0.7062101027446832,13
ring,2019-01-04,1.3771204200244775,1588
campus,2019-01-05,0.49430560100023063,13
ring,2019-01-05,0.9496921326141817,1447
campus,2019-01-06,,0
ring,2019-01-06,0.5510980503412697,351
campus,2019-01-07,0.45851924981740977,13
ring,2019-01-07,0.8379191094004815,1464
campus,2019-01-08,,0
ring,2019-01-08,1.2172332246836424,64
campus,2019-01-09,0.21281863878656448,13
ring,2019-01-09,0.9232021242684273,1596
campus,2019-01-10,0.3040392967021553,13
ring,2019-01-10,0.8352221838908483,1578
campus,2019-01-11,,0
ring,2019-01-11,0.7229078442671866,175
campus,2019-01-12,0.25383332693898997,7
ring,2019-01-12,0.7585236650842229,1404
campus,2019-01-13,0.17458459063720005,13
ring,2019-01-13,1.0287473062281527,1298
campus,2019-01-14,0.2690607978208257,13
ring,2019-01-14,1.2161353813550033,1596
campus,2019-01-15,0.4611478395678268,13
ring,2019-01-15,1.0299446603040625,1391
campus,2019-01-16,0.0,4
ring,2019-01-16,0.7520863041903024,900
campus,2019-01-17,,0
ring,2019-01-17,,0
campus,2019-01-18,,0
ring,2019-01-18,,0
campus,2019-01-19,0.008944064798855973,13
ring,2019-01-19,0.5141249875849875,1562
campus,2019-01-20,0.010148023204978356,13
ring,2019-01-20,0.4853799400086894,1545
campus,2019-01-21,,0
ring,2019-01-21,,0
campus,2019-01-22,,0
ring,2019-01-22,0.6238757272835772,823
campus,2019-01-23,,0
ring,2019-01-23,0.5207612360152445,918
campus,2019-01-24,0.03637844556229994,13
ring,2019-01-24,0.4616608785117653,1528
campus,2019-01-25,0.014153799956556462,11
ring,2019-01-25,0.8113201283543111,1140
campus,2019-01-26,,0
ring,2019-01-26,0.885300477387975,423
campus,2019-01-27,,0
ring,2019-01-27,0.9493886546632315,633
campus,2019-01-28,,0
ring,2019-01-28,0.2050230920314789,10
campus,2019-01-29,,0
ring,2019-01-29,1.071557183993858,673
campus,2019-01-30,,0
ring,2019-01-30,2.618802070617676,2
campus,2019-01-31,0.184954337108972,13
ring,2019-01-31,0.819230298754466,1594
campus,2019-02-01,,0
ring,2019-02-01,0.5734952355445699,103
campus,2019-02-02,,0
ring,2019-02-02,1.286850585572789,11
campus,2019-02-03,0.4137628037548185,7
ring,2019-02-03,0.8770678359999807,701
campus,2019-02-04,0.8633402767612868,13
ring,2019-02-04,5.055330187115582,1524
campus,2019-02-05,0.9196256604578522,13
ring,2019-02-05,4.775232707386809,1553
campus,2019-02-06,0.3828262612570626,13
ring,2019-02-06,2.9320182368046135,1596
campus,2019-02-07,,0
ring,2019-02-07,,0
campus,2019-02-08,,0
ring,2019-02-08,3.32436438834345,1155
campus,2019-02-09,,0
ring,2019-02-09,2.0045575739011956,97
campus,2019-02-10,0.4711172550579587,13
ring,2019-02-10,2.18919591111482,1595
campus,2019-02-11,0.34559109147857214,3
ring,2019-02-11,1.4554823053085857,1381
campus,2019-02-12,0.17280640698424202,5
ring,2019-02-12,1.5143101954831653,996
campus,2019-02-13,0.319816618448212,3
ring,2019-02-13,0.5848620585560139,646
campus,2019-02-14,,0
ring,2019-02-14,3.064967880665274,659
campus,2019-02-15,,0
ring,2019-02-15,2.8191000035691913,603
campus,2019-02-16,0.4876271674507543,2
ring,2019-02-16,2.034927127887447,723
campus,2019-02-17,0.0,2
ring,2019-02-17,2.971687562766041,377
campus,2019-02-18,,0
ring,2019-02-18,,0
campus,2019-02-19,0.9170529264426548,6
ring,2019-02-19,2.076601600715328,535
campus,2019-02-20,0.027400746226499097,13
ring,2019-02-20,1.2778401285022576,1331
campus,2019-02-21,,0
ring,2019-02-21,,0
campus,2019-02-22,0.009999999776482582,13
ring,2019-02-22,0.4593952825571662,1510
campus,2019-02-23,,0
ring,2019-02-23,0.33979586964554526,671
campus,2019-02-24,,0
ring,2019-02-24,,0
campus,2019-02-25,0.2936357317649755,13
ring,2019-02-25,0.7463882587418775,1518
campus,2019-02-26,1.0161356456424109,13
ring,2019-02-26,1.4876517069324853,1449
campus,2019-02-27,0.4402109183010475,12
ring,2019-02-27,1.1487870358384884,1293
campus,2019-02-28,0.25316819190663636,9
ring,2019-02-28,0.8820863284117233,1451
campus,2019-03-01,,0
ring,2019-03-01,0.3470918916165829,20
campus,2019-03-02,1.1980089646375585,13
ring,2019-03-02,1.1008075249555787,1511
campus,2019-03-03,0.6812774081778081,6
ring,2019-03-03,1.0956330738636153,1221
campus,2019-03-04,0.5854639703716467,13
ring,2019-03-04,1.3629953423424577,1511
campus,2019-03-05,,0
ring,2019-03-05,1.109275208945864,940
campus,2019-03-06,,0
ring,2019-03-06,1.4121292819282953,700
campus,2019-03-07,,0
ring,2019-03-07,,0
campus,2019-03-08,,0
ring,2019-03-08,0.5601225903740635,81
campus,2019-03-09,0.6435112014551679,13
ring,2019-03-09,1.0534485787831636,1596
campus,2019-03-10,0.25409362181099115,13
ring,2019-03-10,0.8085749023631926,1596
campus,2019-03-11,0.24488763947409156,13
ring,2019-03-11,0.7523359309590459,1578
campus,2019-03-12,0.2796203126747927,13
ring,2019-03-12,0.7523594106645274,1586
campus,2019-03-13,0.44353038272854506,13
ring,2019-03-13,1.112353316377338,1567
campus,2019-03-14,0.2657721512272449,13
ring,2019-03-14,1.0825727530867624,1596
campus,2019-03-15,0.507747888829973,6
ring,2019-03-15,0.9548439374816174,1171
campus,2019-03-16,0.16248217663285897,13
ring,2019-03-16,0.6696482503995148,1357
campus,2019-03-17,,0
ring,2019-03-17,1.1115013272783918,489
campus,2019-03-18,0.19149952365118947,13
ring,2019-03-18,0.6282497975323574,1500
campus,2019-03-19,,0
ring,2019-03-19,,0
campus,2019-03-20,0.04044089953000555,13
ring,2019-03-20,0.4175456113109498,1570
campus,2019-03-21,0.009999999776482582,11
ring,2019-03-21,0.39734929956615145,1468
campus,2019-03-22,0.008140495685814333,4
ring,2019-03-22,0.36016677083634097,1562
campus,2019-03-23,0.01000189157580822,13
ring,2019-03-23,0.49901542703734975,1522
campus,2019-03-24,0.012117255056165881,12
ring,2019-03-24,0.7228825672461456,1383
campus,2019-03-25,0.06191823724843192,13
ring,2019-03-25,0.7436178625586058,1438
campus,2019-03-26,,0
