z,d,rad,n
campus,2019-01-01,,0
ring,2019-01-01,,0
campus,2019-01-02,,0
ring,2019-01-02,,0
campus,2019-01-03,,0
ring,2019-01-03,,0
campus,2019-01-04,,0
ring,2019-01-04,,0
campus,2019-01-05,1.5829226596328756,12
ring,2019-01-05,0.8518237138376851,1445
campus,2019-01-06,0.5610628614620286,12
ring,2019-01-06,0.6265087600278463,1445
campus,2019-01-07,0.4699678801642663,12
ring,2019-01-07,0.4905350231263033,1441
campus,2019-01-08,0.9526165761712627,9
ring,2019-01-08,0.44673526148918125,786
campus,2019-01-09,1.5665353533146193,8
ring,2019-01-09,0.5889965687418264,1242
campus,2019-01-10,0.82127509823828,12
ring,2019-01-10,0.9489277169901649,1445
campus,2019-01-11,0.6868648830950848,12
ring,2019-01-11,0.6307045025449423,1445
campus,2019-01-12,,0
ring,2019-01-12,,0
campus,2019-01-13,,0
ring,2019-01-13,,0
campus,2019-01-14,,0
ring,2019-01-14,,0
campus,2019-01-15,,0
ring,2019-01-15,,0
campus,2019-01-16,,0
ring,2019-01-16,,0
campus,2019-01-17,,0
ring,2019-01-17,0.2714219355476514,237
campus,2019-01-18,,0
ring,2019-01-18,,0
campus,2019-01-19,,0
ring,2019-01-19,,0
campus,2019-01-20,,0
ring,2019-01-20,,0
campus,2019-01-21,,0
ring,2019-01-21,,0
campus,2019-01-22,,0
ring,2019-01-22,,0
campus,2019-01-23,,0
ring,2019-01-23,,0
campus,2019-01-24,0.20700285373830557,12
ring,2019-01-24,0.1806700859451808,1424
campus,2019-01-25,0.31722963792068337,11
ring,2019-01-25,0.27944506139981484,1426
campus,2019-01-26,,0
ring,2019-01-26,,0
campus,2019-01-27,0.8596916556986165,12
ring,2019-01-27,0.9918771347816638,772
campus,2019-01-28,0.4758919344533011,11
ring,2019-01-28,0.5116227411973648,1411
campus,2019-01-29,,0
ring,2019-01-29,,0
campus,2019-01-30,0.4634901607871814,11
ring,2019-01-30,0.4280106149189768,1057
campus,2019-01-31,0.6805213628296322,12
ring,2019-01-31,0.6052451194513749,1445
campus,2019-02-01,,0
ring,2019-02-01,0.8355304908105204,340
campus,2019-02-02,1.5130589149298832,12
ring,2019-02-02,0.56353163747527,1445
campus,2019-02-03,0.7088979954504511,12
ring,2019-02-03,0.43032131065304197,1445
campus,2019-02-04,,0
ring,2019-02-04,,0
campus,2019-02-05,,0
ring,2019-02-05,,0
campus,2019-02-06,,0
ring,2019-02-06,,0
campus,2019-02-07,,0
ring,2019-02-07,0.456956618121535,207
campus,2019-02-08,,0
ring,2019-02-08,,0
campus,2019-02-09,,0
ring,2019-02-09,,0
campus,2019-02-10,,0
ring,2019-02-10,,0
campus,2019-02-11,,0
ring,2019-02-11,,0
campus,2019-02-12,,0
ring,2019-02-12,,0
campus,2019-02-13,0.7040205987034226,12
ring,2019-02-13,0.44529229876460924,1444
campus,2019-02-14,,0
ring,2019-02-14,,0
campus,2019-02-15,,0
ring,2019-02-15,0.14897573863466582,6
campus,2019-02-16,,0
ring,2019-02-16,7.380639327524737,14
campus,2019-02-17,,0
ring,2019-02-17,,0
campus,2019-02-18,,0
ring,2019-02-18,0.47456050997249455,45
campus,2019-02-19,,0
ring,2019-02-19,,0
campus,2019-02-20,,0
ring,2019-02-20,29.876113891601562,1
campus,2019-02-21,0.447162265911804,11
ring,2019-02-21,0.14630451400829972,1058
campus,2019-02-22,,0
ring,2019-02-22,7.485345840454102,1
campus,2019-02-23,,0
ring,2019-02-23,0.954943539541545,65
campus,2019-02-24,0.42755598140944223,12
ring,2019-02-24,0.2629654708576492,1434
campus,2019-02-25,0.49884746336189767,10
ring,2019-02-25,0.5591471801403607,1394
campus,2019-02-26,1.253689599371402,2
ring,2019-02-26,0.8177697499226082,155
campus,2019-02-27,,0
ring,2019-02-27,1.2849109189983672,62
campus,2019-02-28,,0
ring,2019-02-28,0.5467995005540943,109
campus,2019-03-01,,0
ring,2019-03-01,0.48941536992788315,4
campus,2019-03-02,,0
ring,2019-03-02,0.3229474738688326,16
campus,2019-03-03,,0
ring,2019-03-03,,0
campus,2019-03-04,,0
ring,2019-03-04,0.5138003726800283,12
campus,2019-03-05,0.9524725091112058,12
ring,2019-03-05,0.9509573712406224,1445
campus,2019-03-06,1.4692858615896274,12
ring,2019-03-06,0.6271946703804752,1445
campus,2019-03-07,0.5654534891375277,12
ring,2019-03-07,0.6871661631371043,840
campus,2019-03-08,,0
ring,2019-03-08,,0
campus,2019-03-09,,0
ring,2019-03-09,,0
campus,2019-03-10,2.4459354079734967,12
ring,2019-03-10,0.7360066143496166,805
campus,2019-03-11,,0
ring,2019-03-11,,0
campus,2019-03-12,,0
ring,2019-03-12,,0
campus,2019-03-13,,0
ring,2019-03-13,,0
campus,2019-03-14,,0
ring,2019-03-14,1.0416829005183459,40
campus,2019-03-15,2.5358860034412807,9
ring,2019-03-15,1.016760605694931,1192
campus,2019-03-16,,0
ring,2019-03-16,,0
campus,2019-03-17,0.05673973688057491,3
ring,2019-03-17,0.29792219399316733,783
campus,2019-03-18,0.1738415104621057,11
ring,2019-03-18,0.28858243947624085,1423
campus,2019-03-19,0.054344750624432066,12
ring,2019-03-19,0.18388308011038146,1434
campus,2019-03-20,0.2128575422706927,11
ring,2019-03-20,0.14393261291043552,1416
campus,2019-03-21,0.15844982715522044,11
ring,2019-03-21,0.194654080125115,1409
campus,2019-03-22,0.20876351866314408,12
ring,2019-03-22,0.18579727425444004,1432
campus,2019-03-23,0.34601915272362266,11
ring,2019-03-23,0.2537584392561276,1430
campus,2019-03-24,,0
ring,2019-03-24,,0
campus,2019-03-25,0.4254198549922316,12
ring,2019-03-25,0.29333030885269845,915
campus,2019-03-26,0.8784912916468388,11
ring,2019-03-26,0.6735608334686602,1345
campus,2019-03-27,0.9442263199933947,8
ring,2019-03-27,0.5718802904673329,1394
campus,2019-03-28,0.35336161097060576,10
ring,2019-03-28,0.5224600092856443,1415
campus,2019-03-29,0.43991802524519796,8
ring,2019-03-29,0.5572470788655141,524
campus,2019-03-30,,0
ring,2019-03-30,0.7109251664513978,430
campus,2019-03-31,,0
ring,2019-03-31,,0
campus,2019-04-01,0.548804863787074,12
ring,2019-04-01,0.7169579701448324,1445
campus,2019-04-02,0.636147197647421,12
ring,2019-04-02,0.6459937775928424,1437
campus,2019-04-03,0.6363390529328383,12
ring,2019-04-03,0.620625203298556,1086
campus,2019-04-04,,0
ring,2019-04-04,,0
campus,2019-04-05,,0
ring,2019-04-05,0.7893212373767581,14
campus,2019-04-06,,0
ring,2019-04-06,0.8231854514311104,419
campus,2019-04-07,,0
ring,2019-04-07,,0
campus,2019-04-08,,0
ring,2019-04-08,,0
campus,2019-04-09,0.37938023175980756,6
ring,2019-04-09,0.5000291232773095,1165
campus,2019-04-10,0.8883895871570974,12
ring,2019-04-10,0.5366439261554824,1445
campus,2019-04-11,1.2342574229909054,12
ring,2019-04-11,1.0174759144578087,1344
campus,2019-04-12,,0
ring,2019-04-12,,0
campus,2019-04-13,,0
ring,2019-04-13,,0
campus,2019-04-14,0.49491046088514073,12
ring,2019-04-14,0.5020559292912493,1156
campus,2019-04-15,0.32303032118868796,12
ring,2019-04-15,0.5377083126515826,1431
campus,2019-04-16,0.26597924466177664,10
ring,2019-04-16,0.504223350079311,1400
campus,2019-04-17,,0
ring,2019-04-17,,0
campus,2019-04-18,,0
ring,2019-04-18,,0
campus,2019-04-19,0.16967899650041013,12
ring,2019-04-19,0.07855231186953314,1428
campus,2019-04-20,0.009999999776482582,9
ring,2019-04-20,0.08472818503339889,1429
campus,2019-04-21,0.09320933684388077,12
ring,2019-04-21,0.5573069549815539,1421
campus,2019-04-22,0.23489007817238175,12
ring,2019-04-22,0.3493780087078039,1410
