ym,campus,ring,n_days,diff
2019-01,26.62861688707916,31.18503758139042,12,-4.55642069431126
2019-03,18.815241975132203,26.421145534942575,10,-7.605903559810372
2019-04,21.48451151065165,24.365737863135887,6,-2.881226352484237
2019-05,26.027637634092613,28.738420522667045,9,-2.710782888574432
2019-06,23.640074688354932,26.86810891892068,9,-3.228034230565747
2019-07,26.936973982804048,26.593224777940065,8,0.3437492048639825
2019-08,27.16458322003159,31.77942571307364,9,-4.6148424930420475
2019-09,25.896390569782888,34.88138039575314,22,-8.984989825970253
2019-10,28.746162380970702,34.069289777367004,20,-5.323127396396302
2019-11,28.34349574318415,34.604125448250024,25,-6.260629705065874
2019-12,28.669367407409236,35.59611141020745,20,-6.926744002798213
2020-01,26.97138200231561,35.27196957520145,11,-8.300587572885842
2020-02,26.256146274262193,27.2741946059091,17,-1.0180483316469058
2020-03,21.273981743575263,24.112057687941693,7,-2.8380759443664303
2020-04,24.67044191852981,27.24404503436177,11,-2.5736031158319577
2020-05,25.187786143859423,29.269450137479556,9,-4.081663993620133
2020-06,25.22816680187752,32.89491815079563,9,-7.666751348918112
2020-07,32.98859688617992,39.74532241038356,9,-6.756725524203638
2020-08,31.206561603456596,35.70771511412117,11,-4.501153510664576
2020-09,24.455248196919758,31.80473332299661,5,-7.3494851260768534
2020-10,26.027813125344267,33.71914266790233,12,-7.691329542558066
2020-11,30.01911440253817,36.00920503973714,16,-5.990090637198968
2020-12,29.94782923085029,38.92750015905979,18,-8.9796709282095
2021-01,30.610753807103684,36.19608485418559,19,-5.585331047081908
2021-02,30.963822893133745,36.20535347477819,20,-5.241530581644447
2021-03,25.00098361431713,28.724012486116138,11,-3.723028871799009
2021-04,33.97736575701624,29.86070745932111,9,4.116658297695128
2021-05,36.02070013605076,39.56366295603061,13,-3.5429628199798486
2021-06,33.57226295909928,34.56920597000675,6,-0.9969430109074722
2021-07,43.3339659757822,36.59522999190061,5,6.73873598388159
2021-08,34.92687830678734,39.78985307065839,5,-4.862974763871051
2021-09,31.615139710511396,36.11150157485762,19,-4.496361864346223
2021-10,34.183094758350066,40.67920397417873,12,-6.4961092158286675
2021-11,34.69970052119152,38.514992955909335,15,-3.8152924347178185
2021-12,33.16796078928199,39.07623489309843,17,-5.908274103816439
2022-01,30.11531558506925,34.37162353381842,13,-4.256307948749171
2022-02,31.026389401843286,23.545255882763776,8,7.48113351907951
2022-03,39.9064197719377,36.365883509762,11,3.5405362621756993
2022-04,33.29773739636954,37.01577612540703,12,-3.718038729037488
2022-05,36.95842615917289,33.09979309595642,6,3.858633063216466
2022-07,39.31335680132628,43.56748618396333,9,-4.254129382637053
2022-08,31.468504076719864,36.48544733871293,13,-5.016943261993067
2022-09,33.19284568034427,34.753738748442316,11,-1.5608930680980464
2022-10,31.55796818442188,39.86944322307656,21,-8.311475038654677
2022-11,28.884908371688056,33.871450304689084,13,-4.986541933001028
2022-12,28.83599706211,34.58669235752764,19,-5.750695295417639
2023-01,24.44613150027996,32.498630024783395,13,-8.052498524503434
2023-02,29.4499199379218,37.81165699068228,13,-8.361737052760482
2023-03,33.34707775921889,37.057509139942255,12,-3.7104313807233638
2023-04,23.97710719981989,21.79719673713295,12,2.1799104626869408
2023-05,29.440977646132644,33.83453219672203,10,-4.393554550589386
2023-06,29.922157440000817,38.62634933805496,10,-8.704191898054141
2023-07,31.889427362389952,39.09148779818892,8,-7.20206043579897
2023-08,34.752799595239374,37.51495261581864,7,-2.7621530205792695
2023-09,28.082918699918217,42.359311347613,14,-14.276392647694784
2023-10,26.312681569739684,42.611194019481815,9,-16.29851244974213
2023-11,26.850495669763415,45.28253092018998,15,-18.432035250426562
2023-12,28.06893586216958,41.2843717146705,12,-13.215435852500917
2024-01,27.400631653870775,36.08417715618148,13,-8.683545502310707
2024-02,22.62083050454726,28.413543128967284,17,-5.792712624420023
2024-03,26.41777579437399,25.246600277557828,7,1.171175516816163
2024-04,24.017947929006226,30.96604219012726,10,-6.948094261121035
2024-05,23.542085647583008,23.484800973263738,5,0.05728467431926987
2024-07,29.25665798602901,41.17295859169043,11,-11.916300605661423
2024-08,28.689394665978213,44.89577394810326,10,-16.20637928212505
2024-09,27.01168561765286,38.16894476440476,7,-11.157259146751905
2024-10,27.84860931092025,43.07910345232311,13,-15.230494141402861
2024-11,28.42494319360467,45.50217374568412,9,-17.07723055207945
2024-12,29.495049935352952,45.5303503575789,21,-16.035300422225944
2025-01,32.24804290807303,44.47672786973686,19,-12.22868496166383
2025-02,25.22670036190552,39.700599841596116,10,-14.473899479690594
2025-03,29.644966143397657,43.854745616981866,10,-14.20977947358421
2025-04,25.88209251170987,37.26939304550196,11,-11.387300533792086
2025-05,29.60631150252594,40.6483924228761,8,-11.042080920350159
2025-06,22.119416005058337,36.12939365382582,8,-14.009977648767485
2025-07,26.921969418375603,45.68596968939465,6,-18.76400027101905
2025-08,31.08422659932168,47.373946144293114,9,-16.289719544971433
2025-09,30.529195749703703,47.24349279236169,13,-16.71429704265799
2025-10,32.472347855008266,47.7905522086762,15,-15.318204353667937
2025-11,31.248108886217288,45.881154517183774,12,-14.633045630966485
2025-12,32.58517824540116,49.84484540097921,16,-17.25966715557805
2026-01,31.58081985527361,50.19001818126853,21,-18.609198325994917
2026-02,36.571465525828614,44.85442795276626,12,-8.282962426937644
2026-03,31.555017614588493,46.268964012035624,14,-14.713946397447131
2026-04,26.992350723821794,31.9299332986758,8,-4.937582574854005
2026-05,29.67134423521471,30.247246936973163,8,-0.5759027017584515
2026-07,30.20367537399181,36.82929285810796,5,-6.625617484116152
2026-08,36.255743735639,45.85673421398262,8,-9.600990478343618
