z,d,rad,n
campus,2019-01-01,,0
ring,2019-01-01,,0
campus,2019-01-02,19.27087030276446,4
ring,2019-01-02,21.402108217441693,1310
campus,2019-01-03,,0
ring,2019-01-03,12.133681343264502,162
campus,2019-01-04,,0
ring,2019-01-04,,0
campus,2019-01-05,,0
ring,2019-01-05,,0
campus,2019-01-06,,0
ring,2019-01-06,,0
campus,2019-01-07,,0
ring,2019-01-07,,0
campus,2019-01-08,,0
ring,2019-01-08,,0
campus,2019-01-09,,0
ring,2019-01-09,,0
campus,2019-01-10,,0
ring,2019-01-10,,0
campus,2019-01-11,,0
ring,2019-01-11,17.190198049261756,194
campus,2019-01-12,,0
ring,2019-01-12,,0
campus,2019-01-13,,0
ring,2019-01-13,,0
campus,2019-01-14,,0
ring,2019-01-14,,0
campus,2019-01-15,,0
ring,2019-01-15,12.68713950711813,2
campus,2019-01-16,,0
ring,2019-01-16,12.325406262061428,50
campus,2019-01-17,21.911606204341837,4
ring,2019-01-17,31.828067940685553,1310
campus,2019-01-18,,0
ring,2019-01-18,31.896236179469962,31
campus,2019-01-19,,0
ring,2019-01-19,,0
campus,2019-01-20,,0
ring,2019-01-20,36.63300094604492,15
campus,2019-01-21,,0
ring,2019-01-21,,0
campus,2019-01-22,26.064857189644112,4
ring,2019-01-22,35.97130332155833,1302
campus,2019-01-23,36.37778818154637,3
ring,2019-01-23,32.017576798136545,450
campus,2019-01-24,24.065635040892122,4
ring,2019-01-24,30.75654372241439,1311
campus,2019-01-25,30.268632955954107,4
ring,2019-01-25,34.17411405604872,1155
campus,2019-01-26,27.192376584514207,4
ring,2019-01-26,39.58252110081683,1279
campus,2019-01-27,20.86280291479544,3
ring,2019-01-27,32.44486160767937,981
campus,2019-01-28,30.127227535852438,3
ring,2019-01-28,29.623386638330366,1256
campus,2019-01-29,32.5534269037381,4
ring,2019-01-29,28.486010960616177,1318
campus,2019-01-30,35.66342021825727,4
ring,2019-01-30,31.613531440366454,1322
campus,2019-01-31,23.102919793464768,4
ring,2019-01-31,28.93925822216723,980
campus,2019-02-01,,0
ring,2019-02-01,,0
campus,2019-02-02,,0
ring,2019-02-02,,0
campus,2019-02-03,17.31492138580537,4
ring,2019-02-03,24.812430622407884,1291
campus,2019-02-04,,0
ring,2019-02-04,,0
campus,2019-02-05,,0
ring,2019-02-05,,0
campus,2019-02-06,29.53021533052686,4
ring,2019-02-06,32.205202897996074,1284
campus,2019-02-07,,0
ring,2019-02-07,19.7465137460065,77
campus,2019-02-08,,0
ring,2019-02-08,,0
campus,2019-02-09,,0
ring,2019-02-09,,0
campus,2019-02-10,,0
ring,2019-02-10,,0
campus,2019-02-11,,0
ring,2019-02-11,,0
campus,2019-02-12,,0
ring,2019-02-12,,0
campus,2019-02-13,,0
ring,2019-02-13,26.480220374453303,108
campus,2019-02-14,,0
ring,2019-02-14,14.086186070501343,87
campus,2019-02-15,,0
ring,2019-02-15,26.842949855326317,117
campus,2019-02-16,,0
ring,2019-02-16,13.541780034998174,139
campus,2019-02-17,,0
ring,2019-02-17,,0
campus,2019-02-18,,0
ring,2019-02-18,22.43153227546215,378
campus,2019-02-19,,0
ring,2019-02-19,34.80984643868918,56
campus,2019-02-20,,0
ring,2019-02-20,27.436716784997646,464
campus,2019-02-21,,0
ring,2019-02-21,19.50721231985599,317
campus,2019-02-22,,0
ring,2019-02-22,18.373109191612002,397
campus,2019-02-23,,0
ring,2019-02-23,10.864496231079102,2
campus,2019-02-24,,0
ring,2019-02-24,11.28989988408813,150
campus,2019-02-25,,0
ring,2019-02-25,5.969826612432474,94
campus,2019-02-26,,0
ring,2019-02-26,11.904153045301568,468
campus,2019-02-27,14.314723451724229,3
ring,2019-02-27,12.386880008566552,603
campus,2019-02-28,,0
ring,2019-02-28,9.42191474533858,75
campus,2019-03-01,13.39565975369302,3
ring,2019-03-01,25.096904003398986,802
campus,2019-03-02,,0
ring,2019-03-02,,0
campus,2019-03-03,22.44863318053769,4
ring,2019-03-03,34.00142423388956,1102
campus,2019-03-04,,0
ring,2019-03-04,,0
campus,2019-03-05,,0
ring,2019-03-05,,0
campus,2019-03-06,,0
ring,2019-03-06,,0
campus,2019-03-07,,0
ring,2019-03-07,,0
campus,2019-03-08,,0
ring,2019-03-08,,0
campus,2019-03-09,,0
ring,2019-03-09,,0
campus,2019-03-10,,0
ring,2019-03-10,,0
campus,2019-03-11,19.53276356173233,4
ring,2019-03-11,31.67143105486704,1322
campus,2019-03-12,25.32236982623176,4
ring,2019-03-12,32.5650784570794,1311
campus,2019-03-13,,0
ring,2019-03-13,,0
campus,2019-03-14,,0
ring,2019-03-14,,0
campus,2019-03-15,,0
ring,2019-03-15,,0
campus,2019-03-16,,0
ring,2019-03-16,,0
campus,2019-03-17,,0
ring,2019-03-17,,0
campus,2019-03-18,22.873427198526443,4
ring,2019-03-18,28.649195361412286,1180
campus,2019-03-19,21.600214520696756,2
ring,2019-03-19,29.230195903639554,317
campus,2019-03-20,,0
ring,2019-03-20,27.39614950518398,370
campus,2019-03-21,14.42213422703631,4
ring,2019-03-21,25.760387908725853,1258
campus,2019-03-22,,0
ring,2019-03-22,18.944664121207015,140
campus,2019-03-23,,0
ring,2019-03-23,18.23977452674002,5
campus,2019-03-24,6.879641532897949,1
ring,2019-03-24,8.231856936207716,26
campus,2019-03-25,,0
ring,2019-03-25,17.67397404909589,263
campus,2019-03-26,18.09772038853208,2
ring,2019-03-26,21.303817173305028,842
campus,2019-03-27,12.837986946105957,1
ring,2019-03-27,17.108118963268513,292
campus,2019-03-28,,0
ring,2019-03-28,29.166266123453777,9
campus,2019-03-29,,0
ring,2019-03-29,27.081903161159293,169
campus,2019-03-30,,0
ring,2019-03-30,,0
campus,2019-03-31,,0
ring,2019-03-31,,0
campus,2019-04-01,,0
ring,2019-04-01,,0
campus,2019-04-02,,0
ring,2019-04-02,25.513939973529283,6
campus,2019-04-03,,0
ring,2019-04-03,,0
campus,2019-04-04,,0
ring,2019-04-04,,0
campus,2019-04-05,26.7130900414337,4
ring,2019-04-05,36.272200611124354,1326
campus,2019-04-06,,0
ring,2019-04-06,13.211812175118292,14
campus,2019-04-07,,0
ring,2019-04-07,,0
campus,2019-04-08,16.27314503714762,3
ring,2019-04-08,24.365737863135887,836
campus,2019-04-09,,0
ring,2019-04-09,24.770312434315137,58
campus,2019-04-10,18.520450574131637,4
ring,2019-04-10,24.279854378075726,846
campus,2019-04-11,,0
ring,2019-04-11,,0
campus,2019-04-12,,0
ring,2019-04-12,,0
campus,2019-04-13,,0
ring,2019-04-13,,0
campus,2019-04-14,,0
ring,2019-04-14,,0
campus,2019-04-15,,0
ring,2019-04-15,,0
campus,2019-04-16,20.85952835351648,4
ring,2019-04-16,31.33194087295325,1184
campus,2019-04-17,,0
ring,2019-04-17,24.024545395713464,610
campus,2019-04-18,,0
ring,2019-04-18,17.315152226426736,111
campus,2019-04-19,,0
ring,2019-04-19,24.753489791671193,196
campus,2019-04-20,,0
ring,2019-04-20,16.533002735798174,206
campus,2019-04-21,,0
ring,2019-04-21,12.305692888113839,74
campus,2019-04-22,22.109494667786816,3
ring,2019-04-22,23.452693553369116,738
campus,2019-04-23,,0
ring,2019-04-23,,0
campus,2019-04-24,,0
ring,2019-04-24,25.449420409956087,578
campus,2019-04-25,35.06303429776762,4
ring,2019-04-25,29.114371740043985,1256
campus,2019-04-26,,0
ring,2019-04-26,31.18322874065848,335
campus,2019-04-27,,0
ring,2019-04-27,,0
campus,2019-04-28,,0
ring,2019-04-28,,0
campus,2019-04-29,,0
ring,2019-04-29,19.81011168998157,330
campus,2019-04-30,,0
ring,2019-04-30,,0
campus,2019-05-01,,0
ring,2019-05-01,,0
campus,2019-05-02,,0
ring,2019-05-02,,0
