z,d,rad,n
campus,2019-01-01,,0
ring,2019-01-01,36.817416102987856,84
campus,2019-01-02,,0
ring,2019-01-02,1.5843598544597626,4
campus,2019-01-03,,0
ring,2019-01-03,,0
campus,2019-01-04,,0
ring,2019-01-04,1.1924738842865517,29
campus,2019-01-05,,0
ring,2019-01-05,1.1170031371570768,21
campus,2019-01-06,,0
ring,2019-01-06,,0
campus,2019-01-07,,0
ring,2019-01-07,,0
campus,2019-01-08,,0
ring,2019-01-08,,0
campus,2019-01-09,,0
ring,2019-01-09,,0
campus,2019-01-10,,0
ring,2019-01-10,,0
campus,2019-01-11,,0
ring,2019-01-11,1.334441439843112,19
campus,2019-01-12,,0
ring,2019-01-12,,0
campus,2019-01-13,38.905066424402705,4
ring,2019-01-13,24.808951855538794,1253
campus,2019-01-14,,0
ring,2019-01-14,,0
campus,2019-01-15,,0
ring,2019-01-15,,0
campus,2019-01-16,48.829419226482,4
ring,2019-01-16,31.280683021273816,1252
campus,2019-01-17,38.13725944223076,4
ring,2019-01-17,29.36956430006931,1246
campus,2019-01-18,37.9830597269124,4
ring,2019-01-18,29.33703337808729,1215
campus,2019-01-19,,0
ring,2019-01-19,18.48113628692535,36
campus,2019-01-20,47.3498745622306,4
ring,2019-01-20,27.843340773468444,1239
campus,2019-01-21,,0
ring,2019-01-21,,0
campus,2019-01-22,41.502833810345884,4
ring,2019-01-22,29.19011196285904,1261
campus,2019-01-23,41.17737084421618,4
ring,2019-01-23,28.2553621712098,1248
campus,2019-01-24,43.6619338495978,4
ring,2019-01-24,30.301715796661238,1296
campus,2019-01-25,47.804284597265315,4
ring,2019-01-25,30.267556403091593,1265
campus,2019-01-26,50.19301486837453,4
ring,2019-01-26,31.807699456851125,1242
campus,2019-01-27,,0
ring,2019-01-27,,0
campus,2019-01-28,,0
ring,2019-01-28,,0
campus,2019-01-29,,0
ring,2019-01-29,,0
campus,2019-01-30,,0
ring,2019-01-30,,0
campus,2019-01-31,,0
ring,2019-01-31,1.2000330090522766,34
campus,2019-02-01,37.026299710931454,4
ring,2019-02-01,23.13906698586662,1390
campus,2019-02-02,,0
ring,2019-02-02,,0
campus,2019-02-03,29.27051976631428,4
ring,2019-02-03,17.489079113178946,1423
campus,2019-02-04,38.85342628380348,4
ring,2019-02-04,27.8887480677294,1411
campus,2019-02-05,41.15224865798292,4
ring,2019-02-05,24.035641944924123,1412
campus,2019-02-06,,0
ring,2019-02-06,,0
campus,2019-02-07,,0
ring,2019-02-07,,0
campus,2019-02-08,,0
ring,2019-02-08,,0
campus,2019-02-09,,0
ring,2019-02-09,2.044805219298915,38
campus,2019-02-10,,0
ring,2019-02-10,3.6627007614482534,11
campus,2019-02-11,,0
ring,2019-02-11,3.5273112883934608,13
campus,2019-02-12,,0
ring,2019-02-12,2.274909665507655,31
campus,2019-02-13,,0
ring,2019-02-13,,0
campus,2019-02-14,,0
ring,2019-02-14,,0
campus,2019-02-15,,0
ring,2019-02-15,4.538169407505827,51
campus,2019-02-16,,0
ring,2019-02-16,,0
campus,2019-02-17,,0
ring,2019-02-17,,0
campus,2019-02-18,,0
ring,2019-02-18,,0
campus,2019-02-19,,0
ring,2019-02-19,,0
campus,2019-02-20,,0
ring,2019-02-20,,0
campus,2019-02-21,,0
ring,2019-02-21,25.947380815732636,45
campus,2019-02-22,23.532868475749577,4
ring,2019-02-22,21.84796778228605,1242
campus,2019-02-23,39.36083613593003,4
ring,2019-02-23,25.820693286440118,1258
campus,2019-02-24,47.2561597084177,4
ring,2019-02-24,28.536028380634455,1218
campus,2019-02-25,,0
ring,2019-02-25,22.565621812601744,285
campus,2019-02-26,,0
ring,2019-02-26,,0
campus,2019-02-27,,0
ring,2019-02-27,3.4958727233309452,26
campus,2019-02-28,44.44552597506293,4
ring,2019-02-28,24.63896396617914,1415
campus,2019-03-01,,0
ring,2019-03-01,,0
campus,2019-03-02,,0
ring,2019-03-02,,0
campus,2019-03-03,,0
ring,2019-03-03,,0
campus,2019-03-04,,0
ring,2019-03-04,,0
campus,2019-03-05,,0
ring,2019-03-05,1.4268075283751431,9
campus,2019-03-06,28.0884821949334,4
ring,2019-03-06,17.01245789112856,1426
campus,2019-03-07,53.48060604621625,4
ring,2019-03-07,26.377475848239857,1426
campus,2019-03-08,,0
ring,2019-03-08,,0
campus,2019-03-09,,0
ring,2019-03-09,,0
campus,2019-03-10,,0
ring,2019-03-10,25.243435989904373,930
campus,2019-03-11,45.10042574487884,4
ring,2019-03-11,29.190125526706904,1417
campus,2019-03-12,46.60550855768138,4
ring,2019-03-12,28.47131290081503,1427
campus,2019-03-13,,0
ring,2019-03-13,,0
campus,2019-03-14,44.843410574156664,4
ring,2019-03-14,26.89692317337303,1212
campus,2019-03-15,,0
ring,2019-03-15,20.76340820471579,270
campus,2019-03-16,63.198945620964324,4
ring,2019-03-16,40.2366647868932,1224
campus,2019-03-17,,0
