z,d,rad,n
campus,2019-01-01,69.29474011742244,17
ring,2019-01-01,0.5965708455780128,1690
campus,2019-01-02,58.94637579232358,17
ring,2019-01-02,0.7301304737180269,1693
campus,2019-01-03,,0
ring,2019-01-03,,0
campus,2019-01-04,,0
ring,2019-01-04,0.48961312500782567,411
campus,2019-01-05,,0
ring,2019-01-05,,0
campus,2019-01-06,,0
ring,2019-01-06,0.8797938744422404,790
campus,2019-01-07,84.49644232863061,16
ring,2019-01-07,0.9359701880532796,1693
campus,2019-01-08,,0
ring,2019-01-08,,0
campus,2019-01-09,,0
ring,2019-01-09,0.777115122828156,63
campus,2019-01-10,51.499936993907,17
ring,2019-01-10,0.6778230362590517,1693
campus,2019-01-11,,0
ring,2019-01-11,0.33777471882508214,33
campus,2019-01-12,,0
ring,2019-01-12,0.22468595884113163,420
campus,2019-01-13,,0
ring,2019-01-13,0.15253820450290487,37
campus,2019-01-14,,0
ring,2019-01-14,0.46820152113039903,45
campus,2019-01-15,,0
ring,2019-01-15,,0
campus,2019-01-16,,0
ring,2019-01-16,0.16060349259267473,30
campus,2019-01-17,,0
ring,2019-01-17,,0
campus,2019-01-18,40.6218656521256,12
ring,2019-01-18,0.4527283959533662,1686
campus,2019-01-19,,0
ring,2019-01-19,,0
campus,2019-01-20,,0
ring,2019-01-20,,0
campus,2019-01-21,,0
ring,2019-01-21,,0
campus,2019-01-22,,0
ring,2019-01-22,,0
campus,2019-01-23,34.8289577953309,15
ring,2019-01-23,0.48445462796699407,1575
campus,2019-01-24,30.647409472000263,15
ring,2019-01-24,0.5908091339543423,1677
campus,2019-01-25,39.45123652856611,12
ring,2019-01-25,0.5686451313407576,1679
campus,2019-01-26,42.673553272251326,13
ring,2019-01-26,0.4743228543717362,1678
campus,2019-01-27,40.6543988776681,10
ring,2019-01-27,0.49963841266626885,1675
campus,2019-01-28,43.559189965223354,12
ring,2019-01-28,0.5026516024172798,1674
campus,2019-01-29,,0
ring,2019-01-29,2.1024484294687644,454
campus,2019-01-30,,0
ring,2019-01-30,0.2665771856985959,97
campus,2019-01-31,29.085203616040772,17
ring,2019-01-31,0.5760508699158419,1693
campus,2019-02-01,,0
ring,2019-02-01,,0
campus,2019-02-02,,0
ring,2019-02-02,,0
campus,2019-02-03,,0
ring,2019-02-03,,0
campus,2019-02-04,,0
ring,2019-02-04,,0
campus,2019-02-05,,0
ring,2019-02-05,0.5484389838648263,32
campus,2019-02-06,,0
ring,2019-02-06,,0
campus,2019-02-07,,0
ring,2019-02-07,0.40502825938648995,20
campus,2019-02-08,,0
ring,2019-02-08,0.6849957180592517,22
campus,2019-02-09,,0
ring,2019-02-09,,0
campus,2019-02-10,,0
ring,2019-02-10,1.0821048021316528,1
campus,2019-02-11,,0
ring,2019-02-11,0.7054550647735596,1
campus,2019-02-12,,0
ring,2019-02-12,,0
campus,2019-02-13,,0
ring,2019-02-13,,0
campus,2019-02-14,,0
ring,2019-02-14,,0
campus,2019-02-15,,0
ring,2019-02-15,,0
campus,2019-02-16,,0
ring,2019-02-16,,0
campus,2019-02-17,41.69383705736563,16
ring,2019-02-17,1.0951488431941665,685
campus,2019-02-18,16.440049306505678,5
ring,2019-02-18,2.2944575507175804,310
campus,2019-02-19,43.38236458155766,14
ring,2019-02-19,0.8984426606681676,1073
campus,2019-02-20,,0
ring,2019-02-20,,0
campus,2019-02-21,30.757223640432084,13
ring,2019-02-21,0.837833165128801,1057
campus,2019-02-22,42.36205715488743,16
ring,2019-02-22,0.7297580396733248,1352
campus,2019-02-23,,0
ring,2019-02-23,0.21370236875593857,4
campus,2019-02-24,,0
ring,2019-02-24,,0
campus,2019-02-25,,0
ring,2019-02-25,,0
campus,2019-02-26,,0
ring,2019-02-26,1.647089116900581,48
campus,2019-02-27,,0
ring,2019-02-27,,0
campus,2019-02-28,,0
ring,2019-02-28,2.092776209115982,4
campus,2019-03-01,,0
ring,2019-03-01,,0
campus,2019-03-02,,0
ring,2019-03-02,1.490453676577358,75
campus,2019-03-03,,0
ring,2019-03-03,,0
campus,2019-03-04,,0
ring,2019-03-04,,0
campus,2019-03-05,,0
ring,2019-03-05,0.8353484339184232,9
campus,2019-03-06,,0
ring,2019-03-06,1.204102873802185,1
campus,2019-03-07,,0
ring,2019-03-07,,0
campus,2019-03-08,,0
ring,2019-03-08,,0
campus,2019-03-09,,0
ring,2019-03-09,,0
campus,2019-03-10,,0
ring,2019-03-10,,0
campus,2019-03-11,,0
ring,2019-03-11,,0
campus,2019-03-12,,0
ring,2019-03-12,,0
campus,2019-03-13,,0
ring,2019-03-13,26.246100181287595,14
campus,2019-03-14,,0
ring,2019-03-14,23.11427885691325,15
campus,2019-03-15,,0
ring,2019-03-15,19.732126920190886,21
campus,2019-03-16,,0
ring,2019-03-16,3.860964241290844,14
campus,2019-03-17,,0
ring,2019-03-17,,0
campus,2019-03-18,46.42505652554509,15
ring,2019-03-18,1.9394548272298737,635
campus,2019-03-19,53.616336913314385,15
ring,2019-03-19,1.5671067407781276,894
campus,2019-03-20,39.256824568518596,14
ring,2019-03-20,0.8375042814152386,1317
campus,2019-03-21,,0
ring,2019-03-21,,0
campus,2019-03-22,54.61562362063152,3
ring,2019-03-22,0.33908856159576034,1659
campus,2019-03-23,,0
ring,2019-03-23,,0
campus,2019-03-24,,0
ring,2019-03-24,0.697307330861026,150
campus,2019-03-25,,0
ring,2019-03-25,,0
campus,2019-03-26,,0
ring,2019-03-26,0.16721440895443165,8
campus,2019-03-27,,0
ring,2019-03-27,,0
campus,2019-03-28,,0
ring,2019-03-28,0.837823275067119,294
campus,2019-03-29,23.000382086857645,4
ring,2019-03-29,0.6958011980416916,571
campus,2019-03-30,36.771342847065974,17
ring,2019-03-30,0.8807479427974009,1693
campus,2019-03-31,27.118706467845247,16
ring,2019-03-31,0.6804303661434579,1693
campus,2019-04-01,,0
ring,2019-04-01,,0
campus,2019-04-02,,0
ring,2019-04-02,,0
campus,2019-04-03,13.882632633132726,16
ring,2019-04-03,0.908388322276899,1443
campus,2019-04-04,,0
ring,2019-04-04,,0
campus,2019-04-05,,0
ring,2019-04-05,0.31535806506872177,4
campus,2019-04-06,,0
ring,2019-04-06,,0
campus,2019-04-07,,0
ring,2019-04-07,,0
campus,2019-04-08,,0
ring,2019-04-08,,0
campus,2019-04-09,21.189441811526972,17
ring,2019-04-09,0.867430365362697,1664
campus,2019-04-10,32.39895957019856,17
ring,2019-04-10,0.7971383700480094,1693
campus,2019-04-11,,0
ring,2019-04-11,,0
campus,2019-04-12,47.86218221588892,17
ring,2019-04-12,0.5383174071705306,1430
campus,2019-04-13,48.3323621025727,13
ring,2019-04-13,0.6950277296207847,1646
campus,2019-04-14,,0
ring,2019-04-14,0.7171187966771218,408
campus,2019-04-15,,0
ring,2019-04-15,0.44283228327094626,158
campus,2019-04-16,7.05846958287557,2
ring,2019-04-16,0.2459914102500592,1076
campus,2019-04-17,,0
ring,2019-04-17,,0
campus,2019-04-18,48.497188950149265,10
ring,2019-04-18,0.44159608783969356,1656
campus,2019-04-19,38.80671980084195,14
ring,2019-04-19,0.3570551507604895,1675
campus,2019-04-20,,0
ring,2019-04-20,,0
campus,2019-04-21,32.18679778473065,15
ring,2019-04-21,0.43914511558917635,1680
campus,2019-04-22,43.006861811238196,11
ring,2019-04-22,0.468484780630002,1672
campus,2019-04-23,,0
ring,2019-04-23,0.43546646549248413,582
campus,2019-04-24,40.33440982570406,13
ring,2019-04-24,0.11260110817511187,504
campus,2019-04-25,40.881192534220546,13
ring,2019-04-25,1.0751327654076295,1545
campus,2019-04-26,35.49076546656011,17
ring,2019-04-26,1.3844851618644018,1693
campus,2019-04-27,41.10683642148044,14
ring,2019-04-27,0.718030911600695,1662
campus,2019-04-28,52.71807236488352,17
ring,2019-04-28,0.7367801968015262,1694
campus,2019-04-29,42.77044345114862,17
ring,2019-04-29,0.8374275077345045,1694
campus,2019-04-30,,0
ring,2019-04-30,0.7405463720035927,1012
campus,2019-05-01,47.881431651179405,17
ring,2019-05-01,1.0307808713044952,1694
campus,2019-05-02,44.322004542259215,17
ring,2019-05-02,0.8123640479420166,1694
campus,2019-05-03,55.09942439151736,17
ring,2019-05-03,0.7148063724047218,1694
campus,2019-05-04,51.424849263463095,17
ring,2019-05-04,0.7262434477179215,1693
campus,2019-05-05,,0
ring,2019-05-05,0.8046478100517183,960
campus,2019-05-06,,0
ring,2019-05-06,,0
campus,2019-05-07,1.6208171844482422,1
ring,2019-05-07,0.6044955580924832,479
campus,2019-05-08,38.9440127722396,17
ring,2019-05-08,0.8143149553000287,1694
campus,2019-05-09,28.399755837501917,17
ring,2019-05-09,0.752453278741881,1694
campus,2019-05-10,58.95443223518936,17
ring,2019-05-10,0.9717361652885989,1694
campus,2019-05-11,45.58912657588893,17
ring,2019-05-11,1.3279572537859003,1694
campus,2019-05-12,,0
ring,2019-05-12,2.683410207868194,89
campus,2019-05-13,44.18358422743201,17
ring,2019-05-13,0.8298453761202468,1614
campus,2019-05-14,,0
ring,2019-05-14,,0
campus,2019-05-15,,0
ring,2019-05-15,,0
campus,2019-05-16,,0
ring,2019-05-16,,0
campus,2019-05-17,,0
ring,2019-05-17,,0
campus,2019-05-18,,0
ring,2019-05-18,0.2969724089592286,119
campus,2019-05-19,,0
ring,2019-05-19,,0
campus,2019-05-20,,0
ring,2019-05-20,,0
campus,2019-05-21,,0
ring,2019-05-21,0.5236940272152424,4
campus,2019-05-22,,0
ring,2019-05-22,,0
campus,2019-05-23,,0
ring,2019-05-23,,0
campus,2019-05-24,42.8682394139967,13
ring,2019-05-24,0.5580229540023206,1604
campus,2019-05-25,29.558892810475626,15
ring,2019-05-25,0.421336492088521,1105
campus,2019-05-26,,0
ring,2019-05-26,,0
campus,2019-05-27,,0
ring,2019-05-27,,0
campus,2019-05-28,14.943197254608533,7
ring,2019-05-28,1.0476353623394266,205
campus,2019-05-29,,0
ring,2019-05-29,,0
campus,2019-05-30,11.803926467895508,1
ring,2019-05-30,0.3367811196333687,1173
campus,2019-05-31,1.1834637173584528,2
ring,2019-05-31,0.5957024424025856,299
campus,2019-06-01,25.45635268635921,18
ring,2019-06-01,0.8409157252499063,1688
campus,2019-06-02,,0
ring,2019-06-02,,0
campus,2019-06-03,,0
ring,2019-06-03,,0
campus,2019-06-04,,0
ring,2019-06-04,,0
campus,2019-06-05,35.501980058531345,18
ring,2019-06-05,0.5946332530414716,1688
campus,2019-06-06,,0
ring,2019-06-06,,0
campus,2019-06-07,,0
ring,2019-06-07,0.6443787665536884,188
campus,2019-06-08,,0
ring,2019-06-08,,0
campus,2019-06-09,,0
ring,2019-06-09,,0
campus,2019-06-10,29.457999432190523,18
ring,2019-06-10,0.6286119806947148,1159
campus,2019-06-11,37.12645400842952,18
ring,2019-06-11,0.708148794263512,1688
campus,2019-06-12,40.77535365947381,16
ring,2019-06-12,0.4383827945762194,1665
campus,2019-06-13,,0
ring,2019-06-13,,0
campus,2019-06-14,,0
ring,2019-06-14,,0
campus,2019-06-15,,0
ring,2019-06-15,,0
campus,2019-06-16,33.309499391001125,15
ring,2019-06-16,0.38665798367084114,1376
campus,2019-06-17,35.703243129973984,14
ring,2019-06-17,0.4013467467110378,1518
campus,2019-06-18,,0
ring,2019-06-18,,0
campus,2019-06-19,,0
ring,2019-06-19,,0
campus,2019-06-20,,0
ring,2019-06-20,,0
campus,2019-06-21,,0
ring,2019-06-21,0.3581837153846035,824
campus,2019-06-22,29.0597098733008,13
ring,2019-06-22,0.4193541453275682,1670
campus,2019-06-23,,0
ring,2019-06-23,,0
campus,2019-06-24,,0
ring,2019-06-24,,0
campus,2019-06-25,,0
ring,2019-06-25,,0
campus,2019-06-26,,0
ring,2019-06-26,0.2722256893112044,293
campus,2019-06-27,,0
ring,2019-06-27,,0
campus,2019-06-28,35.48116374666848,18
ring,2019-06-28,1.0898796408969706,1688
campus,2019-06-29,,0
ring,2019-06-29,0.7337344089920256,190
campus,2019-06-30,,0
ring,2019-06-30,,0
campus,2019-07-01,,0
ring,2019-07-01,,0
campus,2019-07-02,,0
ring,2019-07-02,0.5958271958814274,39
campus,2019-07-03,,0
ring,2019-07-03,0.48245990577584846,36
campus,2019-07-04,,0
ring,2019-07-04,,0
campus,2019-07-05,,0
ring,2019-07-05,,0
campus,2019-07-06,,0
ring,2019-07-06,,0
campus,2019-07-07,36.70259454405869,17
