z,d,rad,n
campus,2019-01-01,,0
ring,2019-01-01,2.25349959239714,218
campus,2019-01-02,,0
ring,2019-01-02,,0
campus,2019-01-03,,0
ring,2019-01-03,,0
campus,2019-01-04,,0
ring,2019-01-04,,0
campus,2019-01-05,5.570998759232752,3
ring,2019-01-05,6.312793429978265,769
campus,2019-01-06,55.34953473986571,18
ring,2019-01-06,9.084966050726928,1277
campus,2019-01-07,,0
ring,2019-01-07,,0
campus,2019-01-08,,0
ring,2019-01-08,1.544986621004496,379
campus,2019-01-09,,0
ring,2019-01-09,,0
campus,2019-01-10,,0
ring,2019-01-10,3.4354388025311433,86
campus,2019-01-11,,0
ring,2019-01-11,,0
campus,2019-01-12,,0
ring,2019-01-12,,0
campus,2019-01-13,,0
ring,2019-01-13,,0
campus,2019-01-14,73.89601033324496,15
ring,2019-01-14,17.04407656748573,938
campus,2019-01-15,137.71198184574948,7
ring,2019-01-15,19.914034048623282,1054
campus,2019-01-16,,0
ring,2019-01-16,,0
campus,2019-01-17,,0
ring,2019-01-17,15.607462202359551,48
campus,2019-01-18,,0
ring,2019-01-18,,0
campus,2019-01-19,,0
ring,2019-01-19,,0
campus,2019-01-20,,0
ring,2019-01-20,,0
campus,2019-01-21,,0
ring,2019-01-21,,0
campus,2019-01-22,,0
ring,2019-01-22,80.56606982420182,104
campus,2019-01-23,,0
ring,2019-01-23,,0
campus,2019-01-24,,0
ring,2019-01-24,,0
campus,2019-01-25,,0
ring,2019-01-25,,0
campus,2019-01-26,,0
ring,2019-01-26,,0
campus,2019-01-27,,0
ring,2019-01-27,,0
campus,2019-01-28,,0
ring,2019-01-28,19.957944133262675,9
campus,2019-01-29,,0
ring,2019-01-29,14.18222358585459,8
campus,2019-01-30,,0
ring,2019-01-30,,0
campus,2019-01-31,186.18807436130913,4
ring,2019-01-31,39.428387618437654,145
campus,2019-02-01,,0
ring,2019-02-01,7.246500074719112,4
campus,2019-02-02,111.02170391945502,15
ring,2019-02-02,35.375454714266525,664
campus,2019-02-03,56.85948242956988,16
ring,2019-02-03,21.97949825888046,1152
campus,2019-02-04,24.07264599662561,15
ring,2019-02-04,7.576427052438436,1350
campus,2019-02-05,,0
ring,2019-02-05,0.5791242161061462,178
campus,2019-02-06,,0
ring,2019-02-06,,0
campus,2019-02-07,,0
ring,2019-02-07,4.167237732952513,25
campus,2019-02-08,,0
ring,2019-02-08,2.7051356895581673,7
campus,2019-02-09,,0
ring,2019-02-09,2.1639593717013823,47
campus,2019-02-10,,0
ring,2019-02-10,0.8113457195426568,4
campus,2019-02-11,,0
ring,2019-02-11,,0
campus,2019-02-12,,0
ring,2019-02-12,,0
campus,2019-02-13,,0
ring,2019-02-13,,0
campus,2019-02-14,,0
ring,2019-02-14,,0
campus,2019-02-15,,0
ring,2019-02-15,,0
campus,2019-02-16,,0
ring,2019-02-16,9.982264428327603,694
campus,2019-02-17,44.017798797493526,13
ring,2019-02-17,9.109908782010685,1528
campus,2019-02-18,,0
ring,2019-02-18,,0
campus,2019-02-19,,0
ring,2019-02-19,21.068599933809057,41
campus,2019-02-20,,0
ring,2019-02-20,,0
campus,2019-02-21,,0
ring,2019-02-21,21.849210246280798,16
campus,2019-02-22,,0
ring,2019-02-22,7.081039264534964,409
campus,2019-02-23,,0
ring,2019-02-23,,0
campus,2019-02-24,,0
ring,2019-02-24,,0
campus,2019-02-25,64.59087883020747,11
ring,2019-02-25,8.216760987346658,1502
campus,2019-02-26,,0
ring,2019-02-26,,0
campus,2019-02-27,,0
ring,2019-02-27,,0
campus,2019-02-28,,0
ring,2019-02-28,1.7973440170288086,10
campus,2019-03-01,,0
ring,2019-03-01,6.839966456095378,9
campus,2019-03-02,37.59214129892958,16
ring,2019-03-02,7.898114727078278,1538
campus,2019-03-03,,0
ring,2019-03-03,,0
campus,2019-03-04,,0
ring,2019-03-04,6.079706001281738,5
campus,2019-03-05,58.005932855249334,14
ring,2019-03-05,17.46264323402197,1065
campus,2019-03-06,56.28827703629467,13
ring,2019-03-06,19.90871163510716,1038
campus,2019-03-07,42.26898252805841,11
ring,2019-03-07,17.55491036352109,1008
campus,2019-03-08,,0
ring,2019-03-08,,0
campus,2019-03-09,32.695245281139236,18
ring,2019-03-09,7.502922911011729,1573
campus,2019-03-10,,0
ring,2019-03-10,3.1198521867126763,27
campus,2019-03-11,,0
ring,2019-03-11,,0
campus,2019-03-12,31.131788353199223,18
ring,2019-03-12,9.386309125460079,1586
campus,2019-03-13,,0
ring,2019-03-13,,0
campus,2019-03-14,,0
ring,2019-03-14,,0
campus,2019-03-15,28.93913618010243,16
ring,2019-03-15,6.95294786481579,1509
campus,2019-03-16,36.9937534373087,12
ring,2019-03-16,9.2986729935398,1531
campus,2019-03-17,28.718513598481128,18
ring,2019-03-17,9.791278803396205,1536
campus,2019-03-18,,0
ring,2019-03-18,41.0626212541355,37
campus,2019-03-19,41.98009535678861,17
ring,2019-03-19,8.538016934579083,1471
campus,2019-03-20,,0
ring,2019-03-20,7.555969697367588,217
campus,2019-03-21,,0
ring,2019-03-21,,0
campus,2019-03-22,,0
ring,2019-03-22,,0
campus,2019-03-23,78.12205739113813,16
ring,2019-03-23,8.001207749544642,1512
campus,2019-03-24,24.007704812925414,6
ring,2019-03-24,12.055731570987337,357
campus,2019-03-25,,0
ring,2019-03-25,,0
campus,2019-03-26,64.95805640715365,15
ring,2019-03-26,8.84320536043138,1524
campus,2019-03-27,63.57399413893794,15
ring,2019-03-27,13.135914050889808,1182
campus,2019-03-28,69.26656178863657,16
ring,2019-03-28,10.15022239446991,1320
campus,2019-03-29,,0
ring,2019-03-29,,0
campus,2019-03-30,,0
ring,2019-03-30,,0
campus,2019-03-31,,0
ring,2019-03-31,1.2160454696475835,61
campus,2019-04-01,70.02525363559607,18
ring,2019-04-01,9.581104748769553,1587
campus,2019-04-02,,0
ring,2019-04-02,2.5810285365921346,152
campus,2019-04-03,45.15008341369571,18
ring,2019-04-03,9.623816362482444,1168
campus,2019-04-04,,0
ring,2019-04-04,,0
campus,2019-04-05,,0
ring,2019-04-05,,0
campus,2019-04-06,,0
ring,2019-04-06,,0
campus,2019-04-07,64.72186301807282,18
ring,2019-04-07,11.283370411546528,1544
campus,2019-04-08,,0
ring,2019-04-08,2.8518991394229465,291
campus,2019-04-09,42.45410436378515,18
ring,2019-04-09,6.440644546703857,1033
campus,2019-04-10,,0
ring,2019-04-10,6.263194360158311,99
campus,2019-04-11,,0
ring,2019-04-11,3.7610566447999525,128
campus,2019-04-12,,0
ring,2019-04-12,,0
campus,2019-04-13,,0
ring,2019-04-13,,0
campus,2019-04-14,,0
ring,2019-04-14,,0
campus,2019-04-15,7.26532506942749,1
ring,2019-04-15,2.002274826169014,8
campus,2019-04-16,,0
ring,2019-04-16,3.3991031646728516,1
campus,2019-04-17,36.419074368942695,15
ring,2019-04-17,9.565187767650619,1535
campus,2019-04-18,,0
ring,2019-04-18,6.237216845938098,72
campus,2019-04-19,,0
ring,2019-04-19,,0
campus,2019-04-20,13.088919990364163,3
ring,2019-04-20,8.796430942477834,22
campus,2019-04-21,,0
ring,2019-04-21,12.770545902662967,77
campus,2019-04-22,46.91957533006968,17
ring,2019-04-22,8.941673955236956,1553
campus,2019-04-23,,0
ring,2019-04-23,,0
campus,2019-04-24,58.72080207299884,15
ring,2019-04-24,9.260371995112633,1516
campus,2019-04-25,,0
ring,2019-04-25,,0
campus,2019-04-26,,0
ring,2019-04-26,,0
campus,2019-04-27,30.88981446964156,18
ring,2019-04-27,8.135587662859141,1585
campus,2019-04-28,,0
ring,2019-04-28,,0
campus,2019-04-29,,0
ring,2019-04-29,,0
campus,2019-04-30,,0
ring,2019-04-30,,0
campus,2019-05-01,19.43916431990982,19
ring,2019-05-01,7.152591460169935,1553
campus,2019-05-02,,0
ring,2019-05-02,,0
campus,2019-05-03,,0
ring,2019-05-03,,0
campus,2019-05-04,,0
ring,2019-05-04,,0
campus,2019-05-05,,0
ring,2019-05-05,,0
campus,2019-05-06,25.99754926897404,20
ring,2019-05-06,7.813813981835144,1589
campus,2019-05-07,59.81509311376423,20
ring,2019-05-07,8.24671784097988,1588
campus,2019-05-08,39.43054914714954,20
ring,2019-05-08,9.995045566744848,1589
campus,2019-05-09,,0
ring,2019-05-09,,0
campus,2019-05-10,,0
ring,2019-05-10,,0
campus,2019-05-11,22.7453786398343,20
