lat,lon,n_px,area_km2,early,late,diff,sum_diff
32.5409,-99.5469,53,13.25,0.7,105.8,105.2,5574.0
32.4983,-99.785,41,10.25,1.8,71.9,70.1,2872.0
32.9874,-99.5758,24,6.0,0.4,86.8,86.4,2074.0
32.4464,-100.5084,12,3.0,2.1,22.0,19.9,239.0
32.9717,-99.5484,7,1.75,0.4,33.7,33.4,233.0
33.1366,-99.5728,7,1.75,0.3,26.8,26.5,185.0
32.4921,-99.6344,6,1.5,0.9,27.5,26.6,160.0
32.4606,-99.6793,2,0.5,8.2,59.3,51.1,102.0
32.5123,-99.5401,3,0.75,0.6,27.2,26.6,80.0
32.3483,-99.7916,2,0.5,6.6,38.2,31.5,63.0
33.0131,-99.5625,2,0.5,0.3,30.4,30.0,60.0
32.9637,-99.5625,2,0.5,0.3,30.0,29.6,59.0
32.6306,-100.5477,3,0.75,0.5,17.0,16.4,49.0
32.4359,-99.6501,2,0.5,9.4,33.2,23.8,48.0
32.3596,-99.7444,2,0.5,5.7,28.2,22.5,45.0
32.4292,-99.5985,2,0.5,3.6,17.9,14.4,29.0
32.8042,-99.9196,2,0.5,0.4,12.5,12.1,24.0
