lat,lon,n_px,area_km2,early,late,diff,sum_diff,tile
39.506,121.3392,398,99.5,3.1,52.9,49.9,19850.0,38.0_120.0
37.5975,120.2573,205,51.25,3.2,82.4,79.2,16233.0,36.0_120.0
40.0914,113.2942,34,8.5,60.8,338.4,277.6,9439.0,40.0_112.0
39.1195,109.4524,59,14.75,0.6,144.1,143.5,8467.0,38.0_108.0
39.0365,115.9625,151,37.75,8.8,55.9,47.1,7115.0,38.0_114.0
34.3957,113.9472,168,42.0,2.2,43.1,40.9,6873.0,34.0_112.0
40.7372,122.0197,66,16.5,6.8,106.1,99.3,6553.0,40.0_122.0
37.724,120.6161,67,16.75,2.7,86.8,84.1,5635.0,36.0_120.0
37.6351,112.5037,192,48.0,5.7,30.5,24.8,4756.0,36.0_112.0
30.8869,113.9824,113,28.25,6.6,48.3,41.7,4708.0,30.0_112.0
37.69,121.0997,43,10.75,16.5,121.6,105.1,4518.0,36.0_120.0
36.5251,103.6364,24,6.0,14.9,190.5,175.6,4216.0,36.0_102.0
25.4433,119.2644,30,7.5,22.1,153.3,131.1,3934.0,24.0_118.0
38.2988,117.6882,51,12.75,15.5,91.9,76.4,3896.0,38.0_116.0
38.0794,118.0668,55,13.75,9.4,79.1,69.8,3836.0,38.0_118.0
30.3644,115.016,164,41.0,3.2,25.7,22.5,3683.0,30.0_114.0
30.3533,111.5641,90,22.5,6.7,47.1,40.4,3636.0,30.0_110.0
32.1742,117.2561,83,20.75,4.8,45.6,40.7,3382.0,32.0_116.0
24.5816,118.3077,71,17.75,8.8,56.1,47.3,3356.0,24.0_118.0
30.6505,121.184,24,6.0,20.2,157.7,137.4,3298.0,30.0_120.0
38.3229,106.7209,18,4.5,32.8,212.9,180.1,3242.0,38.0_106.0
30.0238,121.6688,29,7.25,13.6,124.1,110.6,3206.0,30.0_120.0
30.3685,121.3207,82,20.5,2.6,40.7,38.1,3125.0,30.0_120.0
36.8593,117.09,93,23.25,5.9,38.6,32.7,3043.0,36.0_116.0
30.439,114.5705,79,19.75,4.2,40.7,36.5,2887.0,30.0_114.0
34.4561,108.7841,22,5.5,36.7,162.4,125.6,2764.0,34.0_108.0
29.7351,106.6597,20,5.0,22.0,157.0,135.0,2700.0,28.0_106.0
35.1864,109.5874,94,23.5,5.3,33.7,28.4,2666.0,34.0_108.0
39.439,114.2321,87,21.75,6.2,35.7,29.5,2565.0,38.0_114.0
34.4949,113.8959,92,23.0,5.3,31.2,25.9,2381.0,34.0_112.0
40.2434,121.0231,25,6.25,23.5,116.1,92.6,2315.0,40.0_120.0
39.5775,121.2938,22,5.5,25.9,128.7,102.8,2262.0,38.0_120.0
30.3465,104.3568,106,26.5,3.8,25.2,21.3,2261.0,30.0_104.0
28.7947,115.9294,54,13.5,7.3,47.0,39.7,2142.0,28.0_114.0
30.1076,112.3199,34,8.5,5.3,67.3,62.0,2109.0,30.0_112.0
30.3299,115.0345,26,6.5,5.3,86.3,80.9,2105.0,30.0_114.0
38.7392,117.5948,25,6.25,19.0,102.0,83.0,2075.0,38.0_116.0
38.0684,110.2133,7,1.75,0.4,279.1,278.7,1951.0,38.0_110.0
28.3846,116.2373,73,18.25,6.4,33.1,26.7,1947.0,28.0_116.0
35.749,115.3459,24,6.0,13.9,94.2,80.3,1928.0,34.0_114.0
30.713,120.6607,45,11.25,5.5,48.3,42.8,1927.0,30.0_120.0
34.539,119.5488,18,4.5,11.4,117.2,105.8,1904.0,34.0_118.0
31.3248,121.7648,31,7.75,11.0,71.7,60.7,1881.0,30.0_120.0
30.3495,105.4588,46,11.5,12.4,53.0,40.6,1869.0,30.0_104.0
40.9666,121.5285,23,5.75,0.7,81.9,81.1,1866.0,40.0_120.0
36.481,110.1555,15,3.75,0.3,124.0,123.7,1855.0,36.0_110.0
