lat,lon,n_px,area_km2,early,late,diff,sum_diff,tile
35.8509,106.6284,60,15.0,4.3,34.0,29.7,1782.0,ningxia_gansu
37.5743,105.5116,12,3.0,0.6,144.6,144.1,1729.0,ningxia_gansu
38.0258,106.6759,25,6.25,8.0,48.3,40.3,1008.0,ningxia_gansu
37.6267,105.2486,18,4.5,5.0,41.2,36.2,652.0,ningxia_gansu
35.6549,107.8335,9,2.25,0.8,45.5,44.8,403.0,ningxia_gansu
37.3609,105.0894,4,1.0,0.4,65.9,65.4,262.0,ningxia_gansu
37.0083,107.3869,3,0.75,5.8,81.6,75.8,227.0,ningxia_gansu
37.9606,105.8575,8,2.0,0.9,27.3,26.4,211.0,ningxia_gansu
37.4436,106.0529,10,2.5,4.4,22.3,17.9,179.0,ningxia_gansu
35.5426,106.639,6,1.5,4.7,33.9,29.2,175.0,ningxia_gansu
37.4916,104.6326,5,1.25,0.4,34.4,34.0,170.0,ningxia_gansu
37.9253,105.8847,7,1.75,5.5,29.5,23.9,168.0,ningxia_gansu
37.6358,105.314,10,2.5,2.1,18.8,16.7,167.0,ningxia_gansu
37.6574,105.1927,4,1.0,6.9,45.2,38.2,153.0,ningxia_gansu
36.1657,106.6134,5,1.25,10.7,40.1,29.4,147.0,ningxia_gansu
38.1335,106.7468,4,1.0,2.4,39.1,36.6,146.0,ningxia_gansu
36.1857,106.1549,7,1.75,1.9,22.4,20.6,144.0,ningxia_gansu
35.7295,107.6942,7,1.75,4.0,24.3,20.2,142.0,ningxia_gansu
38.1986,106.5806,4,1.0,8.9,42.6,33.7,135.0,ningxia_gansu
36.9823,105.8894,5,1.25,8.0,35.0,27.0,135.0,ningxia_gansu
37.5664,105.6941,8,2.0,3.0,19.8,16.8,134.0,ningxia_gansu
36.5899,107.2776,6,1.5,4.4,25.2,20.8,125.0,ningxia_gansu
35.2858,107.8966,4,1.0,4.6,35.6,31.0,124.0,ningxia_gansu
35.2686,107.9738,3,0.75,6.6,47.2,40.6,122.0,ningxia_gansu
37.5833,107.5613,6,1.5,4.4,23.9,19.5,117.0,ningxia_gansu
38.01,107.0567,4,1.0,2.7,31.7,29.0,116.0,ningxia_gansu
37.7367,106.5836,6,1.5,0.6,18.5,17.9,107.0,ningxia_gansu
36.1235,106.6188,4,1.0,7.6,34.0,26.4,106.0,ningxia_gansu
37.9266,105.9149,7,1.75,4.7,19.7,15.1,105.0,ningxia_gansu
37.3025,105.0625,4,1.0,0.4,25.9,25.4,102.0,ningxia_gansu
38.0309,107.0575,3,0.75,5.9,38.4,32.6,98.0,ningxia_gansu
36.795,106.9399,4,1.0,1.0,23.1,22.1,88.0,ningxia_gansu
37.2442,105.8418,2,0.5,0.5,44.3,43.8,88.0,ningxia_gansu
36.7815,106.895,4,1.0,0.3,21.9,21.6,86.0,ningxia_gansu
35.5665,106.63,2,0.5,15.4,58.4,43.0,86.0,ningxia_gansu
37.9264,105.8588,5,1.25,2.0,19.2,17.2,86.0,ningxia_gansu
37.6357,107.5875,3,0.75,6.2,34.5,28.3,85.0,ningxia_gansu
36.9297,107.9955,4,1.0,4.3,25.2,20.9,84.0,ningxia_gansu
36.7538,104.7787,3,0.75,2.7,30.1,27.4,82.0,ningxia_gansu
37.371,105.4981,4,1.0,1.6,21.8,20.2,81.0,ningxia_gansu
35.412,108.0256,5,1.25,0.6,16.7,16.1,80.0,ningxia_gansu
36.5457,107.562,3,0.75,1.3,27.4,26.1,78.0,ningxia_gansu
38.1986,107.6036,4,1.0,2.1,21.3,19.3,77.0,ningxia_gansu
37.4051,105.6771,3,0.75,4.1,29.8,25.6,77.0,ningxia_gansu
35.2941,108.0067,3,0.75,4.4,28.7,24.3,73.0,ningxia_gansu
37.983,105.9271,3,0.75,5.8,28.6,22.8,68.0,ningxia_gansu
36.5262,107.3479,3,0.75,6.7,28.2,21.5,64.0,ningxia_gansu
37.2666,106.5716,4,1.0,0.6,15.9,15.2,61.0,ningxia_gansu
37.1364,105.4442,4,1.0,0.5,15.6,15.1,61.0,ningxia_gansu
35.2723,107.9505,4,1.0,3.8,18.2,14.4,58.0,ningxia_gansu
36.7299,104.757,2,0.5,11.7,40.4,28.7,57.0,ningxia_gansu
38.1986,106.621,2,0.5,10.1,38.6,28.5,57.0,ningxia_gansu
38.1402,106.6076,2,0.5,4.9,32.7,27.8,56.0,ningxia_gansu
36.7097,104.912,2,0.5,6.0,32.8,26.8,54.0,ningxia_gansu
37.5372,107.6283,4,1.0,3.2,16.6,13.3,53.0,ningxia_gansu
37.0383,104.6814,3,0.75,0.5,17.7,17.2,52.0,ningxia_gansu
37.1251,108.0134,2,0.5,1.6,26.1,24.5,49.0,ningxia_gansu
36.9342,106.9534,4,1.0,0.4,12.4,12.0,48.0,ningxia_gansu
36.7463,106.6787,3,0.75,0.5,16.3,15.9,48.0,ningxia_gansu
36.2972,107.8375,3,0.75,2.8,18.6,15.8,47.0,ningxia_gansu
36.6864,106.8044,3,0.75,0.3,16.1,15.7,47.0,ningxia_gansu
37.6941,105.1426,3,0.75,1.1,16.4,15.3,46.0,ningxia_gansu
37.6304,107.5755,2,0.5,8.3,29.9,21.6,43.0,ningxia_gansu
