z,d,rad,n
campus,2019-01-01,,0
ring,2019-01-01,0.6764585703172388,13
campus,2019-01-02,,0
ring,2019-01-02,,0
campus,2019-01-03,,0
ring,2019-01-03,1.6734587700851975,84
campus,2019-01-04,0.7011251959026371,21
ring,2019-01-04,10.055140079606396,1448
campus,2019-01-05,0.49544216269219427,21
ring,2019-01-05,9.310960342218019,1448
campus,2019-01-06,,0
ring,2019-01-06,15.171411447363614,16
campus,2019-01-07,,0
ring,2019-01-07,,0
campus,2019-01-08,,0
ring,2019-01-08,,0
campus,2019-01-09,,0
ring,2019-01-09,0.7940151747700344,21
campus,2019-01-10,,0
ring,2019-01-10,,0
campus,2019-01-11,,0
ring,2019-01-11,,0
campus,2019-01-12,0.4604564390728773,21
ring,2019-01-12,7.040937295065182,1443
campus,2019-01-13,0.9736295605983334,21
ring,2019-01-13,11.113777577529222,1449
campus,2019-01-14,,0
ring,2019-01-14,0.4780618859638754,51
campus,2019-01-15,,0
ring,2019-01-15,0.9254439757331135,172
campus,2019-01-16,0.4164902417883346,7
ring,2019-01-16,4.378104746937576,380
campus,2019-01-17,0.6856293853734824,21
ring,2019-01-17,3.811657563634905,795
campus,2019-01-18,,0
ring,2019-01-18,,0
campus,2019-01-19,,0
ring,2019-01-19,,0
campus,2019-01-20,0.03221433853239488,21
ring,2019-01-20,10.436003431131102,1357
campus,2019-01-21,,0
ring,2019-01-21,,0
campus,2019-01-22,,0
ring,2019-01-22,,0
campus,2019-01-23,0.3038355726229994,19
ring,2019-01-23,8.387459915570318,1258
campus,2019-01-24,0.45965049065034763,21
ring,2019-01-24,11.2520585782924,1376
campus,2019-01-25,0.353328096808268,21
ring,2019-01-25,11.720803336959612,1395
campus,2019-01-26,0.7090971309857903,19
ring,2019-01-26,9.852421844830467,1380
campus,2019-01-27,0.47135108220467514,21
ring,2019-01-27,6.591473921891077,1366
campus,2019-01-28,0.7569376542493397,11
ring,2019-01-28,9.56735012846004,1220
campus,2019-01-29,0.6876751760720111,21
ring,2019-01-29,11.454604360656553,1449
campus,2019-01-30,,0
ring,2019-01-30,,0
campus,2019-01-31,0.9235611622016815,13
ring,2019-01-31,5.457013685905407,863
campus,2019-02-01,,0
ring,2019-02-01,0.5855653000736281,102
campus,2019-02-02,,0
ring,2019-02-02,0.8188913721722932,51
campus,2019-02-03,1.363541425711169,10
ring,2019-02-03,13.00189554444118,143
campus,2019-02-04,1.1025578182516407,21
ring,2019-02-04,12.287816417655888,1448
campus,2019-02-05,,0
ring,2019-02-05,,0
campus,2019-02-06,,0
ring,2019-02-06,,0
campus,2019-02-07,0.9068240086002464,21
ring,2019-02-07,2.6203913502573117,1061
campus,2019-02-08,0.6849031545354064,21
ring,2019-02-08,10.102131389919109,1448
campus,2019-02-09,0.782324331947881,21
ring,2019-02-09,1.2580923055817281,1163
campus,2019-02-10,,0
ring,2019-02-10,,0
campus,2019-02-11,,0
ring,2019-02-11,,0
