z,d,rad,n
campus,2019-01-01,11.951806316438681,13
ring,2019-01-01,6.9442451068563535,1487
campus,2019-01-02,,0
ring,2019-01-02,8.073404456626157,239
campus,2019-01-03,12.954532385029808,13
ring,2019-01-03,9.826424964383662,1580
campus,2019-01-04,14.18392430579308,13
ring,2019-01-04,8.815852244603192,1539
campus,2019-01-05,8.64980196653813,13
ring,2019-01-05,7.801156514436198,1066
campus,2019-01-06,,0
ring,2019-01-06,1.8633614408069354,345
campus,2019-01-07,7.227170846249798,13
ring,2019-01-07,4.422317534685853,1561
campus,2019-01-08,,0
ring,2019-01-08,1.8789031154591478,17
campus,2019-01-09,20.549894454691668,13
ring,2019-01-09,7.183709299029346,1604
campus,2019-01-10,23.525717421648128,13
ring,2019-01-10,6.362785532478155,1491
campus,2019-01-11,,0
ring,2019-01-11,,0
campus,2019-01-12,15.132915189294035,8
ring,2019-01-12,6.781669863752673,1052
campus,2019-01-13,22.56862146075409,13
ring,2019-01-13,7.193399434049257,1353
campus,2019-01-14,25.518222801913524,13
ring,2019-01-14,7.1524298684081105,1607
campus,2019-01-15,20.479076065246026,13
ring,2019-01-15,6.959800406352085,1306
campus,2019-01-16,30.80217752623977,3
ring,2019-01-16,9.678017710118137,549
campus,2019-01-17,24.370304757898502,7
ring,2019-01-17,6.64621005525178,1030
campus,2019-01-18,,0
ring,2019-01-18,,0
campus,2019-01-19,21.3964224402969,12
ring,2019-01-19,5.471727137753333,1427
campus,2019-01-20,25.042247127495255,12
ring,2019-01-20,6.257697528686133,1450
campus,2019-01-21,,0
ring,2019-01-21,,0
campus,2019-01-22,,0
ring,2019-01-22,13.925511263706046,306
campus,2019-01-23,,0
ring,2019-01-23,19.88366466651512,172
campus,2019-01-24,25.396921165312897,12
ring,2019-01-24,5.195959953875125,1505
campus,2019-01-25,21.63306418339574,12
ring,2019-01-25,6.675229375764414,1393
campus,2019-01-26,23.509515551736563,12
ring,2019-01-26,9.584819327556152,590
campus,2019-01-27,16.441829867643467,4
ring,2019-01-27,10.52402434177516,485
campus,2019-01-28,29.017899502206735,5
ring,2019-01-28,9.94800601544734,631
campus,2019-01-29,19.31992750734386,13
ring,2019-01-29,5.967707535252075,1607
campus,2019-01-30,15.65285174695272,12
ring,2019-01-30,10.416261875781105,1216
campus,2019-01-31,21.07345237857831,13
ring,2019-01-31,6.964426695014364,1607
campus,2019-02-01,,0
ring,2019-02-01,9.579350442977946,25
campus,2019-02-02,18.413600568173347,13
ring,2019-02-02,6.103720516450606,1574
campus,2019-02-03,16.428525305201866,7
ring,2019-02-03,9.763053656009408,394
campus,2019-02-04,33.64589953280911,13
ring,2019-02-04,17.442443534762276,1574
campus,2019-02-05,36.71085721761874,13
ring,2019-02-05,10.977815975572362,1606
campus,2019-02-06,34.812070076379044,13
ring,2019-02-06,10.494399703878369,1599
campus,2019-02-07,,0
ring,2019-02-07,,0
campus,2019-02-08,18.973300953981504,13
ring,2019-02-08,7.097640508841977,1598
campus,2019-02-09,36.40285111480813,13
ring,2019-02-09,10.72082663052969,1470
campus,2019-02-10,51.15260192443042,13
ring,2019-02-10,17.6369519690484,1607
campus,2019-02-11,12.602418443157335,13
ring,2019-02-11,4.9539361004765565,1596
campus,2019-02-12,32.76723496024758,13
ring,2019-02-12,7.915385170485464,1599
campus,2019-02-13,10.080617546742797,10
ring,2019-02-13,6.434608561894708,1034
campus,2019-02-14,44.48988482109586,4
ring,2019-02-14,18.08658065883142,956
campus,2019-02-15,,0
ring,2019-02-15,16.121843136018658,647
campus,2019-02-16,42.173237608304134,10
ring,2019-02-16,15.24115532538096,848
campus,2019-02-17,26.565770665277533,12
ring,2019-02-17,11.694055678841199,951
campus,2019-02-18,123.63988252480826,4
ring,2019-02-18,86.85280226139194,250
campus,2019-02-19,85.35812377929688,1
ring,2019-02-19,34.986108696908026,341
campus,2019-02-20,23.16196403503418,2
ring,2019-02-20,24.01145164865192,433
campus,2019-02-21,,0
ring,2019-02-21,,0
campus,2019-02-22,23.69570626537211,8
ring,2019-02-22,8.001301337552254,1176
campus,2019-02-23,,0
ring,2019-02-23,9.059912387075322,145
campus,2019-02-24,16.079502745272695,13
ring,2019-02-24,6.99960007542558,1227
campus,2019-02-25,6.345491521822737,7
ring,2019-02-25,4.639687985966931,577
campus,2019-02-26,17.876700541996723,13
ring,2019-02-26,9.393812664293252,1148
campus,2019-02-27,21.33856585222502,13
ring,2019-02-27,6.365283415568794,1601
campus,2019-02-28,25.102565330876768,13
ring,2019-02-28,5.898461385145886,1529
campus,2019-03-01,15.57346529780063,9
ring,2019-03-01,9.268154855518256,1024
campus,2019-03-02,15.814426269783047,13
ring,2019-03-02,7.593770073727343,1596
campus,2019-03-03,22.645488788743226,13
ring,2019-03-03,8.705539412253653,1599
campus,2019-03-04,24.863827696255726,13
ring,2019-03-04,7.583621826482875,1587
campus,2019-03-05,25.074845514517808,13
ring,2019-03-05,6.01297396085052,1554
campus,2019-03-06,34.34653957475695,4
ring,2019-03-06,7.719963707952859,1003
campus,2019-03-07,,0
ring,2019-03-07,11.838200477037926,269
campus,2019-03-08,,0
ring,2019-03-08,,0
campus,2019-03-09,20.392502672680138,13
ring,2019-03-09,6.359247101012005,1600
campus,2019-03-10,25.341869641609314,13
ring,2019-03-10,6.536326052470123,1606
campus,2019-03-11,22.337798468114517,13
ring,2019-03-11,5.864776822067706,1492
campus,2019-03-12,23.437058192432517,13
ring,2019-03-12,5.973055133744763,1591
campus,2019-03-13,32.74090644833278,13
ring,2019-03-13,7.133952280173858,1598
campus,2019-03-14,45.05758290432468,13
ring,2019-03-14,10.324547979141252,1606
campus,2019-03-15,18.27068944311842,10
ring,2019-03-15,6.643606683929608,1439
campus,2019-03-16,43.597055682014016,4
ring,2019-03-16,6.145732195514108,1211
campus,2019-03-17,,0
ring,2019-03-17,,0
campus,2019-03-18,24.616984886263037,12
ring,2019-03-18,8.202250400922965,1207
campus,2019-03-19,41.01091998418172,2
ring,2019-03-19,11.094069404675572,956
campus,2019-03-20,37.43893208374848,12
ring,2019-03-20,5.573094531167813,1421
campus,2019-03-21,20.834115163122792,10
ring,2019-03-21,5.1094312880914945,1402
campus,2019-03-22,26.5821330392102,10
ring,2019-03-22,5.4028948577388425,1388
campus,2019-03-23,27.74835776673824,10
ring,2019-03-23,6.432435630927135,1280
campus,2019-03-24,33.7887371453515,13
ring,2019-03-24,11.078901175610655,946
campus,2019-03-25,28.02271210698798,13
ring,2019-03-25,12.098112975652105,815
campus,2019-03-26,23.32492868328913,12
ring,2019-03-26,6.007669807100645,1453
campus,2019-03-27,,0
ring,2019-03-27,1.9454443859542838,60
campus,2019-03-28,,0
ring,2019-03-28,3.4372329265708603,11
campus,2019-03-29,32.92848462478534,12
ring,2019-03-29,7.979944278984957,1505
campus,2019-03-30,25.217551541721864,13
ring,2019-03-30,9.112813527358162,1575
campus,2019-03-31,23.744166419529677,13
ring,2019-03-31,6.59979430778505,1604
campus,2019-04-01,22.77532020779726,13
ring,2019-04-01,5.413410718198509,1585
campus,2019-04-02,16.63305673725028,10
ring,2019-04-02,5.791262247971876,1468
campus,2019-04-03,23.21778599200862,13
ring,2019-04-03,9.400444989771268,1545
campus,2019-04-04,38.07373528842485,13
ring,2019-04-04,9.27916223705344,1597
campus,2019-04-05,,0
ring,2019-04-05,,0
campus,2019-04-06,25.16541326541712,13
ring,2019-04-06,5.67792411147523,1538
campus,2019-04-07,23.221904187942098,13
ring,2019-04-07,6.189823517071293,1580
campus,2019-04-08,,0
ring,2019-04-08,,0
campus,2019-04-09,14.965143092945459,13
ring,2019-04-09,5.079974617971699,1593
campus,2019-04-10,18.171925428440865,13
ring,2019-04-10,7.076524897389624,1606
campus,2019-04-11,,0
ring,2019-04-11,,0
campus,2019-04-12,,0
ring,2019-04-12,1.5967717227525688,382
campus,2019-04-13,25.894892170674805,11
