rank,lat,lon,area_ha,early_db,late_db,rise_db
1,27.90175,116.40779,131.2,-10.1,-0.9,8.6
2,27.89031,116.4185,37.7,-10.0,0.5,10.1
3,27.92627,116.42478,16.5,-13.5,-3.4,9.5
4,27.89839,116.39364,14.2,-10.4,0.2,9.8
5,27.87942,116.39884,13.6,-9.6,-1.0,7.8
6,27.90052,116.42613,13.1,-11.2,0.1,10.4
7,27.8924,116.41105,12.3,-8.0,-0.7,6.8
8,27.90017,116.42034,12.1,-8.7,1.1,9.3
9,27.89734,116.43086,11.5,-11.2,-1.3,9.3
10,27.90172,116.43736,11.2,-14.5,0.5,14.4
11,27.90864,116.41159,9.3,-10.0,-2.3,7.3
12,27.89121,116.3995,8.3,-9.2,-0.5,7.3
13,27.91315,116.42325,7.5,-12.0,-1.1,10.5
14,27.89024,116.40366,7.3,-9.7,-1.3,7.7
15,27.91083,116.40468,5.1,-2.9,3.9,6.1
16,27.91261,116.41341,4.9,-9.8,-2.2,6.8
17,27.92416,116.36676,4.2,-9.7,-1.2,8.0
18,27.88344,116.39706,4.2,-8.8,-1.6,6.4
19,27.8791,116.41437,3.8,-11.0,-4.6,5.9
20,27.9077,116.39628,3.3,-10.4,-3.2,6.6
21,27.90724,116.42235,2.8,-11.4,-2.7,7.7
22,27.91769,116.3718,2.7,-8.1,-2.0,5.8
23,27.89118,116.4074,2.5,-6.2,2.9,8.1
24,27.89353,116.40026,2.5,-10.0,-0.6,7.8
25,27.92143,116.42409,2.4,-9.7,-1.9,7.0
26,27.92266,116.39406,2.4,-13.5,-1.9,10.7
27,27.91568,116.40856,2.1,-7.8,0.7,7.6
28,27.92262,116.37892,2.1,-10.9,-3.4,6.2
29,27.88072,116.41187,1.9,-7.2,1.1,7.1
30,27.89604,116.40205,1.9,-17.0,-4.6,11.5
31,27.91037,116.39195,1.9,-10.1,-2.2,6.9
32,27.91215,116.41952,1.8,-3.9,3.6,6.7
33,27.90825,116.39181,1.7,-11.9,-2.3,8.2
34,27.91904,116.40887,1.7,-10.1,-1.3,7.6
35,27.90781,116.39443,1.6,-9.9,-3.0,6.2
36,27.88311,116.41895,1.6,-10.7,-0.9,7.8
37,27.89298,116.41482,1.6,-4.4,1.7,5.5
38,27.90653,116.42007,1.6,-9.6,-0.2,8.0
39,27.91575,116.39258,1.5,-8.5,0.8,8.1
40,27.91764,116.39267,1.5,-9.6,-0.9,7.7
41,27.88954,116.39824,1.4,-14.0,-5.0,8.1
42,27.88937,116.40837,1.4,-9.4,-1.9,6.1
43,27.92283,116.39959,1.4,-6.8,1.2,6.9
44,27.88944,116.40645,1.4,-8.6,0.1,7.5
45,27.88938,116.41424,1.3,-7.0,-0.4,5.8
46,27.88166,116.41583,1.2,-8.8,-2.9,5.3
47,27.89395,116.40397,1.2,-10.3,0.5,9.4
48,27.88508,116.40248,1.2,-4.3,3.0,6.5
49,27.88731,116.39766,1.2,-5.6,0.5,5.5
50,27.88841,116.40307,1.2,-7.7,0.5,6.2
51,27.91369,116.40001,1.2,-7.9,0.1,6.3
52,27.92039,116.36939,1.2,-7.8,-2.2,5.0
53,27.88369,116.40008,1.1,-6.5,0.5,5.4
54,27.91218,116.40131,1.1,-7.9,-1.5,5.4
55,27.92853,116.37445,1.1,-6.8,-0.6,5.5
56,27.91365,116.41666,1.0,-10.7,-4.7,5.2
57,27.91551,116.41087,1.0,-8.9,0.1,7.2
58,27.91123,116.40809,1.0,-10.8,-1.9,7.2
