blob,lat,lon,lit_early,lit_late,lit_diff,lit_px,largest_ha,n_big,cand_lat,cand_lon
7,41.4996,103.1222,2.7,76.4,73.7,25,218.4,4,41.49981,103.12331
11,38.2237,106.5338,12.6,122.9,110.3,12,199.8,13,38.22362,106.53778
1,30.0238,121.6688,13.6,124.1,110.6,29,169.2,6,30.01883,121.66757
4,34.539,119.5488,11.4,117.2,105.8,18,152.4,10,34.53948,119.54945
15,40.6243,109.6547,5.7,63.0,57.3,22,149.9,24,40.60146,109.64652
28,28.7564,104.8459,5.2,40.9,35.7,29,143.3,5,28.75348,104.84851
19,27.8934,116.4025,6.7,46.4,39.7,30,131.2,15,27.90175,116.40779
5,40.9666,121.5285,0.7,81.9,81.1,23,125.1,3,40.96557,121.531
37,39.4195,121.2957,0.5,52.4,51.8,17,121.9,4,39.41949,121.29634
38,39.1444,118.4172,13.7,75.1,61.4,14,119.2,16,39.14719,118.41935
13,24.0583,117.8821,14.5,90.3,75.8,17,89.4,4,24.06336,117.88504
20,37.2862,118.7307,6.1,62.6,56.5,21,87.8,1,37.28378,118.73174
27,31.4699,118.2932,7.1,76.8,69.6,16,85.2,10,31.49158,118.30717
24,29.7359,106.7769,6.4,52.5,46.1,25,84.6,10,29.73326,106.7784
22,34.9592,117.2404,6.6,56.0,49.4,24,81.8,5,34.95785,117.24027
9,27.2424,107.4312,0.4,66.0,65.7,25,77.1,2,27.24214,107.42993
8,34.2166,109.0564,13.6,96.7,83.1,20,76.8,20,34.21093,109.05838
3,35.749,115.3459,13.9,94.2,80.3,24,72.4,8,35.74855,115.35088
30,31.485,121.3889,12.4,69.9,57.4,17,64.0,10,31.48134,121.38255
25,36.974,122.5263,8.4,54.1,45.7,25,54.8,2,36.97497,122.52918
10,27.0349,120.2891,6.7,113.8,107.1,15,38.7,3,27.03544,120.28865
36,30.9953,112.2879,2.8,49.3,46.5,19,38.6,8,30.99699,112.29058
18,29.5152,113.2517,9.0,72.2,63.2,19,38.0,7,29.51479,113.24436
12,36.7534,109.3967,0.9,101.9,100.9,13,36.4,2,36.74594,109.37482
16,39.0042,116.1381,12.0,62.4,50.3,25,30.1,10,39.00433,116.12672
31,32.4272,121.3616,2.3,56.5,54.2,18,29.5,5,32.42008,121.34793
34,37.7071,112.5693,13.0,55.7,42.8,21,23.0,14,37.69739,112.58342
32,28.8702,105.5889,4.6,73.6,69.0,14,18.1,2,28.86193,105.57831
33,30.5166,114.6289,6.6,39.7,33.0,28,17.9,5,30.52983,114.65103
29,40.6597,109.9783,8.1,43.7,35.6,28,14.0,6,40.68523,109.97587
17,34.4913,119.4554,0.8,45.5,44.6,28,9.6,6,34.48867,119.4587
40,39.6359,106.7865,7.8,48.3,40.5,21,8.8,2,39.60594,106.79595
2,30.3299,115.0345,5.3,86.3,80.9,26,8.7,1,30.34759,115.06615
21,24.5738,118.2041,13.0,53.9,40.9,29,8.1,4,24.56916,118.20423
23,40.4464,118.5539,6.8,58.3,51.5,23,6.7,2,40.46735,118.56862
39,34.3459,107.3588,9.7,44.1,34.4,25,4.8,0,34.35765,107.36543
14,27.7131,102.8025,14.3,74.6,60.2,21,4.7,0,27.7024,102.81395
26,40.0944,111.2669,8.1,88.8,80.7,14,4.4,0,40.08607,111.27256
35,37.7491,119.5328,0.4,74.7,74.4,12,3.4,0,37.74804,119.53128
6,36.481,110.1555,0.3,124.0,123.7,15,0.0,0,,
