ym,VV:block_a,VV:block_b,VV:block_c,VV:block_d,VH:block_a,VH:block_b,VH:block_c,VH:block_d
2018-01,-11.289274223456902,-15.400425274444816,-12.615449125004316,-14.996902459696663,-19.937889098121538,-24.495876312828038,-20.87542061711513,-24.03907809497279
2018-02,-10.860889508261959,-15.179442592766856,-12.424627447823633,-15.288266533864764,-18.64153006795748,-24.38320718118505,-20.74317379500569,-23.20350719223431
2018-03,-10.081882906394725,-14.881054002692679,-12.205009133545026,-14.256169833445849,-17.752596089771174,-24.35963277715043,-20.931330015338304,-22.747908115621428
2018-04,-9.599447463916487,-14.136797876480136,-11.517246043140652,-13.366411768495642,-17.81628473717341,-24.459066292721225,-20.792151383549992,-21.883407697871647
2018-05,-10.477123312686176,-14.126279201331094,-11.457145623963136,-12.790668879877982,-17.784456498605923,-23.566815945387894,-20.31421653177648,-21.15914396505851
2018-06,-10.091383821575334,-13.616275022641263,-10.84280335027327,-12.002370975297719,-17.702176613541194,-21.737836316558802,-18.7592314397068,-20.880594001360947
2018-07,-8.725274156483309,-11.274705733066252,-9.429618250384816,-10.492733863550505,-16.48290022761914,-18.225441176969685,-16.958077967907204,-18.892928899674484
2018-08,-9.815408324236435,-12.208285441850013,-10.148735021858226,-11.551846258067885,-17.282948161685816,-19.207740768575874,-17.536673594757346,-19.479705092678277
2018-09,-9.476225016577036,-12.052917470478693,-9.767346303209225,-11.079446010141897,-16.63733050099865,-19.40454008780887,-17.426703650095234,-19.474538653265448
2018-10,-10.324540321419583,-14.344907298724106,-11.706300677789189,-12.82976008562683,-17.994059292183987,-23.499989021509247,-20.501180645434378,-21.50871483522947
2018-11,-11.105968840734977,-15.370760050318133,-12.235447228630928,-13.858244417954978,-19.055095555948583,-26.110588254857007,-21.85498964302577,-23.760201828211976
2018-12,-10.819725080219925,-15.56688416209225,-12.146480312249038,-14.786242874507384,-19.560889697967912,-26.96695455667476,-21.990708024987374,-24.99060991605143
2019-01,-10.85798078069234,-15.47116142865986,-12.279424707860208,-14.767912042839667,-19.63189944918375,-26.72746266621059,-22.184145998044755,-25.17513974226359
2019-02,-10.477460111227012,-15.245474527855752,-12.1022567084904,-14.15695965695385,-18.832726422234,-26.020527264447388,-22.150635875923246,-24.648667802494437
2019-03,-10.475775964258535,-14.023715180493047,-11.19690132059568,-12.93500481016292,-18.381776570178438,-24.61080198747433,-20.943756871694017,-22.980356472855348
2019-04,-10.262065988612962,-14.8252662920594,-11.722971487221782,-13.157738965998622,-18.092966258772336,-25.28507891870348,-21.398346213042142,-22.235386674158168
2019-05,-10.096431275328602,-12.770461853364505,-10.928670648747357,-12.37369047521727,-18.278861102241613,-23.214967270457805,-20.385165573288262,-21.56956337792478
2019-06,-10.164910445579753,-10.989199714241495,-9.870600922978843,-12.344658542579358,-17.458993398008634,-21.44367484481209,-19.046514129895442,-21.08313712470307
2019-07,-9.679459628269145,-9.595255318026627,-7.493909008232497,-11.091951964529343,-17.598124716309677,-18.10778477055808,-15.964730447404582,-19.441392913300504
2019-08,-9.541256837077286,-9.187260127052888,-7.587553651186394,-11.28531490328125,-16.89759297045065,-17.655898386196384,-15.920415696770508,-19.3437464422804
2019-09,-9.67007496836483,-9.34463374892869,-7.8447085059615524,-11.417265872471331,-17.306656414710222,-18.350885178209385,-15.925163133695637,-19.82169428954202
2019-10,-10.479965345898037,-10.3201143296753,-8.654566976985917,-12.521041013904437,-18.192023263212356,-19.718258978018454,-17.22565255194728,-21.271927406675495
