ym,VV:structure,VH:structure
2018-01,-14.480255314600605,-23.80463743684351
2018-02,-14.322741408035416,-23.362021570701312
2018-03,-13.911116903133994,-22.544730458026425
2018-04,-12.677256563763471,-21.238282001044222
2018-05,-13.077116466569096,-21.342793471328356
2018-06,-12.466902117637444,-19.97461414259436
2018-07,-10.48011083389395,-17.3287706646109
2018-08,-11.562622127623133,-17.819339586190555
2018-09,-11.235067636993367,-18.37204779112244
2018-10,-12.875420617394736,-21.08946391410507
2018-11,-13.544424734237694,-22.906972489168353
2018-12,-13.867171599712396,-23.274277037114597
2019-01,-14.0927833269379,-23.508496191569932
2019-02,-13.6015008181041,-23.027335920957523
2019-03,-12.738215425887391,-21.745780373835498
2019-04,-12.769503883627388,-21.614451069866934
2019-05,-12.44804268825883,-20.784129203317782
2019-06,-11.575657381348313,-19.769060248943862
2019-07,-10.193481291309906,-17.112900896007677
2019-08,-9.847117568020687,-16.70808541283608
2019-09,-9.894015153457511,-17.39474140672248
2019-10,-10.93950909133778,-19.18380703900052
2019-11,-10.04473066469058,-19.438015766800113
2019-12,-12.211495419861055,-22.493836981220092
2020-01,-12.080341506734534,-21.616759587226532
2020-02,-11.687686830966332,-20.17551044614048
2020-03,-11.896058420613354,-20.765233034352143
2020-04,-11.837624201222225,-20.347365971417055
2020-05,-11.786738982244628,-19.615461390866713
2020-07,-8.566213515063962,-16.037622020152554
2020-08,-9.24247476801107,-16.096085560526916
2020-09,-9.7990488253717,-16.812312661804064
2020-10,-12.286958128503969,-19.60853541061279
2020-11,-13.02369104095216,-21.409715294986977
2020-12,-13.974314132206068,-22.925020694554995
2021-01,-13.994141458856127,-22.666626119729635
2021-02,-13.812875628093725,-22.63426261495671
2021-03,-12.078516512743104,-20.714153611832305
2021-04,-12.78830215121539,-20.678069402243185
2021-05,-12.274054935391138,-19.946840565243537
2021-08,-11.844852733116417,-18.20819882975118
2021-09,-11.603230428903194,-18.26855264945808
2021-10,-12.664605699707652,-21.106695686604674
2021-11,-12.442053179789252,-21.262643667612657
2021-12,-13.239007897727271,-22.290698284273113
2022-01,-13.310696625990577,-22.11378183034872
2022-02,-13.44920226363008,-22.211024256417662
2022-03,-12.25106901841658,-20.855264422573132
2022-04,-12.77898562839641,-20.614529200834948
2022-05,-12.334353439122632,-20.288135654113407
2022-06,-10.377058425202858,-18.347502874156305
2022-07,-11.183488395426842,-19.59470456981498
2022-08,-10.210756792498904,-18.17578600951837
2022-09,-10.922363582151894,-18.594118602195813
2022-10,-12.056476113871168,-19.983020646649376
2022-11,-10.39904657939871,-19.61205438083099
2022-12,-12.924327104729178,-22.317660109872133
2023-01,-12.825082906674377,-21.713176737318463
2023-02,-12.465768063147198,-21.299140790691673
2023-03,-11.573237986438128,-20.384975346471556
2023-04,-11.359530335390122,-19.529242567845007
2023-06,-11.421404937163924,-19.21537214397215
2023-08,-10.416233785142143,-18.07006129337283
2023-09,-9.71565431882091,-17.30148571826504
2023-10,-11.441901855590777,-20.25040599100536
2023-11,-11.700114462569507,-21.771907092571055
2023-12,-12.837474377834376,-23.365475576753187
2024-01,-11.632893751801312,-22.51116191457116
2024-02,-11.73417372820488,-22.122350012715646
2024-03,-11.566494629089712,-21.295568565105025
2024-04,-11.476936150407056,-20.258475602812716
2024-05,-11.148789947619054,-20.55264523685688
2024-06,-10.720700636160728,-19.469650364092654
2024-07,-9.415531060443676,-17.520081386103435
2024-08,-9.427373358567504,-17.348888277896837
2024-09,-9.415407030872814,-17.126831843073067
2024-10,-9.644113883095503,-17.982084047546948
2024-11,-9.567138022844468,-17.86643340189666
2024-12,-10.505339419113112,-20.92554970528353
2025-01,-11.415573429539611,-21.791375415223488
2025-02,-11.455715939574354,-21.799693537764288
2025-03,-10.66704011074292,-20.31937112959637
2025-04,-10.68761777392871,-20.348448783061656
2025-08,-5.504866853457346,-15.093389824981742
2025-09,-4.839204946741214,-14.410946862315818
2025-10,-3.5441324319695457,-12.906160473282595
2025-11,-3.725641269596057,-13.598628299722014
2025-12,-3.9540888340793754,-14.256197152998082
2026-01,-4.676997687555937,-14.513634270883072
2026-02,-4.532797130751355,-14.247805104453256
2026-03,-3.6919326680959985,-13.227137646428098
2026-04,-2.8043714766198167,-12.45617553100528
2026-05,-2.175223272386144,-11.851212327353563
2026-06,-1.961026153150506,-11.44975668997153
2026-07,-1.9461244106276476,-11.627642472258875
2026-08,-2.136835743669917,-12.187535386946047
2026-09,-2.930738455290293,-12.526126994107749
