ym,VV:structure,VH:structure
2018-01,-11.554642160256597,-20.068708708636528
2018-02,-10.912050897614735,-18.939634006235973
2018-03,-10.993400818796944,-19.277009672493985
2018-04,-10.84136437797588,-19.11878779133461
2018-05,-10.220213710724911,-17.634985788736643
2018-06,-10.219590523445978,-17.266943935721795
2018-07,-7.605207319873376,-14.607221884566046
2018-08,-8.971840198168723,-16.250739646392645
2018-09,-9.626814419989511,-17.277754428351507
2018-10,-10.426988808208009,-17.920232040769065
2018-11,-11.127511491347594,-18.95057438742491
2018-12,-12.308824505488712,-21.162705335121423
2019-01,-12.616648557312606,-21.14456579226974
2019-02,-12.113446079875398,-20.685620655948835
2019-03,-12.123964769977968,-20.22209263348901
2019-04,-10.6609067826379,-19.182205614485056
2019-05,-10.663126379685917,-18.16853925868583
2019-06,-8.660453676080442,-15.854290255967316
2019-07,-8.31952243584474,-16.186199282511478
2019-08,-7.981180509023115,-15.763720585902616
2019-09,-9.39329776828734,-16.70342749621094
2019-10,-8.79529318775786,-16.41262351386544
2019-11,-9.418858115086696,-17.198397527790103
2019-12,-11.269517105891088,-19.609545159161087
2020-01,-11.70746945025314,-19.916448341452178
2020-02,-11.356824900078418,-19.657931921036077
2020-03,-11.433597037469228,-19.46615517807212
2020-04,-11.120755715821394,-19.287402764707547
2020-05,-10.717695243488045,-18.53815594570751
2020-06,-8.371547116480048,-16.284207337774234
2020-07,-7.568193616645241,-15.216231616707455
2020-08,-7.962426319262866,-15.523835693789094
2020-09,-8.185722594346325,-15.933379070541257
2020-10,-8.553637338664997,-16.670537653713172
2020-11,-10.037392730370271,-18.590473541790033
2020-12,-11.033615490689968,-20.101256259795445
2021-01,-11.783367919150988,-20.411207929137024
2021-02,-10.665917258065196,-19.180646915162924
2021-03,-10.156464339934386,-18.699534123554972
2021-04,-8.385132821650647,-16.88510461971564
2021-05,-9.109932313400725,-17.66286986974389
2021-07,-8.226806083770951,-15.193773856245326
2021-08,-8.991813992069837,-16.257502430412746
2021-09,-8.282872813538916,-15.783179193692396
2021-10,-8.554320889649048,-16.17631799219911
2021-11,-9.97488056145996,-18.122883093669454
2021-12,-11.289716582550875,-19.606702786199005
2022-01,-11.984673127293194,-20.440142085982448
2022-02,-10.719015316668813,-20.454968101055098
2022-03,-10.758959991906352,-18.834625677254195
2022-04,-11.202563669093898,-19.066976146377172
2022-05,-10.704578313130886,-19.08639124880921
2022-07,-9.14823284191439,-16.470773423378603
2022-08,-9.679828637574476,-16.58171717627915
2022-11,-9.63102824332676,-18.154498880944853
2022-12,-11.805319345590195,-20.58312526496554
2023-01,-11.839702718179314,-20.270356370822153
2023-02,-11.10919823197001,-19.99543221297364
2023-03,-11.494488056860508,-19.6731919154744
2023-04,-11.076947701156673,-19.77388738265694
2023-05,-8.695500439547041,-18.997973456252616
2023-06,-11.74429787216192,-20.93397649068762
2023-09,-11.936189436797507,-19.243491698183327
2023-10,-10.935659325534283,-19.185772325117995
2023-12,-12.84060338004123,-23.810399711860555
2024-01,-16.084927160351697,-27.4740946120037
2024-02,-14.11660118403511,-26.30731095150007
2024-03,-12.607980055248785,-25.234377279585733
2024-05,-14.56952558440062,-25.513164895060168
2024-06,-12.65720039327486,-23.117936890747025
2024-07,-9.852178211791069,-19.522059986004077
2024-08,-9.13787718354353,-18.583834884774287
2024-09,-9.612500227860972,-19.419396788216087
2024-10,-10.083765977314451,-20.954087523823357
2024-11,-6.26919322377579,-19.446349025644917
2024-12,-7.799072578895288,-21.069519374183745
2025-01,-8.550923664635999,-21.61412989262069
2025-02,-6.739517970625942,-20.985386062151303
2025-03,-6.348303253344255,-19.43514590725438
2025-04,-6.10691867583936,-18.48967281366244
2025-05,-6.356342695840169,-18.0578735876166
2025-06,-5.8948594659499705,-17.54822193477952
2025-07,-4.240922385104776,-18.108318276169715
2025-08,-3.974099810937768,-18.7107926321176
2025-09,-2.3409903166977406,-16.86444582826601
2025-10,-1.7280049132819273,-16.246498584267307
2025-11,-2.674838538749394,-19.29928961540105
2025-12,-3.1529394626112763,-20.033464107876355
2026-01,-1.946381580012652,-18.455755336433995
2026-02,-2.6553476500428386,-19.326052336293714
2026-03,-2.1576223503007066,-18.679683308068597
2026-04,-2.3195782861454006,-19.505141120818887
2026-05,-1.1034188189101517,-17.156166608863433
2026-06,-1.1629146708335365,-17.088086572183016
2026-07,-1.0491873019090352,-16.34723342972542
2026-08,-0.3077208172655537,-14.886057836003644
2026-09,-0.4072040777624638,-14.523200402497473
