ym,VV:structure,VH:structure
2018-01,-18.495231632805925,-28.01757001347461
2018-02,-18.62633595050731,-27.160149546796273
2018-03,-17.89873700530941,-26.407601538817396
2018-04,-17.297912885129012,-27.408375161901105
2018-05,-17.04008436309493,-25.397861251448493
2018-06,-16.69224085632897,-24.405401388713845
2018-07,-11.501775948747406,-19.19646997213683
2018-08,-12.708841548901162,-19.603234219289934
2018-09,-13.93028809319006,-22.214678877432256
2018-10,-16.90139436036279,-26.36804938479111
2018-11,-12.487804016512356,-25.74890697184001
2018-12,-18.259006425683353,-29.95842523874977
2019-01,-18.71012998513129,-30.175020000228557
2019-02,-17.746450948979646,-29.244701406338606
2019-03,-17.103246364395876,-26.37418021395911
2019-04,-15.903467671652924,-25.06642116451564
2019-05,-16.54942910860968,-24.38150836080153
2019-06,-16.069794355719964,-23.577869022450976
2019-07,-15.189897939927675,-23.174383084478617
2019-08,-15.313352986579526,-23.769730971924712
2019-09,-12.705966208518346,-20.117224815652776
2019-10,-16.81443144341458,-25.516147140536653
2019-11,-16.792552954186178,-26.26745413784615
2019-12,-18.399827311484305,-30.278395450773512
2020-01,-16.026747104521345,-27.830411600025563
2020-02,-17.997106447959816,-26.480170040288392
2020-03,-17.26485061319803,-25.463341175264013
2020-04,-16.918724464948742,-24.85206343255533
2020-05,-16.049987702145145,-23.36419061913503
2020-06,-15.940690969776176,-22.857463084959033
2020-07,-13.848705443267017,-21.280236047554872
2020-08,-12.264818312354317,-18.952556496097593
2020-09,-14.976245760278395,-22.237628318539738
2020-10,-15.864522313659991,-23.76353933450841
2020-11,-16.609278713234698,-24.704927654939343
2020-12,-16.877542490576793,-26.282376386740232
2021-01,-17.95988310880665,-26.726724366563744
2021-02,-17.523147256842204,-25.0017589165046
2021-03,-17.051106056632317,-24.887465095375447
2021-04,-16.75560633512461,-24.428324281058735
2021-05,-15.107927383322105,-22.233291619483733
2021-06,-15.007571674520984,-22.232748733464824
2021-07,-13.92153983914014,-21.044435167417195
2021-08,-12.79745272715573,-20.007754168900775
2021-09,-14.572021801154795,-21.994359230680544
2021-10,-16.884674108270552,-24.543986586008135
2021-11,-15.383149665200625,-23.802106793913012
2021-12,-17.46851021568154,-26.076581485554293
2022-01,-17.596367918164628,-26.246242428331648
2022-02,-17.41933372091399,-26.34477096464281
2022-03,-14.197662066805762,-23.140770360221993
2022-04,-16.463353464236103,-24.341880697937203
2022-05,-15.542708781438249,-22.77400597560348
2022-06,-15.154764952848122,-21.720529148144543
2022-07,-11.769247630077912,-21.029632315019967
2022-08,-15.216586822985535,-22.57733028874886
2022-09,-15.683301703298987,-23.09414809069459
2022-10,-16.6504558055528,-23.442779792065213
2022-11,-16.540522703002832,-24.641295046941565
2022-12,-17.79842224125506,-26.605710204570364
2023-01,-17.72876259982755,-26.10018812260206
2023-02,-17.212134253141492,-24.652372765680788
2023-03,-14.715547917461835,-25.30655967744635
2023-04,-14.675386504670591,-25.377848458208227
2023-05,-14.511680891820069,-23.733878449780494
2023-06,-11.734790328072512,-20.05196815028615
2023-07,-11.355614433631036,-20.265896820738384
2023-08,-10.376650579664805,-18.623913867488945
2023-09,-3.772992145984315,-10.53132203755446
2023-10,-3.4900899216438663,-7.515076498111673
2023-11,-3.2965095960180015,-6.932411879207568
2023-12,-5.510111575728033,-8.733217462729074
2024-01,-5.757763699454035,-8.854560299303705
2024-02,-5.6209947014725685,-9.06704544185104
2024-03,-6.039728944623232,-10.40091291235956
2024-04,-7.4767565351386835,-12.877269462369176
2024-05,-6.4998115457063905,-12.915824379893383
2024-06,-6.312504539681985,-12.618563264340354
2024-07,-6.283761414518498,-13.199616795682411
2024-08,-3.8914550136239208,-11.593571963915888
2024-09,-2.621928260712734,-10.50387551397383
2024-10,-2.098200703599604,-11.058958511199911
2024-11,-2.425138977605408,-10.897176450431578
2024-12,-4.427793010124697,-12.023481180466415
2025-01,-2.981634063749928,-10.805157797708116
2025-02,-3.8318458365134553,-11.083977047299658
2025-03,-1.6969858743682615,-10.472744795612638
2025-04,-2.403561488650809,-10.709166332457416
2025-05,-2.369289952082393,-10.570041540532245
2025-06,-3.1210290852832516,-10.92628557446942
2025-07,-2.747209073393596,-10.674709420549627
2025-08,-0.7306797048586805,-9.546462528628595
2025-09,-1.9648955194153348,-10.808415910999589
2025-10,0.3465681424025373,-8.897847695888217
2025-11,-3.1373912932280033,-11.078121874598288
2025-12,-4.141535694275986,-11.94934884167666
2026-01,-4.157876046395414,-12.064750152820023
2026-02,-3.621588606111517,-11.5276221057363
2026-03,-3.164017309722329,-11.09755860824896
2026-04,-3.857954814976849,-11.411738323373427
2026-05,-2.8063652594327957,-10.890565933901511
2026-08,-1.586794720354374,-10.290712117535598
2026-09,-3.2217621573487536,-11.277858238757982
