ym,VV:structure,VH:structure
2018-01,-15.909328154243404,-29.163215124097015
2018-02,-15.788431851012916,-28.628265714426576
2018-03,-15.39944303572172,-30.117849135006388
2018-04,-11.58444074946204,-26.99947309828747
2018-05,-13.13602936621438,-24.35788589521876
2018-06,-12.866604790586033,-24.14420129655644
2018-07,-12.389883502284036,-20.60477319054628
2018-08,-11.1176366209549,-17.198279562952777
2018-09,-11.991023288163015,-20.33358165463357
2018-10,-12.283825831427553,-25.05989065045544
2018-11,-14.957660106121764,-34.92356071237732
2018-12,-15.210068034628376,-32.83398441298628
2019-01,-15.274311540037775,-37.63544072362322
2019-02,-15.06505408963794,-30.77505750653335
2019-03,-15.169312446314162,-36.15447887967905
2019-04,-14.916210017008495,-26.98243646476114
2019-05,-12.732939875528931,-30.69126503905582
2019-06,-11.377903556789516,-24.03501006422109
2019-07,-12.67008393232196,-20.651560086821934
2019-08,-13.151322772399247,-20.06738010986398
2019-09,-12.13651357271861,-20.830202252217916
2019-10,-13.736659965842833,-28.582113310384106
2019-11,-14.857427209584085,-30.483189916599255
2019-12,-14.824090815929484,-35.634499709529216
2020-01,-14.444416844244902,-26.86592036825124
2020-02,-14.83333894957868,-26.42269022846
2020-03,-13.752145631505234,-25.78126463497064
2020-04,-14.544326660993487,-23.558420655275256
2020-05,-13.086723579391496,-23.70981684467526
2020-06,-12.480949944757882,-23.32100376024732
2020-07,-10.644445333421713,-18.241782386337075
2020-08,-10.30959800271383,-17.55369445839192
2020-09,-10.030067175130736,-18.044522279911945
2020-10,-13.58478393269828,-24.975195178086626
2020-11,-13.686118702650251,-24.938947792652492
2020-12,-14.811884195966694,-25.754815849176733
2021-01,-14.253109008263747,-25.615343168458715
2021-02,-14.796300239638592,-26.10152381776417
2021-03,-10.520700857281357,-23.32795117287213
2021-04,-14.62491574661562,-25.456132009784504
2021-05,-13.32016030004321,-23.835538910483415
2021-06,-12.10135205401565,-21.17749512132331
2021-07,-13.082986125301424,-21.01206018774581
2021-08,-10.541703652866598,-17.640205649532902
2021-09,-9.623374877416222,-17.66396296643524
2021-10,-13.008101203439852,-22.992773153554904
2021-11,-14.055183187972332,-25.23685723034865
2021-12,-14.26610664369558,-25.878532097546355
2022-01,-15.24192561287134,-26.450756095138257
2022-02,-14.749362702508538,-26.383869654984544
2022-03,-14.686577886545368,-25.751005136724537
2022-04,-14.956854344879236,-25.68833575725254
2022-05,-13.097481568961738,-23.594328560587726
2022-06,-10.593626414831547,-21.758054156991896
2022-07,-12.55997922381214,-20.237858067975672
2022-08,-11.813094093810257,-18.778051185523328
2022-09,-10.01950653571971,-18.218693618728707
2022-10,-14.491105201674484,-25.485353474413344
2022-11,-14.998588379735985,-26.02050800096015
2022-12,-15.65846283548986,-26.27779302945465
2023-01,-15.662093826870038,-26.691649347222057
2023-02,-15.653303711542987,-26.304427931666147
2023-03,-15.767792837250434,-26.029917846211273
2023-04,-12.61152488745424,-24.737687217247412
2023-05,-13.663001853350822,-24.562949057044744
2023-06,-13.472832679706098,-23.864736756773784
2023-07,-9.974917782019446,-16.67376180227088
2023-08,-13.086313385470223,-20.795505446353385
2023-09,-14.333855995654186,-26.56016756666117
2023-10,-9.904939977523828,-17.215357312293147
2023-11,-8.374657904684295,-15.193089483941442
2023-12,-8.936046212125321,-15.60970446864339
2024-01,-8.785299824232219,-15.951182495329563
2024-02,-8.31221124034514,-15.690093028451928
2024-03,-7.946363754222951,-14.71209421565108
2024-04,-7.758790273111504,-13.88995161852431
2024-05,-7.5842496592738256,-13.74038153434003
2024-06,-5.525144663193348,-11.632137507801502
2024-07,-5.451694174650518,-11.82264634026278
2024-08,-5.353412475633477,-11.710058242546609
2024-09,-5.514588572994232,-12.47478566977396
2024-10,-4.07006558991419,-10.554330200620935
2024-11,-5.363290507705484,-12.015416547699616
2024-12,-7.544646376369265,-14.603001868738628
2025-01,-7.993225536044023,-13.980711809198295
2025-02,-7.594859616656981,-14.11781239187542
2025-03,-6.378415392461302,-12.846244432686888
2025-04,-5.525823735295725,-11.81579193038875
2025-05,-4.652745768459465,-10.660817175640943
2025-06,-3.6784042069177176,-10.238942981969302
2025-07,-2.7095437113994185,-10.475432643631995
2025-08,-2.572929071739546,-10.483781989121194
2025-09,-2.8942364478900084,-11.16467636354409
2025-10,-2.3637125630933213,-10.569537213175582
2025-11,-6.362544197162012,-12.918772565955573
2025-12,-7.555388093570049,-13.785937924876194
2026-01,-7.435058624218636,-13.517939368107156
2026-02,-7.338927074794929,-13.709874061114713
2026-03,-5.484826306838402,-11.686512956272542
2026-04,-3.883996687712602,-9.92020687667605
2026-05,-5.22081851558166,-11.197207364094051
2026-06,-4.9045973797134526,-11.482123377668586
2026-07,-4.351086653694548,-11.084464261475333
2026-08,-3.227814081517858,-11.006011814012474
2026-09,-4.206621204115237,-10.82517310021858
