rank,lat,lon,area_ha,early_db,late_db,rise_db
1,26.38168,106.45549,22.4,-9.9,-1.6,7.8
2,26.37865,106.47404,20.8,-9.7,-0.9,8.5
3,26.34726,106.46381,9.1,-9.6,-1.0,8.1
4,26.35596,106.47646,7.8,-7.2,1.5,7.9
5,26.35982,106.45639,5.4,-9.3,-0.9,7.8
6,26.39496,106.4677,5.0,-10.5,-3.5,6.4
7,26.39861,106.45877,3.0,-10.2,-3.6,5.7
8,26.36062,106.45942,2.8,-7.9,-1.4,6.2
9,26.39401,106.46177,2.2,-9.3,3.4,11.5
10,26.39122,106.45264,2.0,-10.3,-1.6,7.6
11,26.39306,106.47065,1.8,-9.6,-1.4,7.0
12,26.38955,106.46236,1.8,-10.4,-3.3,6.4
13,26.38575,106.46301,1.6,-9.4,-2.2,6.6
14,26.37954,106.46862,1.6,-10.5,-2.7,6.2
15,26.4378,106.47001,1.4,-8.1,-1.8,5.1
16,26.35375,106.4792,1.4,-10.2,0.4,9.1
17,26.36126,106.47875,1.4,-11.8,0.5,11.0
18,26.35935,106.47406,1.3,-8.6,0.7,8.4
19,26.4014,106.46277,1.3,-8.9,0.8,7.6
20,26.36816,106.45863,1.3,-11.1,-1.5,8.6
21,26.35758,106.46179,1.2,-0.8,5.9,5.8
22,26.38449,106.47267,1.2,-13.3,-3.9,7.8
23,26.4212,106.46928,1.2,-9.4,-2.6,6.1
24,26.39796,106.45491,1.1,-8.2,-1.9,5.4
25,26.36144,106.43849,1.0,-11.5,-2.2,8.1
