name,d,VV,VH
cn_guian_r01,2018-01-09,-11.550727064097815,-18.589998164994327
cn_guian_r01,2018-01-21,-10.999818677194513,-17.928705112091315
cn_guian_r01,2018-02-02,-11.58551193026979,-18.496211654903988
cn_guian_r01,2018-02-14,-11.826491787079306,-18.616809979770405
cn_guian_r01,2018-02-26,-12.034079214371449,-19.1564969758771
cn_guian_r01,2018-03-10,-12.067995634529094,-18.678772581067275
cn_guian_r01,2018-03-22,-11.699274900922962,-18.971818497443458
cn_guian_r01,2018-04-03,-10.173473841226953,-17.20358771139901
cn_guian_r01,2018-04-15,-11.450279452951982,-18.853856963956453
cn_guian_r01,2018-04-27,-10.390071382954126,-17.746332055605723
cn_guian_r01,2018-05-09,-9.126521544510489,-16.350048829328017
cn_guian_r01,2018-05-21,-10.039760535386186,-16.964297298669067
cn_guian_r01,2018-06-02,-8.309774117749756,-15.555852738758427
cn_guian_r01,2018-06-14,-9.633785774359652,-16.530645635793842
cn_guian_r01,2018-06-26,-7.9750624390971145,-14.562781316032282
cn_guian_r01,2018-07-08,-9.040082376353018,-15.663069195406603
cn_guian_r01,2018-07-20,-10.031988009347268,-16.152788124622504
cn_guian_r01,2018-08-01,-9.538785973501943,-15.905822368776239
cn_guian_r01,2018-08-25,-10.149947912617193,-16.549461583274976
cn_guian_r01,2018-09-06,-10.180990817812054,-16.406984024687304
cn_guian_r01,2018-09-18,-8.637033518915336,-14.505424006848578
cn_guian_r01,2018-09-30,-10.148293424518084,-16.330507507049703
cn_guian_r01,2018-10-12,-10.275937235301646,-16.491918678529554
cn_guian_r01,2018-10-24,-9.912124908318722,-16.42098924365057
cn_guian_r01,2018-11-05,-9.814565210627316,-16.21626635030027
cn_guian_r01,2018-11-29,-11.07414124609813,-17.291351285953894
cn_guian_r01,2018-12-11,-10.687436361518081,-17.685932081165756
cn_guian_r01,2018-12-23,-10.582076082674954,-17.651486347592257
cn_guian_r01,2019-01-04,-10.624342584212357,-17.865983268787325
cn_guian_r01,2019-01-16,-10.833671639781295,-18.091030314117965
cn_guian_r01,2019-01-28,-9.987533803970333,-17.178070175454575
cn_guian_r01,2019-02-09,-11.114696716484852,-18.693122411818827
cn_guian_r01,2019-02-21,-10.608840366288462,-18.034809166737972
cn_guian_r01,2019-03-05,-10.592753459539795,-17.956084466694453
cn_guian_r01,2019-03-17,-10.007922182293518,-17.033073948821794
cn_guian_r01,2019-03-29,-10.697997344506376,-17.721828532860762
cn_guian_r01,2019-04-10,-10.695187409187453,-17.63677691975592
cn_guian_r01,2019-04-22,-9.732979262331314,-17.103601480212923
cn_guian_r01,2019-05-04,-10.370021122301424,-17.921815607380317
