ym,VV:cn_horinger_r02,VV:cn_horinger_r03,VV:cn_horinger_r04,VV:cn_horinger_r05,VV:cn_horinger_r06,VV:cn_horinger_r08,VV:cn_horinger_r11,VV:cn_horinger_r12,VV:cn_horinger_r13,VV:cn_horinger_r14,VV:cn_horinger_r15,VV:cn_horinger_r16,VV:cn_horinger_r17,VV:cn_horinger_r18,VV:cn_horinger_r19,VV:cn_horinger_r20,VV:cn_horinger_r21,VV:cn_horinger_r22,VV:cn_horinger_r23,VV:cn_horinger_r24,VV:cn_horinger_r25,VV:cn_horinger_r26,VV:cn_horinger_r27,VH:cn_horinger_r02,VH:cn_horinger_r03,VH:cn_horinger_r04,VH:cn_horinger_r05,VH:cn_horinger_r06,VH:cn_horinger_r08,VH:cn_horinger_r11,VH:cn_horinger_r12,VH:cn_horinger_r13,VH:cn_horinger_r14,VH:cn_horinger_r15,VH:cn_horinger_r16,VH:cn_horinger_r17,VH:cn_horinger_r18,VH:cn_horinger_r19,VH:cn_horinger_r20,VH:cn_horinger_r21,VH:cn_horinger_r22,VH:cn_horinger_r23,VH:cn_horinger_r24,VH:cn_horinger_r25,VH:cn_horinger_r26,VH:cn_horinger_r27
2018-01,-18.069640206619827,-18.61494369486385,-14.386539640287198,-17.18858124669301,-15.471685821534752,-17.1717938883314,-13.816777710055678,-15.701710606862857,-14.480255314600605,-15.998210934744966,-12.968656153607359,-17.237370285581395,-14.420851816447064,-14.868776503376628,-15.254061200182509,-14.438308567226011,-17.615518631408438,-15.773508838468771,-16.86636301750332,-18.3392602520951,-14.79954690448383,-15.76983956483447,-17.740642082824635,-29.024711044036792,-29.72379010834491,-22.711523070149223,-28.367794116206582,-25.868029235052624,-26.79341514533806,-23.593911572883226,-27.719481459699136,-23.804637436843514,-26.296283777059557,-23.49509284946666,-24.55473256918193,-25.554895407347495,-25.524808047331184,-24.088065117221944,-25.067243739189564,-28.305689001271137,-25.697319380556674,-25.982232734174204,-28.07346686685946,-24.74555428171523,-24.3790619478791,-27.84520890722319
2018-02,-17.86356829388833,-18.624848143993034,-13.983739716051147,-16.890108184207882,-15.112379177388519,-16.942749355097547,-13.517977643619524,-15.56014128077374,-14.322741408035416,-15.660472213478577,-12.618581626913965,-16.4591602225006,-14.185842924408654,-14.846010659670302,-15.221374784666576,-14.105841548498903,-17.34197879393146,-15.55676117205232,-16.4905358254835,-18.187916621090977,-14.856630715625688,-15.632046724831396,-17.433686923695817,-28.306378814987752,-29.177699119236003,-21.709204996002725,-27.82607958195534,-25.84183613909903,-26.052001896034724,-23.0319905778015,-27.0645166970078,-23.362021570701312,-25.59237582086896,-22.877344021975098,-22.89468606037354,-25.015604024315262,-25.136581428583796,-23.6689529617355,-24.631519749463166,-27.813912676107122,-25.58474183125882,-25.675342014952566,-27.558393110154753,-24.13207738804607,-23.91179274281641,-27.672730229848003
2018-03,-17.85883954269172,-18.709465225594236,-13.25969126194405,-16.506141004721975,-14.855180882819807,-16.39891712609009,-13.67169524754621,-15.177432346750534,-13.911116903133994,-15.201590989205307,-12.448073075887443,-15.074392491205689,-13.730538645542513,-14.588821138131092,-14.717742577972466,-13.76796447229313,-17.483259127143988,-15.02223246240515,-15.72216049142255,-18.12242665587128,-14.055948797697006,-15.39689988258031,-18.16123248023402,-29.07586179630921,-29.909231824083538,-20.336971250548014,-28.427871968462178,-26.119806651843085,-25.346679597479472,-23.282514519955242,-28.17141469173373,-22.544730458026425,-25.318356493368356,-22.750429969611865,-20.35552869827849,-23.385228078859612,-25.91618325937405,-22.82342592506918,-24.166727945938543,-29.34485663532194,-25.088257490089205,-23.87285650741252,-28.434922322971588,-23.951601909456777,-24.32972215833614,-27.68686285501289
2018-04,-15.97977683315791,-16.204544836589825,-11.769545117668589,-14.135651887807875,-13.315173336144426,-14.457864734734128,-12.433209691541588,-14.239019169231767,-12.677256563763473,-13.731324582799903,-11.714592430545398,-12.447380374125515,-12.307548454489854,-13.35228034521252,-13.28492851725974,-12.427378352176856,-15.607358272708208,-13.736652808078865,-14.372608424971002,-15.81729282889253,-11.782370957394154,-13.689172216602767,-16.418085318201822,-28.413792653686762,-28.073725458340192,-19.830528240719566,-27.41868923014713,-24.647015151370283,-24.420959929866115,-22.7149285930004,-26.83052729874867,-21.238282001044226,-23.72860120452608,-22.29920395733823,-19.361917482427753,-23.14388304296226,-24.818057245578792,-22.38134613069969,-22.679473696784907,-28.62657357477555,-23.302160625764714,-23.749347291818452,-27.52251312843338,-21.413399671763905,-23.54536591857775,-27.163452318375803
2018-05,-15.839489502105424,-16.466192583810095,-11.98133177093576,-12.103103888558193,-13.86721114972266,-14.571276576648083,-12.798254401767947,-14.400456676169116,-13.077116466569095,-13.767590949966683,-12.002120046336097,-12.458636419192288,-13.151850603055735,-14.009540879539205,-12.300888044366177,-13.523825748093381,-15.385548424531985,-13.29297027814165,-14.750135345363335,-16.31116403057336,-12.362619014720734,-14.08673122421905,-16.338834496602093,-27.13960362788118,-27.432381429613326,-19.156528705029423,-25.288330571769833,-23.398451466719308,-23.92726048209352,-21.560189205957787,-24.89782157177617,-21.342793471328356,-22.694518866174302,-21.773150607036264,-18.437362524316672,-22.67827249666821,-23.558540015454525,-21.981824001240945,-21.43500265916726,-26.10747893661898,-21.334741850225818,-23.635954537665853,-25.718531124578096,-20.466015057080337,-23.177370483332528,-26.10380780794985
2018-06,-14.207510488138249,-14.553173064152434,-11.96301087592876,-11.597528778562161,-13.395084157605341,-13.833398621758219,-12.23373400129194,-13.410198516943115,-12.466902117637444,-14.120920732963725,-11.872361157176279,-12.83105697420519,-12.69472426567826,-14.126889242960225,-12.303437975114463,-13.475058591198446,-15.422465820765868,-13.374977378607882,-14.424380295980846,-13.988791898227435,-11.732451809357523,-14.576128404376538,-15.26505958761248,-22.115872607097195,-21.130354646829435,-18.809582227414396,-19.221341511281175,-21.396628642012917,-21.894166470242336,-20.217963423476732,-21.88220590157493,-19.97461414259436,-21.272260694550667,-20.80948635471432,-18.80207026303156,-20.250418036604525,-22.898413391215573,-20.259826049802253,-20.850135054998457,-25.206492278064307,-20.259742869318337,-22.716670963298682,-21.01554207086153,-18.88742888316719,-23.042138198280902,-23.852539951969057
2018-07,-11.479474004168537,-11.547203917411853,-10.46948473488263,-10.651533781670304,-10.611223125096902,-10.62607153737513,-10.395582915188605,-10.695881938766085,-10.48011083389395,-12.084200799560008,-10.540263068352097,-10.77977313654719,-10.334820273813172,-11.843619368772615,-10.467353971464245,-11.668964660818013,-12.18852275813366,-11.632873303496726,-11.786057392372527,-11.159487476970199,-10.617756814273111,-11.872753670181625,-12.404986144047001,-17.73565253182432,-17.252295496726912,-16.975271443866426,-16.470735257442055,-18.041225195260814,-17.229661701792203,-17.335830419557915,-18.3592570329003,-17.3287706646109,-18.770417145818328,-18.219829731558377,-17.264445317399904,-16.811408339082718,-19.39782441428426,-17.665054837322465,-18.651980470748967,-19.47416332082068,-18.816503016796904,-18.118128549559774,-16.79553737539721,-17.102664334038614,-19.50614411836125,-18.862830354455745
2018-08,-12.967776669961127,-11.59824747362488,-11.358463948221734,-12.390636400636541,-12.14242602391586,-11.50877622400714,-11.573897707553044,-12.229381686581661,-11.562622127623133,-13.394689011006372,-11.676163216540697,-12.115011737363787,-11.540780085417497,-13.498813721202627,-15.977717634185861,-12.785437881804048,-13.905962184661032,-13.14666969249988,-12.626218734160622,-11.820452370568418,-11.312314742202473,-13.260390238625874,-14.049125912836033,-19.23706352458077,-17.336799392068617,-17.982648274197054,-18.463692764756676,-18.65584802861694,-17.825826287245448,-18.135767105946464,-19.018752074806972,-17.819339586190555,-20.38711450901234,-19.338777695713024,-18.824101464053353,-17.5106589979658,-20.554740424155742,-29.06843291046269,-19.843364704918844,-20.946038464385914,-19.51730372008375,-18.509603830328114,-17.140815120545497,-18.452798512533647,-20.940771478664068,-20.05588326620142
2018-09,-12.778138163872043,-11.926698363215907,-11.391105951792902,-11.677079321400667,-11.498700566873723,-11.900966600519098,-10.979883297457661,-11.777196542102464,-11.235067636993367,-12.975370996436823,-11.090481548158888,-11.750071268043248,-10.63702593047763,-12.47419651916233,-14.37225305250589,-12.460078004758127,-13.052277555670004,-12.418372554778617,-12.921450580320855,-12.023675951277616,-11.514819584501495,-12.533547173166781,-13.440546248680533,-19.507966848357942,-18.10576655551713,-17.932545880237704,-20.10206326878678,-18.153708939392253,-18.356192562168072,-17.881832014244498,-18.61682819356414,-18.37204779112244,-20.094253929137658,-19.106556691594832,-18.174428925984486,-16.65248854952207,-20.120752929564517,-28.059779668667602,-19.392758411414427,-20.559817505062654,-20.050122357251166,-19.168645309397128,-17.04898773575779,-19.12722364799499,-20.05797979667578,-21.00684214053822
2018-10,-16.529093894889623,-17.162695558998976,-13.2280251725243,-13.95970174967689,-13.700511312182222,-14.754298428161603,-13.296325571059493,-14.676229705685264,-12.875420617394736,-15.177384352383333,-12.40220977860027,-14.446967790162269,-12.693279634704085,-15.08254732984443,-16.85189345816344,-14.323285667958173,-16.538320253541624,-15.010993270704963,-16.266184962430025,-15.714785815770743,-13.312929781613658,-15.014605843381162,-16.812748442536993,-27.940870330061703,-28.431944649913984,-20.382399710119046,-27.878968923684386,-24.590321433744155,-24.427940289806294,-23.169902938299906,-26.14015236106321,-21.08946391410507,-25.425055736761816,-23.080685661029857,-19.791404277771417,-23.120853612320325,-25.394806467580256,-31.321905012769736,-23.905646138850233,-28.962488217360875,-24.428878242589768,-25.271732588105657,-25.570064971593755,-20.44414712882631,-25.16471207880876,-27.006453026322397
