ym,VV:structure_north,VV:structure_south,VH:structure_north,VH:structure_south
2022-01,-11.26529654769916,-8.917591161001049,-17.888673954776976,-19.006680416821414
2022-02,-10.519484251608716,-8.764243729653753,-17.020402414709437,-18.352353387189947
2022-03,-13.750996309410631,-12.598509895259106,-21.21594488761354,-25.641171685082398
2022-04,-12.535343732290649,-13.394621533682724,-19.98642040287516,-26.599573096834003
2022-05,-14.154983328430434,-13.179337388766665,-23.067758713161705,-25.75209225554913
2022-06,-11.828328399113909,-10.341939788302923,-19.544012383365143,-18.44946719012767
2022-07,-8.517865402827166,-8.483971977317958,-15.117479522176644,-15.604229112941525
2022-08,-8.454034029565543,-9.00668854078781,-15.14134566204477,-16.603552218111354
2022-09,-10.466243195483287,-9.666402377570897,-15.043544522912363,-15.27065873972434
2022-10,-15.03061217757423,-15.671987655579201,-23.528342726688507,-25.309920136082702
2022-11,-11.361070698452078,-10.886766336084435,-17.758741701760947,-21.374098830503655
2022-12,-12.333740699157277,-10.735592804519825,-18.768131013954726,-20.288548868215866
2023-01,-12.220839850504106,-10.673620641959612,-19.106523300712798,-20.679883524399866
2023-02,-14.639811705971038,-12.959502529067906,-22.762521686678326,-24.992011084005604
2023-03,-15.856596987477623,-10.418179099444233,-24.796724719556266,-24.693901506653845
2023-04,-14.910002997366657,-10.567849174965971,-21.1146952058711,-21.84278437068045
2023-05,-10.259921273339343,-9.984034484793737,-16.709427446308936,-16.66083586417352
2023-06,-10.93827573295151,-11.842414713034955,-17.011221806929743,-18.178383489366347
2023-08,-13.93785493290164,-14.291710511999138,-20.70076139085995,-23.715254047817048
2023-09,-11.760817889607075,-10.171601427339038,-20.630764835295412,-21.595590500269036
2023-10,-12.133814711810345,-10.133510124420011,-21.11171079643477,-21.673537622665673
2023-11,-10.926564763267345,-7.450932884230963,-19.319353215641076,-19.76573669080515
2023-12,-10.0650344442709,-6.130819005556891,-17.581681773849407,-17.320552059024727
2024-01,-12.336392093825761,-7.3991896423752825,-20.325064063482465,-19.145873138441516
2024-02,-12.025313166381043,-7.081137356280246,-18.56359335605195,-18.333678204906263
2024-03,-12.414367692164518,-8.640438776738252,-19.854529844880247,-20.44340231675323
2024-04,-15.517542013145455,-11.722853769529532,-25.131259932654604,-25.45402130160554
2024-05,-11.747297765658821,-7.384855768528107,-18.73485122260725,-18.155153261392314
2024-06,-10.359115246376378,-7.953939697128191,-16.324718224928887,-16.120515271003807
2024-07,-8.644207080012022,-8.557126667969424,-15.29525808156914,-15.457931566973558
2024-08,-9.138381886478308,-8.34530534384477,-14.774196724238012,-14.424441139024665
2024-09,-14.602586277437277,-11.377031508806386,-23.829085773892565,-23.09901377625692
2024-10,-14.978265116233047,-13.31855086790131,-21.311649911059234,-21.05696111543319
2024-11,-10.164622244952065,-9.155009310623294,-15.763872460385969,-15.94933024606706
2024-12,-11.966279017457008,-10.655842132020478,-19.15446069207428,-19.759736430704976
2025-01,-13.538945587657352,-11.80319977847677,-22.220818077074753,-23.939507949034393
2025-02,-11.99228099336177,-10.517491155805445,-18.556634131839647,-18.69265252489845
2025-03,-11.156903761862454,-10.990588410081457,-17.429792040836453,-18.20781071619119
2025-04,-12.205442385887293,-11.148432283051747,-17.601948395761553,-18.986220476688494
2025-05,-12.373514448239929,-12.0955556031314,-20.957239990211715,-20.367990208307862
2025-06,-15.470740114359149,-12.5272566832308,-26.052078572239644,-21.956164080007053
2025-07,-15.327718832189232,-15.236312665138652,-25.343085263192194,-26.425096322592942
2025-08,-15.13287205498557,-12.67338014307859,-25.888949876091136,-23.939709399047246
2025-09,-15.519606796002515,-16.24647661319046,-27.330319344266957,-26.532099998246135
2025-10,-14.89564190977279,-14.53569770969387,-25.022007227759442,-24.915416397229258
2025-11,-12.690735733631628,-14.106104164024028,-22.467601942679508,-24.71518745793639
2025-12,-13.397466471143,-14.71587248881455,-23.159685671100483,-25.167225428408702
2026-01,-12.742187842899645,-14.946047601499252,-22.825208996032533,-25.210874997421882
2026-02,-13.42663570851767,-15.547990463544199,-23.05657930277831,-25.709070202527084
2026-03,-14.034039153567416,-14.539355403166546,-23.66112434186707,-24.51618617923654
2026-04,-13.962947754700975,-13.020441466798859,-22.963411065294313,-22.689513765403248
2026-05,-13.47951481229235,-12.029761148400805,-22.338874085314753,-19.649089617991045
2026-06,-13.050880153765455,-11.402613345280816,-21.49392884048076,-19.028964366815817
2026-07,-13.718983291304015,-12.09292775346337,-22.414206090444015,-18.812579621374038
2026-08,-13.51966245055483,-11.317249106979487,-21.90436774556203,-17.95498795275527
2026-09,-13.386864069206755,-11.319844181447458,-21.87222291500799,-17.881476249840464
