rank,lat,lon,area_ha,early_db,late_db,rise_db
1,32.11996,-81.28289,5.1,-12.3,-1.2,10.0
2,32.11628,-81.3227,4.3,-12.1,-3.6,7.5
3,32.12226,-81.30959,3.1,-10.9,1.5,10.6
4,32.1307,-81.37587,3.0,-12.2,-0.9,8.9
5,32.12049,-81.3029,2.5,-13.0,0.8,12.1
6,32.12053,-81.31029,2.4,-9.0,-0.3,7.5
7,32.13108,-81.37015,2.3,-15.8,-5.0,9.4
8,32.11919,-81.29932,2.2,-13.5,2.0,13.9
9,32.13785,-81.32791,2.1,-13.4,-7.1,5.9
10,32.14171,-81.3595,2.0,-7.2,4.0,9.8
11,32.1904,-81.30777,1.5,-12.6,-4.7,6.6
12,32.14443,-81.35758,1.4,-6.6,4.1,9.3
13,32.11688,-81.31957,1.3,-10.6,-2.0,7.3
14,32.14419,-81.39295,1.3,-10.2,-3.5,5.7
15,32.15506,-81.31295,1.1,-10.6,-3.6,6.2
16,32.12722,-81.30092,1.0,-10.4,-1.1,6.5
17,32.18747,-81.28331,1.0,-14.0,-4.6,8.4
