rank,lat,lon,area_ha,early_db,late_db,rise_db
1,32.49903,-99.78174,59.8,-12.2,-1.2,10.6
2,32.50516,-99.77971,27.2,-12.9,-1.7,10.8
3,32.49704,-99.79989,25.0,-12.2,-3.7,8.0
4,32.49776,-99.7916,15.7,-12.2,-1.8,9.9
5,32.49751,-99.79501,13.4,-12.0,-1.7,9.9
6,32.50529,-99.77532,9.0,-12.3,-2.3,9.5
7,32.50382,-99.78534,4.4,-11.5,-4.4,6.5
8,32.52328,-99.82082,2.8,-12.1,-5.4,6.3
9,32.45878,-99.81334,2.4,-10.3,-1.7,7.0
10,32.45437,-99.73432,1.8,-12.3,0.5,11.4
11,32.46172,-99.819,1.7,-13.4,-4.1,8.2
12,32.54163,-99.76704,1.7,-8.0,3.9,10.5
13,32.46283,-99.81613,1.6,-15.5,-4.7,8.7
14,32.50771,-99.78415,1.4,-12.8,-2.5,8.4
15,32.54286,-99.74609,1.2,-2.8,4.9,6.5
16,32.53449,-99.76163,1.1,-7.9,2.8,8.1
17,32.4753,-99.75045,1.0,-8.6,1.7,8.7
18,32.48729,-99.73023,1.0,-12.8,-4.8,7.0
