rank,lat,lon,area_ha,early_db,late_db,rise_db
1,40.10318,-82.74897,47.6,-11.0,-1.4,9.1
2,40.09409,-82.73061,36.1,-11.4,1.4,12.2
3,40.05686,-82.7701,19.3,-12.0,-1.3,9.8
4,40.05422,-82.7517,18.1,-10.6,-1.9,8.3
5,40.06429,-82.75839,16.0,-10.3,-0.1,9.9
6,40.08942,-82.7207,13.9,-10.8,-2.6,7.9
7,40.05479,-82.74699,12.4,-10.7,-1.8,8.3
8,40.06145,-82.74106,11.4,-11.1,-1.3,9.3
9,40.06742,-82.7588,11.1,-11.0,-2.8,7.3
10,40.06508,-82.74181,10.2,-11.5,-2.6,8.4
11,40.05476,-82.75672,10.0,-10.9,0.6,10.8
12,40.054,-82.76373,8.8,-11.6,-0.7,10.3
13,40.0755,-82.76248,7.2,-12.2,-0.8,10.4
14,40.11328,-82.71865,5.4,-12.3,-1.9,9.9
15,40.11497,-82.75592,4.8,-12.0,-4.6,6.4
16,40.05709,-82.76591,4.4,-7.6,1.2,8.2
17,40.09846,-82.73905,4.3,-12.2,0.7,11.8
18,40.11439,-82.7491,4.3,-10.8,-4.6,5.8
19,40.09313,-82.74752,3.9,-6.6,4.6,10.7
20,40.05819,-82.74747,3.4,-12.4,-5.5,6.4
21,40.05508,-82.76674,2.8,-10.1,-1.7,7.7
22,40.07263,-82.75303,2.6,-11.2,-4.4,6.2
23,40.09271,-82.71936,2.4,-13.4,-2.0,10.8
24,40.05647,-82.7729,2.4,-10.2,-0.6,8.6
25,40.09956,-82.75052,2.4,-11.3,-4.4,6.1
26,40.0901,-82.73629,2.4,-12.5,0.2,11.0
27,40.11296,-82.714,2.2,-12.1,-5.0,6.3
28,40.06408,-82.74872,2.1,-5.3,2.8,6.8
29,40.08741,-82.76673,2.1,-9.9,1.0,8.8
30,40.0582,-82.76268,2.0,-5.4,6.4,10.9
31,40.09273,-82.72375,2.0,-12.7,-6.1,6.2
32,40.09921,-82.74414,2.0,-10.3,-1.7,7.4
33,40.05165,-82.76613,1.9,-12.3,-0.6,9.9
34,40.11029,-82.70688,1.9,-10.4,-4.1,5.7
35,40.11319,-82.70967,1.8,-11.4,-0.2,10.2
36,40.0877,-82.72345,1.8,-9.5,-2.9,5.9
37,40.0637,-82.73878,1.7,-11.2,-0.8,9.2
38,40.07465,-82.7592,1.6,-11.4,-4.5,6.0
39,40.09078,-82.73295,1.6,-11.6,1.8,11.7
40,40.06888,-82.74683,1.6,-9.4,-2.0,6.5
41,40.10647,-82.81564,1.6,-11.7,-0.6,9.7
42,40.07492,-82.71746,1.5,-10.6,1.8,10.0
43,40.07681,-82.74007,1.5,-11.9,-4.0,5.9
44,40.0944,-82.74333,1.4,-10.6,-2.3,7.4
45,40.10331,-82.71862,1.4,-10.6,-2.9,6.6
46,40.08297,-82.72295,1.3,-11.3,0.5,10.3
47,40.11438,-82.7064,1.3,-10.4,-2.6,6.1
48,40.10027,-82.73106,1.2,-9.1,0.2,7.1
49,40.11538,-82.70336,1.2,-10.7,-3.7,5.9
50,40.0933,-82.71744,1.2,-13.2,-6.0,6.2
51,40.1086,-82.8065,1.2,-10.8,-5.0,5.2
52,40.10481,-82.74453,1.2,-9.2,-1.6,6.4
53,40.11555,-82.79317,1.1,-12.0,-2.8,8.4
54,40.10552,-82.81036,1.1,-9.1,2.7,8.9
55,40.06139,-82.77112,1.0,-13.3,-2.9,8.5
56,40.07932,-82.69862,1.0,-11.8,-4.7,6.0
