rank,lat,lon,area_ha,early_db,late_db,rise_db
1,35.7305,107.65722,18.8,-10.8,-1.8,8.5
2,35.72526,107.69373,13.6,-10.1,-0.0,9.5
3,35.7,107.61225,12.0,-9.9,-2.2,7.1
4,35.71282,107.63801,9.8,-7.8,2.1,8.9
5,35.7079,107.65701,9.6,-9.1,3.8,12.4
6,35.67811,107.6624,8.7,-9.7,1.2,10.3
7,35.7256,107.6986,8.6,-9.6,-1.2,7.7
8,35.73508,107.67507,8.5,-11.2,-2.1,8.0
9,35.71274,107.62974,6.3,-6.0,1.9,7.6
10,35.68702,107.64952,6.0,-6.8,2.4,8.4
11,35.73288,107.70164,6.0,-10.8,-2.1,8.1
12,35.73678,107.69835,5.1,-10.2,-0.5,9.1
13,35.76398,107.62163,4.9,-10.4,-2.4,7.3
14,35.73151,107.69552,4.8,-10.8,-1.2,8.7
15,35.70622,107.64504,4.6,-7.4,2.2,8.2
16,35.6873,107.63065,4.4,-9.7,0.1,9.1
17,35.75361,107.6282,4.2,-9.9,-3.2,6.0
18,35.719,107.63801,3.8,-2.6,9.1,10.3
19,35.76307,107.61283,3.7,-9.7,-1.6,7.8
20,35.71494,107.65417,3.6,-7.1,0.9,7.2
21,35.72404,107.66357,3.4,-11.0,-3.6,6.3
22,35.71586,107.59904,3.3,-9.3,-2.6,6.1
23,35.76147,107.6194,3.2,-9.9,-2.4,6.4
24,35.71197,107.59824,3.0,-10.5,-4.4,5.8
25,35.72313,107.5942,2.9,-7.1,-0.1,6.0
26,35.73232,107.66122,2.9,-10.4,-1.6,6.6
27,35.76892,107.61496,2.8,-10.7,-3.7,6.5
28,35.69609,107.69875,2.8,-9.7,-0.2,7.6
29,35.7142,107.58479,2.8,-8.2,2.0,9.1
30,35.70312,107.63998,2.7,1.7,8.4,6.3
31,35.704,107.59317,2.6,-10.5,-1.3,7.2
32,35.77371,107.65922,2.4,-12.0,0.8,11.9
33,35.69215,107.62871,2.4,-3.4,4.3,6.3
34,35.72143,107.6221,2.4,-9.0,-2.5,6.1
35,35.7615,107.63016,2.4,-10.9,-2.6,7.5
36,35.76831,107.67938,2.2,-11.8,-4.3,6.0
37,35.69766,107.68941,2.1,-9.1,-0.6,7.8
38,35.71288,107.67974,1.9,-12.8,-4.1,7.8
39,35.6882,107.61157,1.8,-10.3,-3.2,5.8
40,35.76426,107.61552,1.8,-9.7,-2.3,5.8
41,35.77127,107.61637,1.7,-10.0,-1.7,7.7
42,35.77128,107.61782,1.7,-8.2,-0.8,6.1
43,35.72929,107.64156,1.6,-5.3,1.3,5.2
44,35.75178,107.61724,1.6,-8.5,-0.7,6.8
45,35.78125,107.58221,1.6,-12.6,-4.9,6.9
46,35.70689,107.65027,1.6,0.1,7.2,6.7
47,35.73266,107.64173,1.6,-7.2,0.2,6.3
48,35.78284,107.60568,1.5,-17.8,-6.9,9.9
49,35.72533,107.60678,1.4,-9.1,5.7,12.9
50,35.72779,107.69647,1.4,-10.4,-1.9,6.9
51,35.71534,107.63581,1.4,-2.8,4.8,6.6
52,35.74957,107.69297,1.4,-10.7,-2.0,6.9
53,35.78066,107.59388,1.4,-5.9,2.7,7.7
54,35.71647,107.61793,1.3,-3.6,5.2,7.0
55,35.72563,107.65165,1.3,-9.4,-1.2,6.5
56,35.6814,107.61955,1.3,-8.3,-0.6,7.0
57,35.6837,107.63494,1.3,-9.3,-3.2,5.4
58,35.69619,107.62994,1.3,-8.2,-1.1,5.7
59,35.70885,107.62444,1.3,-5.8,0.6,5.9
60,35.73489,107.66268,1.3,-9.6,-0.8,7.6
61,35.7203,107.62531,1.2,-6.7,0.6,6.0
62,35.72461,107.6615,1.2,-11.3,3.2,12.4
63,35.71023,107.62744,1.2,-7.6,-0.8,5.7
64,35.76789,107.61309,1.1,-10.5,-2.5,6.7
65,35.68037,107.70515,1.1,-11.6,-4.5,5.9
66,35.69836,107.63712,1.1,-6.1,0.2,5.0
67,35.76426,107.62531,1.1,-8.4,1.8,9.2
68,35.76743,107.61661,1.1,-7.6,0.1,6.8
69,35.77884,107.6204,1.0,-9.3,2.1,9.9
70,35.67773,107.70589,1.0,-10.5,-4.2,5.4
71,35.70761,107.61583,1.0,-10.2,-2.5,6.6
72,35.73251,107.70341,1.0,-11.0,-3.8,5.9
73,35.7525,107.68565,1.0,-8.4,-1.8,6.0
74,35.76909,107.61816,1.0,-7.5,-1.3,5.5
