ym,VV:cn_qingyang_r03,VV:cn_qingyang_r07,VV:cn_qingyang_r11,VV:cn_qingyang_r12,VH:cn_qingyang_r03,VH:cn_qingyang_r07,VH:cn_qingyang_r11,VH:cn_qingyang_r12
2018-01,-11.604971996590347,-11.554642160256595,-12.855681098909542,-12.27045223512156,-22.602144424281583,-20.068708708636528,-22.60490697785623,-21.76819160387428
2018-02,-11.076815315075066,-10.912050897614737,-13.074312908647224,-11.751631790154635,-21.834235254740015,-18.939634006235973,-22.065805420531987,-19.978737788412733
2018-03,-11.042523670024812,-10.993400818796943,-13.25308346490406,-12.306728694590538,-21.515443019843207,-19.277009672493982,-21.930494635651485,-20.096647243456225
2018-04,-11.57032866866523,-10.841364377975879,-13.158435969735672,-12.12875302745108,-18.87093142126927,-19.11878779133461,-20.597239629061868,-19.50821820984186
2018-05,-10.201979126605753,-10.220213710724913,-11.955006110825307,-10.882382889214556,-16.594556510030884,-17.634985788736643,-18.987936680800765,-18.17300504518972
2018-06,-9.280840098031518,-10.219590523445978,-12.012564407961282,-10.770870162620472,-16.83827716766815,-17.266943935721795,-18.918402801919058,-17.90707292517217
2018-07,-7.641166472061676,-7.605207319873376,-8.8870901603674,-7.7508413078639435,-14.21201587041417,-14.607221884566046,-15.553113148541485,-14.549784976290532
2018-08,-7.127092218988718,-8.971840198168723,-10.665541673994117,-9.442925956343714,-15.247374143581162,-16.250739646392645,-17.917227431926126,-16.79745871231073
2018-09,-8.612798178544942,-9.626814419989511,-10.77414798880137,-9.429445336721141,-16.054653241909904,-17.277754428351507,-18.44185289835655,-17.17677882111736
2018-10,-9.671626247483728,-10.426988808208007,-11.8558209233505,-10.00967741991727,-17.844074129327197,-17.920232040769065,-19.701262294021923,-17.668878792798527
2018-11,-9.55515747649306,-11.127511491347594,-12.264863938392669,-11.301725065054065,-19.62173964391046,-18.95057438742491,-21.484930158639518,-19.58729502054422
2018-12,-11.934956984493597,-12.308824505488712,-14.449811502695834,-13.589323907620468,-22.321604401020398,-21.162705335121426,-24.731934540560612,-23.020719424663476
2019-01,-12.264932613543188,-12.616648557312606,-14.38535154163379,-13.644638972928176,-22.09137226373332,-21.14456579226974,-24.530895194755136,-22.790624785527513
2019-02,-11.523081111041828,-12.113446079875398,-14.20414142836496,-12.660809975622282,-21.153089167088233,-20.685620655948835,-24.369674590531456,-21.884352357127057
2019-03,-11.191049688859676,-12.123964769977967,-13.622191091439598,-13.177325299929803,-21.26361146916949,-20.22209263348901,-23.946062568662185,-22.429292788007338
2019-04,-9.775653179915878,-10.6609067826379,-12.284040840027522,-11.164496940023916,-19.504397403714385,-19.182205614485056,-20.604117128379322,-19.466938489819537
2019-05,-9.307859247808816,-10.663126379685917,-12.119083564232325,-10.426003595750222,-18.065700834570887,-18.16853925868583,-19.42727657767822,-18.35387803311451
2019-06,-8.206538547586815,-8.660453676080442,-10.259213114654631,-8.993481988887982,-16.85151377183693,-15.854290255967317,-16.28087981807795,-15.480012953877061
2019-07,-8.560996605155038,-8.31952243584474,-9.307002702653964,-8.45719526496742,-16.28797954277854,-16.186199282511478,-17.754611609774944,-16.134894624386703
2019-08,-8.527024468828115,-7.981180509023115,-8.21826326489429,-8.450562631621416,-15.058265221842325,-15.763720585902616,-16.43114107899676,-15.367488842340432
2019-09,-8.689804995734296,-9.39329776828734,-10.757998855982448,-9.885721187785835,-15.530728914071664,-16.70342749621094,-19.017631721203045,-17.133928776085458
