ym,VV:cn_ulanqab_r03,VV:cn_ulanqab_r04,VV:cn_ulanqab_r05,VV:cn_ulanqab_r06,VV:cn_ulanqab_r07,VH:cn_ulanqab_r03,VH:cn_ulanqab_r04,VH:cn_ulanqab_r05,VH:cn_ulanqab_r06,VH:cn_ulanqab_r07
2018-01,-15.844421594549189,-11.654472346158958,-15.251630143076696,-18.495231632805925,-13.393403146347545,-26.709455945035906,-19.644790217516896,-27.28523392232682,-28.01757001347461,-24.781327083104845
2018-02,-15.835188684599618,-11.845818075068598,-15.527662794100188,-18.62633595050731,-13.349956029816783,-26.543109830956585,-19.33225995241593,-27.486381660307387,-27.160149546796273,-24.37507503237941
2018-03,-15.352350931750951,-11.541356540590876,-15.739303900298712,-17.89873700530941,-13.222508307056817,-27.426944470779432,-19.47509138021151,-29.43226375644241,-26.407601538817396,-23.885054594406682
2018-04,-15.607159108131727,-11.427383621922411,-16.473307266474055,-17.297912885129012,-12.848043601342326,-28.661716978193024,-19.65195576307708,-29.273057474886098,-27.408375161901105,-23.806361723129484
2018-05,-16.02988721141883,-11.640263246836373,-16.33609315767792,-17.04008436309493,-12.298878732170538,-27.23163277769427,-18.63652763513872,-30.655727291535957,-25.397861251448493,-22.864410910686747
2018-06,-15.178381655446325,-11.436020156965498,-11.775164672067442,-16.69224085632897,-12.322864981200881,-24.28212898113846,-18.944526201245395,-26.132096676706666,-24.405401388713845,-21.225942551508453
2018-07,-10.524807179990592,-8.79264963526326,-7.997915321370354,-11.501775948747406,-7.82460649975829,-17.568674708013017,-16.827860238109608,-14.973628942799852,-19.19646997213683,-16.07164199137682
2018-08,-12.368180918909008,-10.790863397547685,-9.04013543450383,-12.708841548901162,-9.608270624583291,-19.557384532402907,-18.20573467719528,-14.879892468844917,-19.603234219289934,-16.236063631893778
2018-09,-12.566494757018452,-11.290853182587895,-9.442760029048992,-13.930288093190061,-10.64986260964459,-20.971481775677887,-18.786899372628717,-17.810922156631342,-22.214678877432256,-17.72195436444875
2018-10,-15.314780659605198,-11.820121481344819,-11.367978670133688,-16.90139436036279,-12.470075407205924,-25.27377823405011,-19.76789619827976,-23.8619107327362,-26.36804938479111,-22.399060834275815
