name,d,VV,VH
cn_zhangbei_r03,2018-01-03,-15.442507496283035,-19.93319783638663
cn_zhangbei_r05,2018-01-03,-15.928584952021216,-27.5659351181421
cn_zhangbei_r01,2018-01-03,-12.017905683006381,-20.777098106953286
cn_zhangbei_r06,2018-01-03,-7.530499803572027,-13.409643776507993
cn_zhangbei_r07,2018-01-03,-11.83995910367898,-17.908060670294162
cn_zhangbei_r02,2018-01-03,-14.993589319052791,-23.103772068129807
cn_zhangbei_r03,2018-01-15,-16.585258823666898,-30.241200088696434
cn_zhangbei_r05,2018-01-15,-15.909328154243404,-33.140272486521305
cn_zhangbei_r01,2018-01-15,-12.440334422527112,-25.30989747800571
cn_zhangbei_r06,2018-01-15,-8.107075734121944,-16.491611140367745
cn_zhangbei_r07,2018-01-15,-12.598855557261551,-22.18652925522082
cn_zhangbei_r02,2018-01-15,-15.743297792331166,-26.935833046526596
cn_zhangbei_r03,2018-01-27,-14.848470169204159,-17.995900161308292
cn_zhangbei_r05,2018-01-27,-15.805821187019987,-29.163215124097018
cn_zhangbei_r01,2018-01-27,-12.079393037927208,-16.613695382384776
cn_zhangbei_r06,2018-01-27,-7.991134934216668,-13.241191796456057
cn_zhangbei_r07,2018-01-27,-12.032364566974508,-16.80066876909033
cn_zhangbei_r02,2018-01-27,-14.960530821078308,-22.917698484097155
cn_zhangbei_r03,2018-02-08,-15.599138777227417,-24.290348448726316
cn_zhangbei_r05,2018-02-08,-15.77502574325048,-28.160408616294255
cn_zhangbei_r01,2018-02-08,-12.321560725092613,-21.60297166653835
cn_zhangbei_r06,2018-02-08,-7.738686414321682,-14.383547796270234
cn_zhangbei_r07,2018-02-08,-11.556274892606217,-16.989955779439114
cn_zhangbei_r02,2018-02-08,-15.352339242001054,-19.811317372751905
cn_zhangbei_r03,2018-02-20,-14.74165195989226,-24.373167104997666
cn_zhangbei_r05,2018-02-20,-15.801837958775353,-29.096122812558892
cn_zhangbei_r01,2018-02-20,-12.143541069926595,-22.38155258997069
cn_zhangbei_r06,2018-02-20,-7.650805123149125,-15.263689622483344
cn_zhangbei_r07,2018-02-20,-10.964740518661683,-16.91759820778272
cn_zhangbei_r02,2018-02-20,-14.66514818293826,-21.821087737524856
cn_zhangbei_r03,2018-03-04,-15.592884551472785,-22.693608070930406
cn_zhangbei_r05,2018-03-04,-15.547931706988564,-28.286933803071697
cn_zhangbei_r01,2018-03-04,-12.120451730013796,-21.579999151456335
cn_zhangbei_r06,2018-03-04,-7.710083421688898,-14.016471424678322
