name,d,snow,n
hall:block_a,2018-11-02,0.0,1271
hall:block_b,2018-11-02,0.0,1581
hall:block_c,2018-11-02,0.0,1581
hall:block_d,2018-11-02,0.0,1581
hall:block_a,2018-11-02,,0
hall:block_b,2018-11-02,,0
hall:block_c,2018-11-02,,0
hall:block_d,2018-11-02,,0
hall:block_a,2018-11-12,0.0,1271
hall:block_b,2018-11-12,0.0,1581
hall:block_c,2018-11-12,0.0,1581
hall:block_d,2018-11-12,0.0,1581
hall:block_a,2018-11-12,,0
hall:block_b,2018-11-12,,0
hall:block_c,2018-11-12,,0
hall:block_d,2018-11-12,,0
hall:block_a,2018-11-15,,0
hall:block_b,2018-11-15,,0
hall:block_c,2018-11-15,,0
hall:block_d,2018-11-15,,0
hall:block_a,2018-11-22,0.0,1271
hall:block_b,2018-11-22,0.0,1581
hall:block_c,2018-11-22,0.0,1581
hall:block_d,2018-11-22,0.0,1579
hall:block_a,2018-11-22,,0
hall:block_b,2018-11-22,,0
hall:block_c,2018-11-22,,0
hall:block_d,2018-11-22,,0
hall:block_a,2018-11-25,0.0,1271
hall:block_b,2018-11-25,0.0,1581
hall:block_c,2018-11-25,0.0,1581
hall:block_d,2018-11-25,0.0,1581
hall:block_a,2018-11-25,,0
hall:block_b,2018-11-25,,0
hall:block_c,2018-11-25,,0
hall:block_d,2018-11-25,,0
hall:block_a,2018-11-27,0.0,1271
hall:block_b,2018-11-27,0.0,1581
hall:block_c,2018-11-27,0.0,1581
hall:block_d,2018-11-27,0.0,1581
hall:block_a,2018-11-30,0.0,1271
hall:block_b,2018-11-30,0.0,1581
hall:block_c,2018-11-30,0.0,1581
hall:block_d,2018-11-30,0.0,1581
hall:block_a,2018-11-30,,0
hall:block_b,2018-11-30,,0
hall:block_c,2018-11-30,,0
hall:block_d,2018-11-30,,0
hall:block_a,2018-12-12,,0
hall:block_b,2018-12-12,,0
hall:block_c,2018-12-12,,0
hall:block_d,2018-12-12,,0
hall:block_a,2018-12-17,0.0,1271
hall:block_b,2018-12-17,0.0,1581
hall:block_c,2018-12-17,0.0,1581
hall:block_d,2018-12-17,0.0,1581
hall:block_a,2018-12-17,,0
hall:block_b,2018-12-17,,0
hall:block_c,2018-12-17,,0
hall:block_d,2018-12-17,,0
hall:block_a,2018-12-25,0.0,1271
hall:block_b,2018-12-25,0.0,1565
hall:block_c,2018-12-25,0.0,1295
hall:block_d,2018-12-25,0.0,1581
hall:block_a,2018-12-25,,0
hall:block_b,2018-12-25,,0
hall:block_c,2018-12-25,,0
hall:block_d,2018-12-25,,0
hall:block_a,2018-12-30,,0
hall:block_b,2018-12-30,,0
hall:block_c,2018-12-30,,0
hall:block_d,2018-12-30,,0
ring:builtup,2018-11-02,0.0,34189
ring:builtup,2018-11-02,0.0,7307
ring:builtup,2018-11-12,0.0,34189
ring:builtup,2018-11-12,0.0,7307
ring:builtup,2018-11-15,0.0,7288
ring:builtup,2018-11-22,0.0,34152
ring:builtup,2018-11-22,0.0,7303
ring:builtup,2018-11-25,0.0,34177
ring:builtup,2018-11-25,0.0,7307
ring:builtup,2018-11-27,0.0,34182
ring:builtup,2018-11-30,0.0,34189
ring:builtup,2018-11-30,0.0,7307
ring:builtup,2018-12-12,0.0,7303
ring:builtup,2018-12-17,2.9383245673317074e-05,34173
ring:builtup,2018-12-17,0.00013698195974449373,7307
ring:builtup,2018-12-25,0.0,34070
ring:builtup,2018-12-25,0.00027396391948898745,7307
ring:builtup,2018-12-30,0.00117212682412237,3415
hall:block_a,2019-01-01,0.8460144927536233,60
hall:block_b,2019-01-01,0.8954062272134288,838
hall:block_c,2019-01-01,0.8649560756785944,418
hall:block_d,2019-01-01,0.9615835119767382,1297
hall:block_a,2019-01-01,,0
hall:block_b,2019-01-01,,0
hall:block_c,2019-01-01,,0
hall:block_d,2019-01-01,,0
hall:block_a,2019-01-04,0.0,1271
hall:block_b,2019-01-04,0.0,1357
hall:block_c,2019-01-04,0.0,715
hall:block_d,2019-01-04,0.0011469695265939519,924
hall:block_a,2019-01-04,,0
hall:block_b,2019-01-04,,0
hall:block_c,2019-01-04,,0
hall:block_d,2019-01-04,,0
hall:block_a,2019-01-06,0.0,1271
hall:block_b,2019-01-06,0.0,1356
hall:block_c,2019-01-06,0.0,1279
hall:block_d,2019-01-06,0.0,1032
hall:block_a,2019-01-06,,0
hall:block_b,2019-01-06,,0
hall:block_c,2019-01-06,,0
hall:block_d,2019-01-06,,0
hall:block_a,2019-01-11,0.0,1271
hall:block_b,2019-01-11,0.0,1581
hall:block_c,2019-01-11,0.0,1581
hall:block_d,2019-01-11,0.0,1581
hall:block_a,2019-01-11,,0
hall:block_b,2019-01-11,,0
hall:block_c,2019-01-11,,0
hall:block_d,2019-01-11,,0
hall:block_a,2019-01-14,,0
hall:block_b,2019-01-14,,0
hall:block_c,2019-01-14,,0
hall:block_d,2019-01-14,,0
hall:block_a,2019-01-14,,0
hall:block_b,2019-01-14,,0
hall:block_c,2019-01-14,,0
hall:block_d,2019-01-14,,0
hall:block_a,2019-01-21,0.0,1271
hall:block_b,2019-01-21,0.0,1493
hall:block_c,2019-01-21,0.0,901
hall:block_d,2019-01-21,0.0,1521
hall:block_a,2019-01-21,,0
hall:block_b,2019-01-21,,0
hall:block_c,2019-01-21,,0
hall:block_d,2019-01-21,,0
hall:block_a,2019-01-24,,0
hall:block_b,2019-01-24,,0
hall:block_c,2019-01-24,,0
hall:block_d,2019-01-24,,0
hall:block_a,2019-01-26,0.0,1271
hall:block_b,2019-01-26,0.0,1581
hall:block_c,2019-01-26,0.0,1573
hall:block_d,2019-01-26,0.0,1581
hall:block_a,2019-01-26,,0
hall:block_b,2019-01-26,,0
hall:block_c,2019-01-26,,0
hall:block_d,2019-01-26,,0
hall:block_a,2019-01-29,,0
hall:block_b,2019-01-29,,0
hall:block_c,2019-01-29,,0
hall:block_d,2019-01-29,,0
hall:block_a,2019-01-29,,0
hall:block_b,2019-01-29,,0
hall:block_c,2019-01-29,,0
hall:block_d,2019-01-29,,0
hall:block_a,2019-02-03,0.0,627
hall:block_b,2019-02-03,0.0,1497
hall:block_c,2019-02-03,0.0,1087
hall:block_d,2019-02-03,0.0,252
hall:block_a,2019-02-05,0.0,1271
hall:block_b,2019-02-05,0.0,1581
hall:block_c,2019-02-05,0.0,1581
hall:block_d,2019-02-05,0.0,1581
hall:block_a,2019-02-05,,0
hall:block_b,2019-02-05,,0
hall:block_c,2019-02-05,,0
hall:block_d,2019-02-05,,0
hall:block_a,2019-02-10,,0
hall:block_b,2019-02-10,,0
hall:block_c,2019-02-10,,0
hall:block_d,2019-02-10,,0
hall:block_a,2019-02-13,0.0,1271
hall:block_b,2019-02-13,0.0,1581
hall:block_c,2019-02-13,0.0,1577
hall:block_d,2019-02-13,0.0,1581
hall:block_a,2019-02-13,,0
hall:block_b,2019-02-13,,0
hall:block_c,2019-02-13,,0
hall:block_d,2019-02-13,,0
hall:block_a,2019-02-23,0.0,1271
hall:block_b,2019-02-23,0.002000005228771834,1581
hall:block_c,2019-02-23,0.002000005228771834,1581
hall:block_d,2019-02-23,0.10183033158256592,1581
hall:block_a,2019-02-23,,0
hall:block_b,2019-02-23,,0
hall:block_c,2019-02-23,,0
hall:block_d,2019-02-23,,0
hall:block_a,2019-02-25,,0
hall:block_b,2019-02-25,,0
hall:block_c,2019-02-25,0.0,148
hall:block_d,2019-02-25,0.0,4
hall:block_a,2019-02-28,0.0,1271
hall:block_b,2019-02-28,0.0,1581
hall:block_c,2019-02-28,0.0,1581
hall:block_d,2019-02-28,0.0,1581
hall:block_a,2019-02-28,,0
hall:block_b,2019-02-28,,0
hall:block_c,2019-02-28,,0
hall:block_d,2019-02-28,,0
hall:block_a,2019-03-02,,0
hall:block_b,2019-03-02,,0
hall:block_c,2019-03-02,,0
hall:block_d,2019-03-02,,0
hall:block_a,2019-03-05,0.0,1271
hall:block_b,2019-03-05,0.0,1573
hall:block_c,2019-03-05,0.0,1389
hall:block_d,2019-03-05,0.0,1581
hall:block_a,2019-03-05,,0
hall:block_b,2019-03-05,,0
hall:block_c,2019-03-05,,0
hall:block_d,2019-03-05,,0
hall:block_a,2019-03-10,,0
hall:block_b,2019-03-10,,0
hall:block_c,2019-03-10,,0
hall:block_d,2019-03-10,,0
hall:block_a,2019-03-15,0.0,1271
hall:block_b,2019-03-15,0.0,1581
hall:block_c,2019-03-15,0.0,1581
hall:block_d,2019-03-15,0.0,1581
hall:block_a,2019-03-15,,0
hall:block_b,2019-03-15,,0
hall:block_c,2019-03-15,,0
hall:block_d,2019-03-15,,0
hall:block_a,2019-03-17,0.0,1127
hall:block_b,2019-03-17,0.0,1545
hall:block_c,2019-03-17,0.0,1223
hall:block_d,2019-03-17,0.0,1581
hall:block_a,2019-03-17,,0
hall:block_b,2019-03-17,,0
hall:block_c,2019-03-17,,0
hall:block_d,2019-03-17,,0
hall:block_a,2019-03-22,0.0,1271
hall:block_b,2019-03-22,0.0,1553
hall:block_c,2019-03-22,0.0,1253
hall:block_d,2019-03-22,0.0,1577
hall:block_a,2019-03-22,,0
hall:block_b,2019-03-22,,0
hall:block_c,2019-03-22,,0
hall:block_d,2019-03-22,,0
hall:block_a,2019-03-25,,0
hall:block_b,2019-03-25,,0
hall:block_c,2019-03-25,,0
hall:block_d,2019-03-25,,0
hall:block_a,2019-03-27,0.0,1271
hall:block_b,2019-03-27,0.0,1581
hall:block_c,2019-03-27,0.0,1581
hall:block_d,2019-03-27,0.0,1577
hall:block_a,2019-03-27,,0
hall:block_b,2019-03-27,,0
hall:block_c,2019-03-27,,0
hall:block_d,2019-03-27,,0
hall:block_a,2019-03-30,,0
hall:block_b,2019-03-30,,0
hall:block_c,2019-03-30,,0
hall:block_d,2019-03-30,,0
hall:block_a,2019-11-05,,0
hall:block_b,2019-11-05,0.0,401
hall:block_c,2019-11-05,,0
hall:block_d,2019-11-05,,0
hall:block_a,2019-11-05,,0
hall:block_b,2019-11-05,,0
hall:block_c,2019-11-05,,0
hall:block_d,2019-11-05,,0
hall:block_a,2019-11-07,0.0,1271
hall:block_b,2019-11-07,0.0,1581
hall:block_c,2019-11-07,0.0,1581
hall:block_d,2019-11-07,0.0,1577
hall:block_a,2019-11-07,,0
hall:block_b,2019-11-07,,0
hall:block_c,2019-11-07,,0
hall:block_d,2019-11-07,,0
hall:block_a,2019-11-10,0.585508449374015,1271
hall:block_b,2019-11-10,0.46726919547501916,1581
hall:block_c,2019-11-10,0.7976046996201285,1581
hall:block_d,2019-11-10,0.7332725052875928,1581
hall:block_a,2019-11-10,,0
hall:block_b,2019-11-10,,0
hall:block_c,2019-11-10,,0
hall:block_d,2019-11-10,,0
hall:block_a,2019-11-15,0.0,1271
hall:block_b,2019-11-15,0.0,1581
hall:block_c,2019-11-15,0.0,1581
hall:block_d,2019-11-15,0.0,1581
hall:block_a,2019-11-15,,0
hall:block_b,2019-11-15,,0
hall:block_c,2019-11-15,,0
hall:block_d,2019-11-15,,0
hall:block_a,2019-11-20,0.0,1271
hall:block_b,2019-11-20,0.0,1573
hall:block_c,2019-11-20,0.0,1553
hall:block_d,2019-11-20,0.0,1549
hall:block_a,2019-11-20,,0
hall:block_b,2019-11-20,,0
hall:block_c,2019-11-20,,0
hall:block_d,2019-11-20,,0
hall:block_a,2019-11-22,0.0,717
hall:block_b,2019-11-22,0.0,1269
hall:block_c,2019-11-22,0.0,11
hall:block_d,2019-11-22,0.0,80
hall:block_a,2019-11-27,0.0,1271
hall:block_b,2019-11-27,0.0,1581
hall:block_c,2019-11-27,0.0,1581
hall:block_d,2019-11-27,0.0,1553
hall:block_a,2019-11-27,,0
hall:block_b,2019-11-27,,0
hall:block_c,2019-11-27,,0
hall:block_d,2019-11-27,,0
hall:block_a,2019-11-30,1.0,1271
hall:block_b,2019-11-30,1.0,1581
hall:block_c,2019-11-30,1.0,1577
hall:block_d,2019-11-30,1.0,1555
hall:block_a,2019-11-30,,0
hall:block_b,2019-11-30,,0
hall:block_c,2019-11-30,,0
hall:block_d,2019-11-30,,0
hall:block_a,2019-12-02,1.0,1271
hall:block_b,2019-12-02,1.0,1581
hall:block_c,2019-12-02,1.0,1581
hall:block_d,2019-12-02,1.0,1581
hall:block_a,2019-12-02,,0
hall:block_b,2019-12-02,,0
hall:block_c,2019-12-02,,0
hall:block_d,2019-12-02,,0
hall:block_a,2019-12-05,1.0,1271
hall:block_b,2019-12-05,1.0,1581
hall:block_c,2019-12-05,1.0,1581
hall:block_d,2019-12-05,1.0,1581
hall:block_a,2019-12-05,,0
hall:block_b,2019-12-05,,0
hall:block_c,2019-12-05,,0
hall:block_d,2019-12-05,,0
hall:block_a,2019-12-07,1.0,1271
hall:block_b,2019-12-07,1.0,1549
hall:block_c,2019-12-07,1.0,1417
hall:block_d,2019-12-07,1.0,1581
hall:block_a,2019-12-07,,0
hall:block_b,2019-12-07,,0
hall:block_c,2019-12-07,,0
hall:block_d,2019-12-07,,0
hall:block_a,2019-12-10,1.0,1271
hall:block_b,2019-12-10,1.0,1581
hall:block_c,2019-12-10,1.0,1577
hall:block_d,2019-12-10,1.0,1581
hall:block_a,2019-12-10,,0
hall:block_b,2019-12-10,,0
hall:block_c,2019-12-10,,0
hall:block_d,2019-12-10,,0
hall:block_a,2019-12-12,1.0,1271
hall:block_b,2019-12-12,0.9947189404416743,1581
hall:block_c,2019-12-12,0.8992729392756585,1581
hall:block_d,2019-12-12,1.0,1581
hall:block_a,2019-12-12,,0
hall:block_b,2019-12-12,,0
hall:block_c,2019-12-12,,0
hall:block_d,2019-12-12,,0
hall:block_a,2019-12-17,1.0,1271
hall:block_b,2019-12-17,1.0,1581
hall:block_c,2019-12-17,1.0,1581
hall:block_d,2019-12-17,1.0,1581
hall:block_a,2019-12-17,,0
hall:block_b,2019-12-17,,0
hall:block_c,2019-12-17,,0
hall:block_d,2019-12-17,,0
hall:block_a,2019-12-20,1.0,1271
hall:block_b,2019-12-20,1.0,1569
hall:block_c,2019-12-20,1.0,1563
hall:block_d,2019-12-20,1.0,1581
hall:block_a,2019-12-20,,0
hall:block_b,2019-12-20,,0
hall:block_c,2019-12-20,,0
hall:block_d,2019-12-20,,0
hall:block_a,2019-12-22,1.0,1271
hall:block_b,2019-12-22,1.0,1581
hall:block_c,2019-12-22,1.0,1581
hall:block_d,2019-12-22,1.0,1581
hall:block_a,2019-12-22,,0
hall:block_b,2019-12-22,,0
hall:block_c,2019-12-22,,0
hall:block_d,2019-12-22,,0
hall:block_a,2019-12-27,1.0,1271
hall:block_b,2019-12-27,1.0,1581
hall:block_c,2019-12-27,1.0,1581
hall:block_d,2019-12-27,1.0,1581
hall:block_a,2019-12-27,,0
hall:block_b,2019-12-27,,0
hall:block_c,2019-12-27,,0
hall:block_d,2019-12-27,,0
ring:builtup,2019-01-01,0.9906585553340219,26220
ring:builtup,2019-01-01,0.9367539230692516,7242
ring:builtup,2019-01-04,0.014106622676029858,20574
ring:builtup,2019-01-04,0.008210555124754822,4387
ring:builtup,2019-01-06,0.000626524969335241,20845
ring:builtup,2019-01-06,0.0004109458792334812,7307
ring:builtup,2019-01-11,0.00290759581043604,34189
ring:builtup,2019-01-11,0.0,5904
ring:builtup,2019-01-14,,0
ring:builtup,2019-01-14,,0
ring:builtup,2019-01-21,0.00015109157441094137,33224
ring:builtup,2019-01-21,0.0004156718615687728,7224
ring:builtup,2019-01-24,0.002898550724637681,345
ring:builtup,2019-01-26,5.880320940998935e-05,34152
ring:builtup,2019-01-26,0.0,6608
ring:builtup,2019-01-29,0.0,2506
ring:builtup,2019-01-29,0.0,2615
ring:builtup,2019-02-03,3.828542550421903e-05,26205
ring:builtup,2019-02-05,2.9372242608734313e-05,34186
ring:builtup,2019-02-05,0.0,7307
ring:builtup,2019-02-10,,0
ring:builtup,2019-02-13,0.00014713780615338383,34122
ring:builtup,2019-02-13,0.00027396391948898745,7307
ring:builtup,2019-02-23,0.15521586757483258,34182
ring:builtup,2019-02-23,0.08744928310088479,7307
ring:builtup,2019-02-25,0.0,662
ring:builtup,2019-02-28,0.0023789420267203965,34189
ring:builtup,2019-02-28,0.00013698195974449373,7307
ring:builtup,2019-03-02,0.0,7307
ring:builtup,2019-03-05,2.938000921956211e-05,34177
ring:builtup,2019-03-05,0.0,7307
ring:builtup,2019-03-10,,0
ring:builtup,2019-03-15,0.0003524669113048118,34186
ring:builtup,2019-03-15,0.0,7307
ring:builtup,2019-03-17,0.0,21402
ring:builtup,2019-03-17,0.0,831
ring:builtup,2019-03-22,0.0,34141
ring:builtup,2019-03-22,0.0,6989
ring:builtup,2019-03-25,0.0,369
ring:builtup,2019-03-27,0.0,34061
ring:builtup,2019-03-27,0.0,7307
ring:builtup,2019-03-30,0.0,1
ring:builtup,2019-11-05,0.0,3543
ring:builtup,2019-11-05,0.0,48
ring:builtup,2019-11-07,0.00023537200487681564,34129
ring:builtup,2019-11-07,0.0,7307
ring:builtup,2019-11-10,0.5545191666236676,34188
ring:builtup,2019-11-10,0.7309126382779165,7307
ring:builtup,2019-11-15,0.00029395554769624734,34159
ring:builtup,2019-11-15,0.0,7307
ring:builtup,2019-11-20,8.85611214130141e-05,34014
ring:builtup,2019-11-20,0.0,6631
ring:builtup,2019-11-22,0.0,5393
ring:builtup,2019-11-27,0.00020671486307659117,34001
ring:builtup,2019-11-27,0.0,7307
ring:builtup,2019-11-30,1.0,33809
ring:builtup,2019-11-30,0.9975312811951396,7298
ring:builtup,2019-12-02,1.0,34189
ring:builtup,2019-12-02,0.9998630180402555,7307
ring:builtup,2019-12-05,1.0,34189
