d,ctrl:ctrl_racine_b:roof,ctrl:ctrl_racine_mke1:roof,hall:fairwater_1,ring:builtup
2018-11-27,1.0,1.0,1.0,1.0
2018-12-17,0.0,0.0,0.014857176150534791,0.00042156992950306816
2019-02-15,1.0,1.0,1.0,1.0
2019-03-12,1.0,0.08032966309517933,1.0,0.9672162846588273
2019-03-17,0.0,,0.0,0.001507981460041448
2019-03-22,0.0,0.0,0.0,0.000131137946963443
2019-11-07,1.0,1.0,0.7837338598456363,0.9842448465459723
2019-11-12,1.0,,,0.9832952126881118
2019-11-22,0.0,,0.0,0.0
2019-12-22,0.0024406818595124375,0.0010492272749716093,0.0,0.00042156992950306816
2020-01-01,1.0,,1.0,1.0
2020-01-06,0.011624323241455119,0.005290544241398199,0.0011454779450574873,0.0005215649165825014
2020-01-16,0.5614689210584615,0.5911469599073387,1.0,0.9765340581991079
2020-01-21,1.0,1.0,1.0,1.0
2020-02-10,1.0,1.0,1.0,1.0
2020-02-20,,,,0.016519921081303925
2020-11-06,0.0,0.0,0.0,0.0
2020-11-11,0.0,0.0,0.0,0.0
2020-11-21,0.0,,0.0,0.0
2021-02-09,1.0,1.0,1.0,1.0
2021-02-19,1.0,1.0,1.0,1.0
2021-02-24,,,,0.9909900360398558
2021-03-01,1.0,1.0,1.0,0.9999153759333307
2021-03-06,0.9786777040904316,0.045705163021116234,1.0,0.9946327814275269
2021-03-11,0.0,0.0,0.015428606002478437,0.0009268367251563337
2021-03-21,0.0,0.0,0.0,0.0
2021-03-31,,,0.0,0.0
2021-11-06,0.0,0.0,0.0,0.0
2021-11-21,0.0,0.0,0.0,0.0
2021-11-26,0.0,0.0,,0.0
2021-12-26,0.0,,0.0,0.00011128693962661706
2022-01-10,,,,0.03800156477031407
2022-01-20,0.41518657324425623,,0.0,0.1419295926572136
2022-01-25,1.0,1.0,,1.0
2022-03-11,0.0,0.6021083296301784,0.0,0.024667955794587654
2022-11-01,0.0,0.0,0.0,0.0
2022-11-06,,0.0,0.0,0.0
2022-11-11,,0.0,0.0,0.0
2022-11-21,0.7070224638444088,1.0,0.0,0.07174184235187424
2022-11-26,0.0,0.0010492272749716093,0.0,0.000131137946963443
2022-12-01,0.0,0.0,0.0,0.0005901207613354934
2022-12-26,,,,1.0
2023-01-10,0.0,0.0,0.0,0.0002248630090579037
2023-02-04,1.0,1.0,1.0,1.0
2023-02-19,1.0,1.0,1.0,1.0
2023-02-24,0.6824290048717921,,0.0005714298519436458,0.05820386837444129
2023-03-01,,,0.0,0.0
2023-11-11,0.0,0.0,0.0,0.0
2024-01-20,1.0,1.0,1.0,1.0
2024-02-04,0.02806784138439303,0.0,0.0,0.011633864394877444
2024-02-09,0.0,0.0,0.0,0.0
2024-02-14,0.0,0.0010492272749716093,0.0,0.0
2024-03-10,0.0,,0.0,0.0
2024-03-15,0.0,0.0010492272749716093,0.0,6.566153871507321e-05
2024-03-20,,,,0.0
2024-11-30,0.017084773016587063,0.0,0.0,0.0004997629229219237
2024-12-05,0.0012417883700431944,,0.0,0.0001672563491493998
2024-12-25,1.0,,1.0,0.9998683639288257
2024-12-30,0.0012203409297562187,0.0010492272749716093,0.2531434244110351,0.00042156992950306816
2025-01-04,0.0,,0.0,7.069213561080292e-05
2025-01-09,1.0,0.8155499596767556,1.0,1.0
2025-01-14,1.0,0.9718815663801337,1.0,0.993156236909535
2025-01-24,1.0,1.0,1.0,1.0
2025-02-13,1.0,1.0,1.0,1.0
2025-03-10,0.0,0.0,0.0,6.094057535359998e-05
2025-03-20,0.0,,0.0,0.0
2025-03-22,,,,0.0
2025-03-25,0.0,,0.0,0.0
2025-11-05,0.0,0.0,0.0,0.0
2025-11-10,1.0,1.0,1.0,0.9252160144118031
2025-11-17,0.0,0.0,0.0,0.0
2025-12-07,1.0,0.962976757454969,1.0,1.0
2025-12-30,0.7914004600051111,0.13026306105927668,0.5417737630784606,0.4063408378323159
2026-01-19,1.0,1.0,0.9915057689985551,1.0
2026-01-29,1.0,1.0,0.9839264850554581,0.9958658869070076
2026-02-13,0.458206912393878,0.04008048190391549,0.5493009508144555,0.6851137473838302
2026-02-18,0.0,0.0,0.0005714298519436458,2.8156088612739226e-05
2026-03-27,0.0,0.0,0.0,0.0
