name,d,snow,n
hall:technical_strip,2018-11-02,0.0,1107
hall:technical_strip,2018-11-07,0.0009993220285845292,1107
hall:technical_strip,2018-11-09,0.0,1107
hall:technical_strip,2018-11-12,0.0,1107
hall:technical_strip,2018-11-14,0.0009993220285845292,1107
hall:technical_strip,2018-11-19,0.005176879999059464,1107
hall:technical_strip,2018-12-04,1.0,1107
hall:technical_strip,2018-12-07,1.0,1107
hall:technical_strip,2018-12-09,,0
hall:technical_strip,2018-12-14,1.0,1107
hall:technical_strip,2018-12-19,0.9123496608183467,1107
hall:technical_strip,2018-12-22,0.9998706759727715,1107
hall:technical_strip,2018-12-24,,0
hall:technical_strip,2018-12-27,,0
hall:technical_strip,2018-12-29,1.0,1107
ring:builtup,2018-11-02,5.683065467799861e-05,17717
ring:builtup,2018-11-07,7.708123878921388e-05,26104
ring:builtup,2018-11-09,3.8545076047923436e-05,26101
ring:builtup,2018-11-12,0.00011559067363071505,26111
ring:builtup,2018-11-14,0.0,26151
ring:builtup,2018-11-19,0.00019255467344539645,26124
ring:builtup,2018-12-04,1.0,26151
ring:builtup,2018-12-07,1.0,26150
ring:builtup,2018-12-09,,0
ring:builtup,2018-12-14,1.0,427
ring:builtup,2018-12-19,0.006392137438846462,16989
ring:builtup,2018-12-22,0.10661561191087446,26092
ring:builtup,2018-12-24,0.0,3707
ring:builtup,2018-12-27,1.0,218
ring:builtup,2018-12-29,0.999679331097244,25098
hall:technical_strip,2019-01-01,1.0,1107
hall:technical_strip,2019-01-03,1.0,1107
hall:technical_strip,2019-01-08,1.0,1107
hall:technical_strip,2019-01-11,,0
hall:technical_strip,2019-01-13,1.0,1107
hall:technical_strip,2019-01-23,,0
hall:technical_strip,2019-01-26,1.0,1107
hall:technical_strip,2019-01-28,1.0,1107
hall:technical_strip,2019-01-31,1.0,1107
hall:technical_strip,2019-02-07,1.0,1107
hall:technical_strip,2019-02-10,1.0,592
hall:technical_strip,2019-02-12,1.0,1107
hall:technical_strip,2019-02-15,,0
hall:technical_strip,2019-02-17,1.0,1107
hall:technical_strip,2019-02-20,1.0,1107
hall:technical_strip,2019-02-22,1.0,1107
hall:technical_strip,2019-02-25,1.0,1103
hall:technical_strip,2019-03-04,1.0,1107
hall:technical_strip,2019-03-17,0.0,1107
hall:technical_strip,2019-03-19,0.0,1107
hall:technical_strip,2019-11-02,0.0,1107
hall:technical_strip,2019-11-04,0.0,1107
hall:technical_strip,2019-11-07,0.0,1107
